"","X","id","condition","block","task","switch","probe","key_press","rt","time_elapsed","ans","acc","easy_colour","age","sex","comments","preference","notice","difficult","mental_purple","temporal_purple","effort_purple","performance_purple","frustration_purple","mental_blue","temporal_blue","effort_blue","performance_blue","frustration_blue","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","IP"
"82201",60901,"1pPltJgDq5KM",0,1,"parity",NA,1,73,998.625000000175,264293,73,1,"purple","39","Male","Good","None","Good.","None",8,8,9,8,8,8,7,7,8,7,"Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement",NA
"82202",60902,"1pPltJgDq5KM",0,1,"parity","repeat",3,73,1002.84999999712,265799,73,1,"purple","39","Male","Good","None","Good.","None",8,8,9,8,8,8,7,7,8,7,"Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement",NA
"82203",60903,"1pPltJgDq5KM",0,1,"parity","repeat",6,69,937.710000005609,267239,69,1,"purple","39","Male","Good","None","Good.","None",8,8,9,8,8,8,7,7,8,7,"Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement",NA
"82204",60904,"1pPltJgDq5KM",0,1,"parity","repeat",3,73,883.229999999458,268624,73,1,"purple","39","Male","Good","None","Good.","None",8,8,9,8,8,8,7,7,8,7,"Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement",NA
"82205",60905,"1pPltJgDq5KM",0,1,"parity","repeat",7,69,824.260000001232,269971,73,0,"purple","39","Male","Good","None","Good.","None",8,8,9,8,8,8,7,7,8,7,"Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement",NA
"82206",60906,"1pPltJgDq5KM",0,1,"parity","repeat",2,69,1041.3550000012,271514,69,1,"purple","39","Male","Good","None","Good.","None",8,8,9,8,8,8,7,7,8,7,"Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement",NA
"82207",60907,"1pPltJgDq5KM",0,1,"magnitude","switch",8,69,942.759999998088,272987,73,0,"purple","39","Male","Good","None","Good.","None",8,8,9,8,8,8,7,7,8,7,"Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement",NA
"82208",60908,"1pPltJgDq5KM",0,1,"magnitude","repeat",4,69,874.000000003434,274480,69,1,"purple","39","Male","Good","None","Good.","None",8,8,9,8,8,8,7,7,8,7,"Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement",NA
"82209",60909,"1pPltJgDq5KM",0,1,"magnitude","repeat",8,69,697.854999998526,275791,73,0,"purple","39","Male","Good","None","Good.","None",8,8,9,8,8,8,7,7,8,7,"Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement",NA
"82210",60910,"1pPltJgDq5KM",0,1,"magnitude","repeat",4,69,802.32000000251,277187,69,1,"purple","39","Male","Good","None","Good.","None",8,8,9,8,8,8,7,7,8,7,"Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement",NA
"82211",60911,"1pPltJgDq5KM",0,1,"magnitude","repeat",3,69,913.970000001427,278603,69,1,"purple","39","Male","Good","None","Good.","None",8,8,9,8,8,8,7,7,8,7,"Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement",NA
"82212",60912,"1pPltJgDq5KM",0,1,"magnitude","repeat",1,73,789.230000002135,279920,69,0,"purple","39","Male","Good","None","Good.","None",8,8,9,8,8,8,7,7,8,7,"Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement",NA
"82213",60913,"1pPltJgDq5KM",0,1,"magnitude","repeat",4,69,739.040000000386,281161,69,1,"purple","39","Male","Good","None","Good.","None",8,8,9,8,8,8,7,7,8,7,"Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement",NA
"82214",60914,"1pPltJgDq5KM",0,1,"magnitude","repeat",1,73,891.674999998941,282555,69,0,"purple","39","Male","Good","None","Good.","None",8,8,9,8,8,8,7,7,8,7,"Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement",NA
"82215",60915,"1pPltJgDq5KM",0,1,"magnitude","repeat",9,69,846.470000004047,283902,73,0,"purple","39","Male","Good","None","Good.","None",8,8,9,8,8,8,7,7,8,7,"Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement",NA
"82216",60916,"1pPltJgDq5KM",0,1,"magnitude","repeat",9,69,838.95499999926,285243,73,0,"purple","39","Male","Good","None","Good.","None",8,8,9,8,8,8,7,7,8,7,"Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement",NA
"82217",60917,"1pPltJgDq5KM",0,1,"magnitude","repeat",3,73,984.129999997094,286730,69,0,"purple","39","Male","Good","None","Good.","None",8,8,9,8,8,8,7,7,8,7,"Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement",NA
"82218",60918,"1pPltJgDq5KM",0,1,"magnitude","repeat",4,69,940.510000000359,288270,69,1,"purple","39","Male","Good","None","Good.","None",8,8,9,8,8,8,7,7,8,7,"Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement",NA
"82219",60919,"1pPltJgDq5KM",0,1,"magnitude","repeat",7,73,875.329999995301,289648,73,1,"purple","39","Male","Good","None","Good.","None",8,8,9,8,8,8,7,7,8,7,"Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement",NA
"82220",60920,"1pPltJgDq5KM",0,1,"magnitude","repeat",1,73,679.57000000024,290832,69,0,"purple","39","Male","Good","None","Good.","None",8,8,9,8,8,8,7,7,8,7,"Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement",NA
"82221",60921,"1pPltJgDq5KM",0,1,"magnitude","repeat",7,73,693.879999998899,292027,73,1,"purple","39","Male","Good","None","Good.","None",8,8,9,8,8,8,7,7,8,7,"Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement",NA
