"","X","id","condition","block","task","switch","probe","key_press","rt","time_elapsed","ans","acc","easy_colour","age","sex","comments","preference","notice","difficult","mental_purple","temporal_purple","effort_purple","performance_purple","frustration_purple","mental_blue","temporal_blue","effort_blue","performance_blue","frustration_blue","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","IP"
"136201",35701,"5DvNEecXO7J2",1,1,"parity",NA,3,73,1118.00000000041,334274,73,1,"blue","29","MALE","GOOD","NO","NO","NOTHING",6,7,7,7,7,7,8,7,7,7,"Strong Agreement","Moderate Agreement","Slight Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Strong Agreement",NA
"136202",35702,"5DvNEecXO7J2",1,1,"magnitude","switch",4,69,1192.9999999993,335970,69,1,"blue","29","MALE","GOOD","NO","NO","NOTHING",6,7,7,7,7,7,8,7,7,7,"Strong Agreement","Moderate Agreement","Slight Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Strong Agreement",NA
"136203",35703,"5DvNEecXO7J2",1,1,"parity","switch",7,73,923.00000000064,337394,73,1,"blue","29","MALE","GOOD","NO","NO","NOTHING",6,7,7,7,7,7,8,7,7,7,"Strong Agreement","Moderate Agreement","Slight Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Strong Agreement",NA
"136204",35704,"5DvNEecXO7J2",1,1,"magnitude","switch",2,69,795.000000000058,338691,69,1,"blue","29","MALE","GOOD","NO","NO","NOTHING",6,7,7,7,7,7,8,7,7,7,"Strong Agreement","Moderate Agreement","Slight Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Strong Agreement",NA
"136205",35705,"5DvNEecXO7J2",1,1,"parity","switch",4,69,587.000000001397,339779,69,1,"blue","29","MALE","GOOD","NO","NO","NOTHING",6,7,7,7,7,7,8,7,7,7,"Strong Agreement","Moderate Agreement","Slight Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Strong Agreement",NA
"136206",35706,"5DvNEecXO7J2",1,1,"magnitude","switch",6,73,1097.99999999994,341378,73,1,"blue","29","MALE","GOOD","NO","NO","NOTHING",6,7,7,7,7,7,8,7,7,7,"Strong Agreement","Moderate Agreement","Slight Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Strong Agreement",NA
"136207",35707,"5DvNEecXO7J2",1,1,"magnitude","repeat",4,69,835.00000000099,342714,69,1,"blue","29","MALE","GOOD","NO","NO","NOTHING",6,7,7,7,7,7,8,7,7,7,"Strong Agreement","Moderate Agreement","Slight Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Strong Agreement",NA
"136208",35708,"5DvNEecXO7J2",1,1,"parity","switch",7,73,876.000000000233,344091,73,1,"blue","29","MALE","GOOD","NO","NO","NOTHING",6,7,7,7,7,7,8,7,7,7,"Strong Agreement","Moderate Agreement","Slight Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Strong Agreement",NA
"136209",35709,"5DvNEecXO7J2",1,1,"magnitude","switch",2,69,658.999999999651,345250,69,1,"blue","29","MALE","GOOD","NO","NO","NOTHING",6,7,7,7,7,7,8,7,7,7,"Strong Agreement","Moderate Agreement","Slight Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Strong Agreement",NA
"136210",35710,"5DvNEecXO7J2",1,1,"parity","switch",9,73,715.000000000116,346466,73,1,"blue","29","MALE","GOOD","NO","NO","NOTHING",6,7,7,7,7,7,8,7,7,7,"Strong Agreement","Moderate Agreement","Slight Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Strong Agreement",NA
