"","X","id","condition","block","task","switch","probe","key_press","rt","time_elapsed","ans","acc","easy_colour","age","sex","comments","preference","notice","difficult","mental_purple","temporal_purple","effort_purple","performance_purple","frustration_purple","mental_blue","temporal_blue","effort_blue","performance_blue","frustration_blue","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","IP"
"87301",127201,"6vFIQuhJArD7",1,1,"parity",NA,6,69,2477.10000001825,355160,69,1,"purple","30","Male","Good","No","No","No",9,0,5,9,0,9,0,4,6,0,"Neither Agreement nor Disagreement","Slight Agreement","Moderate Disagreement","Slight Agreement","Slight Agreement","Neither Agreement nor Disagreement","Slight Agreement","Strong Disagreement","Moderate Agreement","Slight Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement",NA
"87302",127202,"6vFIQuhJArD7",1,1,"magnitude","switch",6,73,2469.3950000219,358130,73,1,"purple","30","Male","Good","No","No","No",9,0,5,9,0,9,0,4,6,0,"Neither Agreement nor Disagreement","Slight Agreement","Moderate Disagreement","Slight Agreement","Slight Agreement","Neither Agreement nor Disagreement","Slight Agreement","Strong Disagreement","Moderate Agreement","Slight Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement",NA
"87303",127203,"6vFIQuhJArD7",1,1,"magnitude","repeat",8,73,2278.52499997243,360910,73,1,"purple","30","Male","Good","No","No","No",9,0,5,9,0,9,0,4,6,0,"Neither Agreement nor Disagreement","Slight Agreement","Moderate Disagreement","Slight Agreement","Slight Agreement","Neither Agreement nor Disagreement","Slight Agreement","Strong Disagreement","Moderate Agreement","Slight Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement",NA
"87304",127204,"6vFIQuhJArD7",1,1,"parity","switch",8,69,1428.71499992907,362840,69,1,"purple","30","Male","Good","No","No","No",9,0,5,9,0,9,0,4,6,0,"Neither Agreement nor Disagreement","Slight Agreement","Moderate Disagreement","Slight Agreement","Slight Agreement","Neither Agreement nor Disagreement","Slight Agreement","Strong Disagreement","Moderate Agreement","Slight Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement",NA
"87305",127205,"6vFIQuhJArD7",1,1,"magnitude","switch",9,73,1578.67499999702,364920,73,1,"purple","30","Male","Good","No","No","No",9,0,5,9,0,9,0,4,6,0,"Neither Agreement nor Disagreement","Slight Agreement","Moderate Disagreement","Slight Agreement","Slight Agreement","Neither Agreement nor Disagreement","Slight Agreement","Strong Disagreement","Moderate Agreement","Slight Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement",NA
"87306",127206,"6vFIQuhJArD7",1,1,"parity","switch",9,73,1409.05999997631,366830,73,1,"purple","30","Male","Good","No","No","No",9,0,5,9,0,9,0,4,6,0,"Neither Agreement nor Disagreement","Slight Agreement","Moderate Disagreement","Slight Agreement","Slight Agreement","Neither Agreement nor Disagreement","Slight Agreement","Strong Disagreement","Moderate Agreement","Slight Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement",NA
"87307",127207,"6vFIQuhJArD7",1,1,"magnitude","switch",8,73,1768.76999996603,369100,73,1,"purple","30","Male","Good","No","No","No",9,0,5,9,0,9,0,4,6,0,"Neither Agreement nor Disagreement","Slight Agreement","Moderate Disagreement","Slight Agreement","Slight Agreement","Neither Agreement nor Disagreement","Slight Agreement","Strong Disagreement","Moderate Agreement","Slight Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement",NA
"87308",127208,"6vFIQuhJArD7",1,1,"parity","switch",3,73,1649.59000004455,371251,73,1,"purple","30","Male","Good","No","No","No",9,0,5,9,0,9,0,4,6,0,"Neither Agreement nor Disagreement","Slight Agreement","Moderate Disagreement","Slight Agreement","Slight Agreement","Neither Agreement nor Disagreement","Slight Agreement","Strong Disagreement","Moderate Agreement","Slight Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement",NA
"87309",127209,"6vFIQuhJArD7",1,1,"magnitude","switch",2,73,1228.86999999173,372980,69,0,"purple","30","Male","Good","No","No","No",9,0,5,9,0,9,0,4,6,0,"Neither Agreement nor Disagreement","Slight Agreement","Moderate Disagreement","Slight Agreement","Slight Agreement","Neither Agreement nor Disagreement","Slight Agreement","Strong Disagreement","Moderate Agreement","Slight Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement",NA
"87310",127210,"6vFIQuhJArD7",1,1,"magnitude","repeat",4,69,1924.25999999978,375405,69,1,"purple","30","Male","Good","No","No","No",9,0,5,9,0,9,0,4,6,0,"Neither Agreement nor Disagreement","Slight Agreement","Moderate Disagreement","Slight Agreement","Slight Agreement","Neither Agreement nor Disagreement","Slight Agreement","Strong Disagreement","Moderate Agreement","Slight Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement",NA
"87311",127211,"6vFIQuhJArD7",1,1,"parity","switch",2,69,1573.78500001505,377480,69,1,"purple","30","Male","Good","No","No","No",9,0,5,9,0,9,0,4,6,0,"Neither Agreement nor Disagreement","Slight Agreement","Moderate Disagreement","Slight Agreement","Slight Agreement","Neither Agreement nor Disagreement","Slight Agreement","Strong Disagreement","Moderate Agreement","Slight Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement",NA
"87312",127212,"6vFIQuhJArD7",1,1,"magnitude","switch",9,73,1354.13000010885,379335,73,1,"purple","30","Male","Good","No","No","No",9,0,5,9,0,9,0,4,6,0,"Neither Agreement nor Disagreement","Slight Agreement","Moderate Disagreement","Slight Agreement","Slight Agreement","Neither Agreement nor Disagreement","Slight Agreement","Strong Disagreement","Moderate Agreement","Slight Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement",NA
"87313",127213,"6vFIQuhJArD7",1,1,"parity","switch",4,69,1173.88499993831,381010,69,1,"purple","30","Male","Good","No","No","No",9,0,5,9,0,9,0,4,6,0,"Neither Agreement nor Disagreement","Slight Agreement","Moderate Disagreement","Slight Agreement","Slight Agreement","Neither Agreement nor Disagreement","Slight Agreement","Strong Disagreement","Moderate Agreement","Slight Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement",NA
"87314",127214,"6vFIQuhJArD7",1,1,"magnitude","switch",8,73,958.244999987073,382470,73,1,"purple","30","Male","Good","No","No","No",9,0,5,9,0,9,0,4,6,0,"Neither Agreement nor Disagreement","Slight Agreement","Moderate Disagreement","Slight Agreement","Slight Agreement","Neither Agreement nor Disagreement","Slight Agreement","Strong Disagreement","Moderate Agreement","Slight Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement",NA
"87315",127215,"6vFIQuhJArD7",1,1,"parity","switch",1,73,1539.00999994949,384510,73,1,"purple","30","Male","Good","No","No","No",9,0,5,9,0,9,0,4,6,0,"Neither Agreement nor Disagreement","Slight Agreement","Moderate Disagreement","Slight Agreement","Slight Agreement","Neither Agreement nor Disagreement","Slight Agreement","Strong Disagreement","Moderate Agreement","Slight Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement",NA
"87316",127216,"6vFIQuhJArD7",1,1,"magnitude","switch",3,NA,NA,387512,69,NA,"purple","30","Male","Good","No","No","No",9,0,5,9,0,9,0,4,6,0,"Neither Agreement nor Disagreement","Slight Agreement","Moderate Disagreement","Slight Agreement","Slight Agreement","Neither Agreement nor Disagreement","Slight Agreement","Strong Disagreement","Moderate Agreement","Slight Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement",NA
"87317",127217,"6vFIQuhJArD7",1,1,"parity","switch",8,69,1397.06999994814,389410,69,1,"purple","30","Male","Good","No","No","No",9,0,5,9,0,9,0,4,6,0,"Neither Agreement nor Disagreement","Slight Agreement","Moderate Disagreement","Slight Agreement","Slight Agreement","Neither Agreement nor Disagreement","Slight Agreement","Strong Disagreement","Moderate Agreement","Slight Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement",NA
"87318",127218,"6vFIQuhJArD7",1,1,"magnitude","switch",2,69,1119.16500004008,391030,69,1,"purple","30","Male","Good","No","No","No",9,0,5,9,0,9,0,4,6,0,"Neither Agreement nor Disagreement","Slight Agreement","Moderate Disagreement","Slight Agreement","Slight Agreement","Neither Agreement nor Disagreement","Slight Agreement","Strong Disagreement","Moderate Agreement","Slight Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement",NA
"87319",127219,"6vFIQuhJArD7",1,1,"parity","switch",8,NA,NA,394033,69,NA,"purple","30","Male","Good","No","No","No",9,0,5,9,0,9,0,4,6,0,"Neither Agreement nor Disagreement","Slight Agreement","Moderate Disagreement","Slight Agreement","Slight Agreement","Neither Agreement nor Disagreement","Slight Agreement","Strong Disagreement","Moderate Agreement","Slight Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement",NA
"87320",127220,"6vFIQuhJArD7",1,1,"magnitude","switch",6,73,1650.31499997713,396185,73,1,"purple","30","Male","Good","No","No","No",9,0,5,9,0,9,0,4,6,0,"Neither Agreement nor Disagreement","Slight Agreement","Moderate Disagreement","Slight Agreement","Slight Agreement","Neither Agreement nor Disagreement","Slight Agreement","Strong Disagreement","Moderate Agreement","Slight Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement",NA
"87321",127221,"6vFIQuhJArD7",1,1,"parity","switch",1,73,1303.91500005499,397990,73,1,"purple","30","Male","Good","No","No","No",9,0,5,9,0,9,0,4,6,0,"Neither Agreement nor Disagreement","Slight Agreement","Moderate Disagreement","Slight Agreement","Slight Agreement","Neither Agreement nor Disagreement","Slight Agreement","Strong Disagreement","Moderate Agreement","Slight Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement",NA
"87322",127222,"6vFIQuhJArD7",1,1,"magnitude","switch",9,73,1328.20000010543,399820,73,1,"purple","30","Male","Good","No","No","No",9,0,5,9,0,9,0,4,6,0,"Neither Agreement nor Disagreement","Slight Agreement","Moderate Disagreement","Slight Agreement","Slight Agreement","Neither Agreement nor Disagreement","Slight Agreement","Strong Disagreement","Moderate Agreement","Slight Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement",NA
"87323",127223,"6vFIQuhJArD7",1,1,"parity","switch",6,69,1289.74000003655,401610,69,1,"purple","30","Male","Good","No","No","No",9,0,5,9,0,9,0,4,6,0,"Neither Agreement nor Disagreement","Slight Agreement","Moderate Disagreement","Slight Agreement","Slight Agreement","Neither Agreement nor Disagreement","Slight Agreement","Strong Disagreement","Moderate Agreement","Slight Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement",NA
"87324",127224,"6vFIQuhJArD7",1,1,"magnitude","switch",3,73,1507.7750000637,403620,69,0,"purple","30","Male","Good","No","No","No",9,0,5,9,0,9,0,4,6,0,"Neither Agreement nor Disagreement","Slight Agreement","Moderate Disagreement","Slight Agreement","Slight Agreement","Neither Agreement nor Disagreement","Slight Agreement","Strong Disagreement","Moderate Agreement","Slight Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement",NA
"87325",127225,"6vFIQuhJArD7",1,1,"parity","switch",3,73,1508.87500005774,405630,73,1,"purple","30","Male","Good","No","No","No",9,0,5,9,0,9,0,4,6,0,"Neither Agreement nor Disagreement","Slight Agreement","Moderate Disagreement","Slight Agreement","Slight Agreement","Neither Agreement nor Disagreement","Slight Agreement","Strong Disagreement","Moderate Agreement","Slight Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement",NA
