"","X","id","condition","block","task","switch","probe","key_press","rt","time_elapsed","ans","acc","easy_colour","age","sex","comments","preference","notice","difficult","mental_purple","temporal_purple","effort_purple","performance_purple","frustration_purple","mental_blue","temporal_blue","effort_blue","performance_blue","frustration_blue","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","IP"
"93901",82801,"7khm1KesfbDr",0,1,"parity",NA,1,NA,NA,562513,73,NA,"blue","30","male","good","nothing","nothing","nothing",7,8,9,8,9,7,8,9,8,9,"Moderate Agreement","Strong Agreement","Slight Disagreement","Slight Agreement","Slight Agreement","Slight Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Moderate Agreement",NA
"93902",82802,"7khm1KesfbDr",0,1,"parity","repeat",8,73,1328.55999999447,564344,69,0,"blue","30","male","good","nothing","nothing","nothing",7,8,9,8,9,7,8,9,8,9,"Moderate Agreement","Strong Agreement","Slight Disagreement","Slight Agreement","Slight Agreement","Slight Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Moderate Agreement",NA
"93903",82803,"7khm1KesfbDr",0,1,"parity","repeat",8,73,1347.67499999725,566193,69,0,"blue","30","male","good","nothing","nothing","nothing",7,8,9,8,9,7,8,9,8,9,"Moderate Agreement","Strong Agreement","Slight Disagreement","Slight Agreement","Slight Agreement","Slight Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Moderate Agreement",NA
"93904",82804,"7khm1KesfbDr",0,1,"parity","repeat",6,NA,NA,569195,69,NA,"blue","30","male","good","nothing","nothing","nothing",7,8,9,8,9,7,8,9,8,9,"Moderate Agreement","Strong Agreement","Slight Disagreement","Slight Agreement","Slight Agreement","Slight Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Moderate Agreement",NA
"93905",82805,"7khm1KesfbDr",0,1,"parity","repeat",7,73,135.674999997718,569833,73,1,"blue","30","male","good","nothing","nothing","nothing",7,8,9,8,9,7,8,9,8,9,"Moderate Agreement","Strong Agreement","Slight Disagreement","Slight Agreement","Slight Agreement","Slight Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Moderate Agreement",NA
"93906",82806,"7khm1KesfbDr",0,1,"parity","repeat",1,73,48.624999995809,570383,73,1,"blue","30","male","good","nothing","nothing","nothing",7,8,9,8,9,7,8,9,8,9,"Moderate Agreement","Strong Agreement","Slight Disagreement","Slight Agreement","Slight Agreement","Slight Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Moderate Agreement",NA
"93907",82807,"7khm1KesfbDr",0,1,"parity","repeat",3,73,138.695000001462,571023,73,1,"blue","30","male","good","nothing","nothing","nothing",7,8,9,8,9,7,8,9,8,9,"Moderate Agreement","Strong Agreement","Slight Disagreement","Slight Agreement","Slight Agreement","Slight Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Moderate Agreement",NA
"93908",82808,"7khm1KesfbDr",0,1,"parity","repeat",9,73,103.159999998752,571629,73,1,"blue","30","male","good","nothing","nothing","nothing",7,8,9,8,9,7,8,9,8,9,"Moderate Agreement","Strong Agreement","Slight Disagreement","Slight Agreement","Slight Agreement","Slight Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Moderate Agreement",NA
"93909",82809,"7khm1KesfbDr",0,1,"magnitude","switch",7,73,158.184999978403,572288,73,1,"blue","30","male","good","nothing","nothing","nothing",7,8,9,8,9,7,8,9,8,9,"Moderate Agreement","Strong Agreement","Slight Disagreement","Slight Agreement","Slight Agreement","Slight Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Moderate Agreement",NA
"93910",82810,"7khm1KesfbDr",0,1,"magnitude","repeat",4,73,138.75499999267,572928,69,0,"blue","30","male","good","nothing","nothing","nothing",7,8,9,8,9,7,8,9,8,9,"Moderate Agreement","Strong Agreement","Slight Disagreement","Slight Agreement","Slight Agreement","Slight Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Moderate Agreement",NA
"93911",82811,"7khm1KesfbDr",0,1,"parity","switch",8,73,153.520000021672,573582,69,0,"blue","30","male","good","nothing","nothing","nothing",7,8,9,8,9,7,8,9,8,9,"Moderate Agreement","Strong Agreement","Slight Disagreement","Slight Agreement","Slight Agreement","Slight Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Moderate Agreement",NA
"93912",82812,"7khm1KesfbDr",0,1,"parity","repeat",3,73,133.364999986952,574218,73,1,"blue","30","male","good","nothing","nothing","nothing",7,8,9,8,9,7,8,9,8,9,"Moderate Agreement","Strong Agreement","Slight Disagreement","Slight Agreement","Slight Agreement","Slight Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Moderate Agreement",NA
