"","X","id","condition","block","task","switch","probe","key_press","rt","time_elapsed","ans","acc","easy_colour","age","sex","comments","preference","notice","difficult","mental_purple","temporal_purple","effort_purple","performance_purple","frustration_purple","mental_blue","temporal_blue","effort_blue","performance_blue","frustration_blue","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","IP"
"96301",75001,"ADNO1L398ZS4",1,1,"magnitude",NA,7,NA,NA,267116,73,NA,"purple","44","female","noting","no","nothing","noting",7,6,4,5,4,4,6,5,5,5,"Slight Agreement","Neither Agreement nor Disagreement","Moderate Disagreement","Moderate Disagreement","Slight Disagreement","Moderate Disagreement","Neither Agreement nor Disagreement","Moderate Disagreement","Moderate Disagreement","Slight Disagreement","Moderate Agreement","Slight Disagreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement","Moderate Disagreement","Moderate Disagreement","Moderate Disagreement",NA
"96302",75002,"ADNO1L398ZS4",1,1,"parity","switch",3,NA,NA,270118,73,NA,"purple","44","female","noting","no","nothing","noting",7,6,4,5,4,4,6,5,5,5,"Slight Agreement","Neither Agreement nor Disagreement","Moderate Disagreement","Moderate Disagreement","Slight Disagreement","Moderate Disagreement","Neither Agreement nor Disagreement","Moderate Disagreement","Moderate Disagreement","Slight Disagreement","Moderate Agreement","Slight Disagreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement","Moderate Disagreement","Moderate Disagreement","Moderate Disagreement",NA
"96303",75003,"ADNO1L398ZS4",1,1,"magnitude","switch",2,NA,NA,273118,69,NA,"purple","44","female","noting","no","nothing","noting",7,6,4,5,4,4,6,5,5,5,"Slight Agreement","Neither Agreement nor Disagreement","Moderate Disagreement","Moderate Disagreement","Slight Disagreement","Moderate Disagreement","Neither Agreement nor Disagreement","Moderate Disagreement","Moderate Disagreement","Slight Disagreement","Moderate Agreement","Slight Disagreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement","Moderate Disagreement","Moderate Disagreement","Moderate Disagreement",NA
"96304",75004,"ADNO1L398ZS4",1,1,"parity","switch",8,NA,NA,276119,69,NA,"purple","44","female","noting","no","nothing","noting",7,6,4,5,4,4,6,5,5,5,"Slight Agreement","Neither Agreement nor Disagreement","Moderate Disagreement","Moderate Disagreement","Slight Disagreement","Moderate Disagreement","Neither Agreement nor Disagreement","Moderate Disagreement","Moderate Disagreement","Slight Disagreement","Moderate Agreement","Slight Disagreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement","Moderate Disagreement","Moderate Disagreement","Moderate Disagreement",NA
"96305",75005,"ADNO1L398ZS4",1,1,"magnitude","switch",7,NA,NA,279120,73,NA,"purple","44","female","noting","no","nothing","noting",7,6,4,5,4,4,6,5,5,5,"Slight Agreement","Neither Agreement nor Disagreement","Moderate Disagreement","Moderate Disagreement","Slight Disagreement","Moderate Disagreement","Neither Agreement nor Disagreement","Moderate Disagreement","Moderate Disagreement","Slight Disagreement","Moderate Agreement","Slight Disagreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement","Moderate Disagreement","Moderate Disagreement","Moderate Disagreement",NA
"96306",75006,"ADNO1L398ZS4",1,1,"parity","switch",3,NA,NA,282120,73,NA,"purple","44","female","noting","no","nothing","noting",7,6,4,5,4,4,6,5,5,5,"Slight Agreement","Neither Agreement nor Disagreement","Moderate Disagreement","Moderate Disagreement","Slight Disagreement","Moderate Disagreement","Neither Agreement nor Disagreement","Moderate Disagreement","Moderate Disagreement","Slight Disagreement","Moderate Agreement","Slight Disagreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement","Moderate Disagreement","Moderate Disagreement","Moderate Disagreement",NA
"96307",75007,"ADNO1L398ZS4",1,1,"magnitude","switch",6,NA,NA,285121,73,NA,"purple","44","female","noting","no","nothing","noting",7,6,4,5,4,4,6,5,5,5,"Slight Agreement","Neither Agreement nor Disagreement","Moderate Disagreement","Moderate Disagreement","Slight Disagreement","Moderate Disagreement","Neither Agreement nor Disagreement","Moderate Disagreement","Moderate Disagreement","Slight Disagreement","Moderate Agreement","Slight Disagreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement","Moderate Disagreement","Moderate Disagreement","Moderate Disagreement",NA
"96308",75008,"ADNO1L398ZS4",1,1,"parity","switch",7,NA,NA,288122,73,NA,"purple","44","female","noting","no","nothing","noting",7,6,4,5,4,4,6,5,5,5,"Slight Agreement","Neither Agreement nor Disagreement","Moderate Disagreement","Moderate Disagreement","Slight Disagreement","Moderate Disagreement","Neither Agreement nor Disagreement","Moderate Disagreement","Moderate Disagreement","Slight Disagreement","Moderate Agreement","Slight Disagreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement","Moderate Disagreement","Moderate Disagreement","Moderate Disagreement",NA
"96309",75009,"ADNO1L398ZS4",1,1,"magnitude","switch",8,NA,NA,291140,73,NA,"purple","44","female","noting","no","nothing","noting",7,6,4,5,4,4,6,5,5,5,"Slight Agreement","Neither Agreement nor Disagreement","Moderate Disagreement","Moderate Disagreement","Slight Disagreement","Moderate Disagreement","Neither Agreement nor Disagreement","Moderate Disagreement","Moderate Disagreement","Slight Disagreement","Moderate Agreement","Slight Disagreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement","Moderate Disagreement","Moderate Disagreement","Moderate Disagreement",NA
"96310",75010,"ADNO1L398ZS4",1,1,"parity","switch",1,NA,NA,294142,73,NA,"purple","44","female","noting","no","nothing","noting",7,6,4,5,4,4,6,5,5,5,"Slight Agreement","Neither Agreement nor Disagreement","Moderate Disagreement","Moderate Disagreement","Slight Disagreement","Moderate Disagreement","Neither Agreement nor Disagreement","Moderate Disagreement","Moderate Disagreement","Slight Disagreement","Moderate Agreement","Slight Disagreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement","Moderate Disagreement","Moderate Disagreement","Moderate Disagreement",NA
