"","X","id","condition","block","task","switch","probe","key_press","rt","time_elapsed","ans","acc","easy_colour","age","sex","comments","preference","notice","difficult","mental_purple","temporal_purple","effort_purple","performance_purple","frustration_purple","mental_blue","temporal_blue","effort_blue","performance_blue","frustration_blue","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","IP"
"139201",22501,"AfVcevS1mFLi",0,1,"magnitude",NA,3,69,900.999999954365,236210,69,1,"blue","41","Male","Good","41","Male","Good",8,7,8,9,6,8,7,7,7,6,"Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement",NA
"139202",22502,"AfVcevS1mFLi",0,1,"magnitude","repeat",9,69,93.9999999827705,236810,73,0,"blue","41","Male","Good","41","Male","Good",8,7,8,9,6,8,7,7,7,6,"Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement",NA
"139203",22503,"AfVcevS1mFLi",0,1,"magnitude","repeat",9,69,16.0000000032596,237329,73,0,"blue","41","Male","Good","41","Male","Good",8,7,8,9,6,8,7,7,7,6,"Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement",NA
"139204",22504,"AfVcevS1mFLi",0,1,"magnitude","repeat",2,69,82.9999999841675,237913,69,1,"blue","41","Male","Good","41","Male","Good",8,7,8,9,6,8,7,7,7,6,"Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement",NA
"139205",22505,"AfVcevS1mFLi",0,1,"magnitude","repeat",4,69,208.999999973457,238626,69,1,"blue","41","Male","Good","41","Male","Good",8,7,8,9,6,8,7,7,7,6,"Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement",NA
"139206",22506,"AfVcevS1mFLi",0,1,"magnitude","repeat",9,69,114.999999990687,239242,73,0,"blue","41","Male","Good","41","Male","Good",8,7,8,9,6,8,7,7,7,6,"Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement",NA
"139207",22507,"AfVcevS1mFLi",0,1,"magnitude","repeat",3,69,56.9999999715947,239801,69,1,"blue","41","Male","Good","41","Male","Good",8,7,8,9,6,8,7,7,7,6,"Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement",NA
"139208",22508,"AfVcevS1mFLi",0,1,"magnitude","repeat",1,69,42.9999999469146,240347,69,1,"blue","41","Male","Good","41","Male","Good",8,7,8,9,6,8,7,7,7,6,"Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement",NA
"139209",22509,"AfVcevS1mFLi",0,1,"magnitude","repeat",4,69,247.000000032131,241097,69,1,"blue","41","Male","Good","41","Male","Good",8,7,8,9,6,8,7,7,7,6,"Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement",NA
"139210",22510,"AfVcevS1mFLi",0,1,"magnitude","repeat",9,69,178.000000014435,241778,73,0,"blue","41","Male","Good","41","Male","Good",8,7,8,9,6,8,7,7,7,6,"Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement",NA
