"","X","id","condition","block","task","switch","probe","key_press","rt","time_elapsed","ans","acc","easy_colour","age","sex","comments","preference","notice","difficult","mental_purple","temporal_purple","effort_purple","performance_purple","frustration_purple","mental_blue","temporal_blue","effort_blue","performance_blue","frustration_blue","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","IP"
"48001",4501,"BDhWipLC1KFX",0,1,"magnitude",NA,3,73,993.99999997695,237489,69,0,"purple","24","Female","nice","clear","none","nice",8,7,7,7,7,7,7,7,7,6,"Moderate Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Slight Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement",NA
"48002",4502,"BDhWipLC1KFX",0,1,"magnitude","repeat",2,73,78.0000000086147,238080,69,0,"purple","24","Female","nice","clear","none","nice",8,7,7,7,7,7,7,7,7,6,"Moderate Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Slight Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement",NA
"48003",4503,"BDhWipLC1KFX",0,1,"magnitude","repeat",7,73,21.999999997206,238604,73,1,"purple","24","Female","nice","clear","none","nice",8,7,7,7,7,7,7,7,7,6,"Moderate Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Slight Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement",NA
"48004",4504,"BDhWipLC1KFX",0,1,"magnitude","repeat",7,73,13.9999999955762,239119,73,1,"purple","24","Female","nice","clear","none","nice",8,7,7,7,7,7,7,7,7,6,"Moderate Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Slight Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement",NA
"48005",4505,"BDhWipLC1KFX",0,1,"magnitude","repeat",1,73,13.9999999955762,239638,69,0,"purple","24","Female","nice","clear","none","nice",8,7,7,7,7,7,7,7,7,6,"Moderate Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Slight Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement",NA
"48006",4506,"BDhWipLC1KFX",0,1,"magnitude","repeat",8,73,10.999999998603,240192,73,1,"purple","24","Female","nice","clear","none","nice",8,7,7,7,7,7,7,7,7,6,"Moderate Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Slight Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement",NA
"48007",4507,"BDhWipLC1KFX",0,1,"magnitude","repeat",3,73,36.0000000218861,240729,69,0,"purple","24","Female","nice","clear","none","nice",8,7,7,7,7,7,7,7,7,6,"Moderate Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Slight Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement",NA
"48008",4508,"BDhWipLC1KFX",0,1,"parity","switch",3,73,138.000000006286,241376,73,1,"purple","24","Female","nice","clear","none","nice",8,7,7,7,7,7,7,7,7,6,"Moderate Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Slight Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement",NA
"48009",4509,"BDhWipLC1KFX",0,1,"parity","repeat",1,73,0,241901,73,1,"purple","24","Female","nice","clear","none","nice",8,7,7,7,7,7,7,7,7,6,"Moderate Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Slight Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement",NA
"48010",4510,"BDhWipLC1KFX",0,1,"parity","repeat",3,73,133.00000000163,242535,73,1,"purple","24","Female","nice","clear","none","nice",8,7,7,7,7,7,7,7,7,6,"Moderate Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Slight Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement",NA
