"","X","id","condition","block","task","switch","probe","key_press","rt","time_elapsed","ans","acc","easy_colour","age","sex","comments","preference","notice","difficult","mental_purple","temporal_purple","effort_purple","performance_purple","frustration_purple","mental_blue","temporal_blue","effort_blue","performance_blue","frustration_blue","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","IP"
"115501",144001,"BfkAYmU2ihqg",0,1,"parity",NA,9,73,1637.99999997718,291479,73,1,"blue","26","Male",NA,NA,NA,"No",7,5,7,7,8,5,7,8,5,7,"Neither Agreement nor Disagreement","Slight Disagreement","Slight Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Moderate Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Slight Disagreement",NA
"115502",144002,"BfkAYmU2ihqg",0,1,"parity","repeat",9,73,1106.99999995995,293090,73,1,"blue","26","Male",NA,NA,NA,"No",7,5,7,7,8,5,7,8,5,7,"Neither Agreement nor Disagreement","Slight Disagreement","Slight Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Moderate Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Slight Disagreement",NA
"115503",144003,"BfkAYmU2ihqg",0,1,"parity","repeat",4,NA,NA,296091,69,NA,"blue","26","Male",NA,NA,NA,"No",7,5,7,7,8,5,7,8,5,7,"Neither Agreement nor Disagreement","Slight Disagreement","Slight Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Moderate Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Slight Disagreement",NA
"115504",144004,"BfkAYmU2ihqg",0,1,"magnitude","switch",6,73,1811.99999997625,298404,73,1,"blue","26","Male",NA,NA,NA,"No",7,5,7,7,8,5,7,8,5,7,"Neither Agreement nor Disagreement","Slight Disagreement","Slight Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Moderate Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Slight Disagreement",NA
"115505",144005,"BfkAYmU2ihqg",0,1,"magnitude","repeat",7,73,1507.99999997253,300414,73,1,"blue","26","Male",NA,NA,NA,"No",7,5,7,7,8,5,7,8,5,7,"Neither Agreement nor Disagreement","Slight Disagreement","Slight Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Moderate Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Slight Disagreement",NA
"115506",144006,"BfkAYmU2ihqg",0,1,"magnitude","repeat",2,NA,NA,303420,69,NA,"blue","26","Male",NA,NA,NA,"No",7,5,7,7,8,5,7,8,5,7,"Neither Agreement nor Disagreement","Slight Disagreement","Slight Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Moderate Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Slight Disagreement",NA
"115507",144007,"BfkAYmU2ihqg",0,1,"magnitude","repeat",3,NA,NA,306421,69,NA,"blue","26","Male",NA,NA,NA,"No",7,5,7,7,8,5,7,8,5,7,"Neither Agreement nor Disagreement","Slight Disagreement","Slight Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Moderate Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Slight Disagreement",NA
"115508",144008,"BfkAYmU2ihqg",0,1,"magnitude","repeat",7,73,1056.99999997159,307979,73,1,"blue","26","Male",NA,NA,NA,"No",7,5,7,7,8,5,7,8,5,7,"Neither Agreement nor Disagreement","Slight Disagreement","Slight Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Moderate Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Slight Disagreement",NA
"115509",144009,"BfkAYmU2ihqg",0,1,"magnitude","repeat",2,NA,NA,310980,69,NA,"blue","26","Male",NA,NA,NA,"No",7,5,7,7,8,5,7,8,5,7,"Neither Agreement nor Disagreement","Slight Disagreement","Slight Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Moderate Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Slight Disagreement",NA
"115510",144010,"BfkAYmU2ihqg",0,1,"magnitude","repeat",9,73,1168.99999999441,312650,73,1,"blue","26","Male",NA,NA,NA,"No",7,5,7,7,8,5,7,8,5,7,"Neither Agreement nor Disagreement","Slight Disagreement","Slight Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Moderate Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Slight Disagreement",NA
