"","X","id","condition","block","task","switch","probe","key_press","rt","time_elapsed","ans","acc","easy_colour","age","sex","comments","preference","notice","difficult","mental_purple","temporal_purple","effort_purple","performance_purple","frustration_purple","mental_blue","temporal_blue","effort_blue","performance_blue","frustration_blue","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","IP"
"86101",72601,"CGHDJrVZvSWd",0,1,"parity",NA,7,73,1146.93499999889,574538,73,1,"purple","1960","male","good task","No","No","No",6,7,7,6,6,5,7,7,7,7,"Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement",NA
"86102",72602,"CGHDJrVZvSWd",0,1,"magnitude","switch",8,73,945.514999999432,575987,73,1,"purple","1960","male","good task","No","No","No",6,7,7,6,6,5,7,7,7,7,"Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement",NA
"86103",72603,"CGHDJrVZvSWd",0,1,"magnitude","repeat",9,73,870.759999999893,577360,73,1,"purple","1960","male","good task","No","No","No",6,7,7,6,6,5,7,7,7,7,"Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement",NA
"86104",72604,"CGHDJrVZvSWd",0,1,"parity","switch",4,73,597.929999999818,578462,69,0,"purple","1960","male","good task","No","No","No",6,7,7,6,6,5,7,7,7,7,"Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement",NA
"86105",72605,"CGHDJrVZvSWd",0,1,"magnitude","switch",2,69,2296.46999999927,581262,69,1,"purple","1960","male","good task","No","No","No",6,7,7,6,6,5,7,7,7,7,"Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement",NA
"86106",72606,"CGHDJrVZvSWd",0,1,"magnitude","repeat",2,69,894.999999998603,582661,69,1,"purple","1960","male","good task","No","No","No",6,7,7,6,6,5,7,7,7,7,"Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement",NA
"86107",72607,"CGHDJrVZvSWd",0,1,"parity","switch",4,69,1005.90999999992,584169,69,1,"purple","1960","male","good task","No","No","No",6,7,7,6,6,5,7,7,7,7,"Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement",NA
"86108",72608,"CGHDJrVZvSWd",0,1,"parity","repeat",1,69,746.450000000536,585425,73,0,"purple","1960","male","good task","No","No","No",6,7,7,6,6,5,7,7,7,7,"Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement",NA
"86109",72609,"CGHDJrVZvSWd",0,1,"magnitude","switch",9,73,1281.17000000016,587212,73,1,"purple","1960","male","good task","No","No","No",6,7,7,6,6,5,7,7,7,7,"Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement",NA
"86110",72610,"CGHDJrVZvSWd",0,1,"parity","switch",7,73,2107.3550000001,589823,73,1,"purple","1960","male","good task","No","No","No",6,7,7,6,6,5,7,7,7,7,"Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement",NA
