"","X","id","condition","block","task","switch","probe","key_press","rt","time_elapsed","ans","acc","easy_colour","age","sex","comments","preference","notice","difficult","mental_purple","temporal_purple","effort_purple","performance_purple","frustration_purple","mental_blue","temporal_blue","effort_blue","performance_blue","frustration_blue","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","IP"
"20401",21601,"CT6vUq1bpied",0,1,"magnitude",NA,6,73,1888.23500002036,1282365,73,1,"blue","48","Female","I found myself forgetting which key was for even and which was for odd.  ","I believe I liked the blue background better, even though I like the color purple more ordinarily.  ","For me, I think it was easier to quickly ""read"" the numbers on the blue background.  ","Yes, the purple one was harder for me to do a quick see.  ",7,8,7,3,5,6,7,6,3,4,"Moderate Agreement","Strong Agreement","Moderate Disagreement","Strong Disagreement","Strong Disagreement","Strong Agreement","Moderate Disagreement","Slight Disagreement","Slight Disagreement","Moderate Agreement","Strong Agreement","Moderate Disagreement","Moderate Agreement","Strong Agreement","Strong Agreement","Moderate Disagreement","Very Strong Disagreement","Strong Agreement",NA
"20402",21602,"CT6vUq1bpied",0,1,"parity","switch",6,NA,NA,1285372,69,NA,"blue","48","Female","I found myself forgetting which key was for even and which was for odd.  ","I believe I liked the blue background better, even though I like the color purple more ordinarily.  ","For me, I think it was easier to quickly ""read"" the numbers on the blue background.  ","Yes, the purple one was harder for me to do a quick see.  ",7,8,7,3,5,6,7,6,3,4,"Moderate Agreement","Strong Agreement","Moderate Disagreement","Strong Disagreement","Strong Disagreement","Strong Agreement","Moderate Disagreement","Slight Disagreement","Slight Disagreement","Moderate Agreement","Strong Agreement","Moderate Disagreement","Moderate Agreement","Strong Agreement","Strong Agreement","Moderate Disagreement","Very Strong Disagreement","Strong Agreement",NA
"20403",21603,"CT6vUq1bpied",0,1,"magnitude","switch",4,69,1723.3899999992,1287597,69,1,"blue","48","Female","I found myself forgetting which key was for even and which was for odd.  ","I believe I liked the blue background better, even though I like the color purple more ordinarily.  ","For me, I think it was easier to quickly ""read"" the numbers on the blue background.  ","Yes, the purple one was harder for me to do a quick see.  ",7,8,7,3,5,6,7,6,3,4,"Moderate Agreement","Strong Agreement","Moderate Disagreement","Strong Disagreement","Strong Disagreement","Strong Agreement","Moderate Disagreement","Slight Disagreement","Slight Disagreement","Moderate Agreement","Strong Agreement","Moderate Disagreement","Moderate Agreement","Strong Agreement","Strong Agreement","Moderate Disagreement","Very Strong Disagreement","Strong Agreement",NA
"20404",21604,"CT6vUq1bpied",0,1,"parity","switch",9,73,1305.65500003286,1289404,73,1,"blue","48","Female","I found myself forgetting which key was for even and which was for odd.  ","I believe I liked the blue background better, even though I like the color purple more ordinarily.  ","For me, I think it was easier to quickly ""read"" the numbers on the blue background.  ","Yes, the purple one was harder for me to do a quick see.  ",7,8,7,3,5,6,7,6,3,4,"Moderate Agreement","Strong Agreement","Moderate Disagreement","Strong Disagreement","Strong Disagreement","Strong Agreement","Moderate Disagreement","Slight Disagreement","Slight Disagreement","Moderate Agreement","Strong Agreement","Moderate Disagreement","Moderate Agreement","Strong Agreement","Strong Agreement","Moderate Disagreement","Very Strong Disagreement","Strong Agreement",NA
"20405",21605,"CT6vUq1bpied",0,1,"magnitude","switch",4,69,1347.53999998793,1291253,69,1,"blue","48","Female","I found myself forgetting which key was for even and which was for odd.  ","I believe I liked the blue background better, even though I like the color purple more ordinarily.  ","For me, I think it was easier to quickly ""read"" the numbers on the blue background.  ","Yes, the purple one was harder for me to do a quick see.  ",7,8,7,3,5,6,7,6,3,4,"Moderate Agreement","Strong Agreement","Moderate Disagreement","Strong Disagreement","Strong Disagreement","Strong Agreement","Moderate Disagreement","Slight Disagreement","Slight Disagreement","Moderate Agreement","Strong Agreement","Moderate Disagreement","Moderate Agreement","Strong Agreement","Strong Agreement","Moderate Disagreement","Very Strong Disagreement","Strong Agreement",NA
"20406",21606,"CT6vUq1bpied",0,1,"parity","switch",6,69,1520.70500003174,1293277,69,1,"blue","48","Female","I found myself forgetting which key was for even and which was for odd.  ","I believe I liked the blue background better, even though I like the color purple more ordinarily.  ","For me, I think it was easier to quickly ""read"" the numbers on the blue background.  ","Yes, the purple one was harder for me to do a quick see.  ",7,8,7,3,5,6,7,6,3,4,"Moderate Agreement","Strong Agreement","Moderate Disagreement","Strong Disagreement","Strong Disagreement","Strong Agreement","Moderate Disagreement","Slight Disagreement","Slight Disagreement","Moderate Agreement","Strong Agreement","Moderate Disagreement","Moderate Agreement","Strong Agreement","Strong Agreement","Moderate Disagreement","Very Strong Disagreement","Strong Agreement",NA
"20407",21607,"CT6vUq1bpied",0,1,"magnitude","switch",1,69,1210.5599999777,1294989,69,1,"blue","48","Female","I found myself forgetting which key was for even and which was for odd.  ","I believe I liked the blue background better, even though I like the color purple more ordinarily.  ","For me, I think it was easier to quickly ""read"" the numbers on the blue background.  ","Yes, the purple one was harder for me to do a quick see.  ",7,8,7,3,5,6,7,6,3,4,"Moderate Agreement","Strong Agreement","Moderate Disagreement","Strong Disagreement","Strong Disagreement","Strong Agreement","Moderate Disagreement","Slight Disagreement","Slight Disagreement","Moderate Agreement","Strong Agreement","Moderate Disagreement","Moderate Agreement","Strong Agreement","Strong Agreement","Moderate Disagreement","Very Strong Disagreement","Strong Agreement",NA
"20408",21608,"CT6vUq1bpied",0,1,"parity","switch",7,73,1938.81000002148,1297429,73,1,"blue","48","Female","I found myself forgetting which key was for even and which was for odd.  ","I believe I liked the blue background better, even though I like the color purple more ordinarily.  ","For me, I think it was easier to quickly ""read"" the numbers on the blue background.  ","Yes, the purple one was harder for me to do a quick see.  ",7,8,7,3,5,6,7,6,3,4,"Moderate Agreement","Strong Agreement","Moderate Disagreement","Strong Disagreement","Strong Disagreement","Strong Agreement","Moderate Disagreement","Slight Disagreement","Slight Disagreement","Moderate Agreement","Strong Agreement","Moderate Disagreement","Moderate Agreement","Strong Agreement","Strong Agreement","Moderate Disagreement","Very Strong Disagreement","Strong Agreement",NA
"20409",21609,"CT6vUq1bpied",0,1,"magnitude","switch",7,69,1874.3549999781,1299805,73,0,"blue","48","Female","I found myself forgetting which key was for even and which was for odd.  ","I believe I liked the blue background better, even though I like the color purple more ordinarily.  ","For me, I think it was easier to quickly ""read"" the numbers on the blue background.  ","Yes, the purple one was harder for me to do a quick see.  ",7,8,7,3,5,6,7,6,3,4,"Moderate Agreement","Strong Agreement","Moderate Disagreement","Strong Disagreement","Strong Disagreement","Strong Agreement","Moderate Disagreement","Slight Disagreement","Slight Disagreement","Moderate Agreement","Strong Agreement","Moderate Disagreement","Moderate Agreement","Strong Agreement","Strong Agreement","Moderate Disagreement","Very Strong Disagreement","Strong Agreement",NA
"20410",21610,"CT6vUq1bpied",0,1,"parity","switch",7,NA,NA,1302808,73,NA,"blue","48","Female","I found myself forgetting which key was for even and which was for odd.  ","I believe I liked the blue background better, even though I like the color purple more ordinarily.  ","For me, I think it was easier to quickly ""read"" the numbers on the blue background.  ","Yes, the purple one was harder for me to do a quick see.  ",7,8,7,3,5,6,7,6,3,4,"Moderate Agreement","Strong Agreement","Moderate Disagreement","Strong Disagreement","Strong Disagreement","Strong Agreement","Moderate Disagreement","Slight Disagreement","Slight Disagreement","Moderate Agreement","Strong Agreement","Moderate Disagreement","Moderate Agreement","Strong Agreement","Strong Agreement","Moderate Disagreement","Very Strong Disagreement","Strong Agreement",NA
