"","X","id","condition","block","task","switch","probe","key_press","rt","time_elapsed","ans","acc","easy_colour","age","sex","comments","preference","notice","difficult","mental_purple","temporal_purple","effort_purple","performance_purple","frustration_purple","mental_blue","temporal_blue","effort_blue","performance_blue","frustration_blue","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","IP"
"13801",45601,"IYLz6Zy8H2Qr",1,1,"magnitude",NA,2,69,1832.93499983847,745725,69,1,"blue","28","Female","The task was very clear no need to change anything","yes","yes","yes",8,7,8,7,4,9,9,9,7,6,"Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Slight Disagreement","Strong Disagreement","Strong Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Strong Agreement","Strong Agreement","Slight Disagreement","Strong Disagreement","Strong Disagreement","Neither Agreement nor Disagreement",NA
"13802",45602,"IYLz6Zy8H2Qr",1,1,"magnitude","repeat",7,73,1431.48000002839,747660,73,1,"blue","28","Female","The task was very clear no need to change anything","yes","yes","yes",8,7,8,7,4,9,9,9,7,6,"Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Slight Disagreement","Strong Disagreement","Strong Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Strong Agreement","Strong Agreement","Slight Disagreement","Strong Disagreement","Strong Disagreement","Neither Agreement nor Disagreement",NA
"13803",45603,"IYLz6Zy8H2Qr",1,1,"magnitude","repeat",4,69,1063.3300000336,749225,69,1,"blue","28","Female","The task was very clear no need to change anything","yes","yes","yes",8,7,8,7,4,9,9,9,7,6,"Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Slight Disagreement","Strong Disagreement","Strong Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Strong Agreement","Strong Agreement","Slight Disagreement","Strong Disagreement","Strong Disagreement","Neither Agreement nor Disagreement",NA
"13804",45604,"IYLz6Zy8H2Qr",1,1,"magnitude","repeat",2,69,1857.22999996506,751585,69,1,"blue","28","Female","The task was very clear no need to change anything","yes","yes","yes",8,7,8,7,4,9,9,9,7,6,"Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Slight Disagreement","Strong Disagreement","Strong Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Strong Agreement","Strong Agreement","Slight Disagreement","Strong Disagreement","Strong Disagreement","Neither Agreement nor Disagreement",NA
"13805",45605,"IYLz6Zy8H2Qr",1,1,"magnitude","repeat",1,NA,NA,754587,69,NA,"blue","28","Female","The task was very clear no need to change anything","yes","yes","yes",8,7,8,7,4,9,9,9,7,6,"Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Slight Disagreement","Strong Disagreement","Strong Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Strong Agreement","Strong Agreement","Slight Disagreement","Strong Disagreement","Strong Disagreement","Neither Agreement nor Disagreement",NA
"13806",45606,"IYLz6Zy8H2Qr",1,1,"magnitude","repeat",8,69,1577.51500001177,756667,73,0,"blue","28","Female","The task was very clear no need to change anything","yes","yes","yes",8,7,8,7,4,9,9,9,7,6,"Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Slight Disagreement","Strong Disagreement","Strong Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Strong Agreement","Strong Agreement","Slight Disagreement","Strong Disagreement","Strong Disagreement","Neither Agreement nor Disagreement",NA
"13807",45607,"IYLz6Zy8H2Qr",1,1,"magnitude","repeat",7,73,1646.56500006095,758815,73,1,"blue","28","Female","The task was very clear no need to change anything","yes","yes","yes",8,7,8,7,4,9,9,9,7,6,"Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Slight Disagreement","Strong Disagreement","Strong Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Strong Agreement","Strong Agreement","Slight Disagreement","Strong Disagreement","Strong Disagreement","Neither Agreement nor Disagreement",NA
"13808",45608,"IYLz6Zy8H2Qr",1,1,"magnitude","repeat",7,73,1217.7049999591,760534,73,1,"blue","28","Female","The task was very clear no need to change anything","yes","yes","yes",8,7,8,7,4,9,9,9,7,6,"Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Slight Disagreement","Strong Disagreement","Strong Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Strong Agreement","Strong Agreement","Slight Disagreement","Strong Disagreement","Strong Disagreement","Neither Agreement nor Disagreement",NA
"13809",45609,"IYLz6Zy8H2Qr",1,1,"magnitude","repeat",7,73,1262.90500001051,762299,73,1,"blue","28","Female","The task was very clear no need to change anything","yes","yes","yes",8,7,8,7,4,9,9,9,7,6,"Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Slight Disagreement","Strong Disagreement","Strong Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Strong Agreement","Strong Agreement","Slight Disagreement","Strong Disagreement","Strong Disagreement","Neither Agreement nor Disagreement",NA
"13810",45610,"IYLz6Zy8H2Qr",1,1,"magnitude","repeat",6,69,1642.37000001594,764444,73,0,"blue","28","Female","The task was very clear no need to change anything","yes","yes","yes",8,7,8,7,4,9,9,9,7,6,"Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Slight Disagreement","Strong Disagreement","Strong Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Strong Agreement","Strong Agreement","Slight Disagreement","Strong Disagreement","Strong Disagreement","Neither Agreement nor Disagreement",NA
"13811",45611,"IYLz6Zy8H2Qr",1,1,"parity","switch",3,NA,NA,767446,73,NA,"blue","28","Female","The task was very clear no need to change anything","yes","yes","yes",8,7,8,7,4,9,9,9,7,6,"Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Slight Disagreement","Strong Disagreement","Strong Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Strong Agreement","Strong Agreement","Slight Disagreement","Strong Disagreement","Strong Disagreement","Neither Agreement nor Disagreement",NA
"13812",45612,"IYLz6Zy8H2Qr",1,1,"parity","repeat",4,69,1774.72999994643,769724,69,1,"blue","28","Female","The task was very clear no need to change anything","yes","yes","yes",8,7,8,7,4,9,9,9,7,6,"Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Slight Disagreement","Strong Disagreement","Strong Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Strong Agreement","Strong Agreement","Slight Disagreement","Strong Disagreement","Strong Disagreement","Neither Agreement nor Disagreement",NA
