"","X","id","condition","block","task","switch","probe","key_press","rt","time_elapsed","ans","acc","easy_colour","age","sex","comments","preference","notice","difficult","mental_purple","temporal_purple","effort_purple","performance_purple","frustration_purple","mental_blue","temporal_blue","effort_blue","performance_blue","frustration_blue","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","IP"
"69001",110401,"J4UTQs39dgBW",1,1,"magnitude",NA,9,73,728.334999992512,582865,73,1,"blue","30","Male","The instructions were really confusing at the start, and I personally was confused during the task. Also when ""Choosing a Portal"" it would've been easier to know what l was if it was capitalized to be L to make more sense because I thought it was the letter I.","The blue portal made things easier for me","The colors did blend in with the purple one","The purple portal was harder than the blue one",9,9,9,9,9,9,9,9,9,9,"Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Neither Agreement nor Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Very Strong Agreement",NA
"69002",110402,"J4UTQs39dgBW",1,1,"parity","switch",1,NA,NA,585870,73,NA,"blue","30","Male","The instructions were really confusing at the start, and I personally was confused during the task. Also when ""Choosing a Portal"" it would've been easier to know what l was if it was capitalized to be L to make more sense because I thought it was the letter I.","The blue portal made things easier for me","The colors did blend in with the purple one","The purple portal was harder than the blue one",9,9,9,9,9,9,9,9,9,9,"Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Neither Agreement nor Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Very Strong Agreement",NA
"69003",110403,"J4UTQs39dgBW",1,1,"magnitude","switch",1,69,1196.409999975,587568,69,1,"blue","30","Male","The instructions were really confusing at the start, and I personally was confused during the task. Also when ""Choosing a Portal"" it would've been easier to know what l was if it was capitalized to be L to make more sense because I thought it was the letter I.","The blue portal made things easier for me","The colors did blend in with the purple one","The purple portal was harder than the blue one",9,9,9,9,9,9,9,9,9,9,"Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Neither Agreement nor Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Very Strong Agreement",NA
"69004",110404,"J4UTQs39dgBW",1,1,"parity","switch",8,73,876.44999998156,588948,69,0,"blue","30","Male","The instructions were really confusing at the start, and I personally was confused during the task. Also when ""Choosing a Portal"" it would've been easier to know what l was if it was capitalized to be L to make more sense because I thought it was the letter I.","The blue portal made things easier for me","The colors did blend in with the purple one","The purple portal was harder than the blue one",9,9,9,9,9,9,9,9,9,9,"Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Neither Agreement nor Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Very Strong Agreement",NA
"69005",110405,"J4UTQs39dgBW",1,1,"magnitude","switch",9,73,1213.60999997705,590668,73,1,"blue","30","Male","The instructions were really confusing at the start, and I personally was confused during the task. Also when ""Choosing a Portal"" it would've been easier to know what l was if it was capitalized to be L to make more sense because I thought it was the letter I.","The blue portal made things easier for me","The colors did blend in with the purple one","The purple portal was harder than the blue one",9,9,9,9,9,9,9,9,9,9,"Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Neither Agreement nor Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Very Strong Agreement",NA
"69006",110406,"J4UTQs39dgBW",1,1,"parity","switch",9,69,1152.58499991614,592323,73,0,"blue","30","Male","The instructions were really confusing at the start, and I personally was confused during the task. Also when ""Choosing a Portal"" it would've been easier to know what l was if it was capitalized to be L to make more sense because I thought it was the letter I.","The blue portal made things easier for me","The colors did blend in with the purple one","The purple portal was harder than the blue one",9,9,9,9,9,9,9,9,9,9,"Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Neither Agreement nor Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Very Strong Agreement",NA
"69007",110407,"J4UTQs39dgBW",1,1,"magnitude","switch",1,69,1314.29499993101,594141,69,1,"blue","30","Male","The instructions were really confusing at the start, and I personally was confused during the task. Also when ""Choosing a Portal"" it would've been easier to know what l was if it was capitalized to be L to make more sense because I thought it was the letter I.","The blue portal made things easier for me","The colors did blend in with the purple one","The purple portal was harder than the blue one",9,9,9,9,9,9,9,9,9,9,"Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Neither Agreement nor Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Very Strong Agreement",NA
"69008",110408,"J4UTQs39dgBW",1,1,"parity","switch",4,69,854.204999981448,595499,69,1,"blue","30","Male","The instructions were really confusing at the start, and I personally was confused during the task. Also when ""Choosing a Portal"" it would've been easier to know what l was if it was capitalized to be L to make more sense because I thought it was the letter I.","The blue portal made things easier for me","The colors did blend in with the purple one","The purple portal was harder than the blue one",9,9,9,9,9,9,9,9,9,9,"Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Neither Agreement nor Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Very Strong Agreement",NA
"69009",110409,"J4UTQs39dgBW",1,1,"magnitude","switch",1,69,1151.00499999244,597176,69,1,"blue","30","Male","The instructions were really confusing at the start, and I personally was confused during the task. Also when ""Choosing a Portal"" it would've been easier to know what l was if it was capitalized to be L to make more sense because I thought it was the letter I.","The blue portal made things easier for me","The colors did blend in with the purple one","The purple portal was harder than the blue one",9,9,9,9,9,9,9,9,9,9,"Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Neither Agreement nor Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Very Strong Agreement",NA
"69010",110410,"J4UTQs39dgBW",1,1,"magnitude","repeat",7,73,1116.73499993049,598797,73,1,"blue","30","Male","The instructions were really confusing at the start, and I personally was confused during the task. Also when ""Choosing a Portal"" it would've been easier to know what l was if it was capitalized to be L to make more sense because I thought it was the letter I.","The blue portal made things easier for me","The colors did blend in with the purple one","The purple portal was harder than the blue one",9,9,9,9,9,9,9,9,9,9,"Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Neither Agreement nor Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Very Strong Agreement",NA
