"","X","id","condition","block","task","switch","probe","key_press","rt","time_elapsed","ans","acc","easy_colour","age","sex","comments","preference","notice","difficult","mental_purple","temporal_purple","effort_purple","performance_purple","frustration_purple","mental_blue","temporal_blue","effort_blue","performance_blue","frustration_blue","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","IP"
"94801",25201,"JHKcYnzmDWSG",0,1,"parity",NA,6,69,1817.00000000274,470945,69,1,"blue","69","Male","The Stimulus was cool","yes","yes,colour and number variation","little bit",8,7,8,8,2,6,6,8,6,2,"Moderate Disagreement","Slight Agreement","Moderate Disagreement","Moderate Disagreement","Slight Disagreement","Very Strong Agreement","Slight Agreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Slight Disagreement","Moderate Agreement","Slight Disagreement","Moderate Agreement","Slight Disagreement",NA
"94802",25202,"JHKcYnzmDWSG",0,1,"parity","repeat",9,73,891.00000000326,472338,73,1,"blue","69","Male","The Stimulus was cool","yes","yes,colour and number variation","little bit",8,7,8,8,2,6,6,8,6,2,"Moderate Disagreement","Slight Agreement","Moderate Disagreement","Moderate Disagreement","Slight Disagreement","Very Strong Agreement","Slight Agreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Slight Disagreement","Moderate Agreement","Slight Disagreement","Moderate Agreement","Slight Disagreement",NA
"94803",25203,"JHKcYnzmDWSG",0,1,"parity","repeat",9,73,641.999999999825,473481,73,1,"blue","69","Male","The Stimulus was cool","yes","yes,colour and number variation","little bit",8,7,8,8,2,6,6,8,6,2,"Moderate Disagreement","Slight Agreement","Moderate Disagreement","Moderate Disagreement","Slight Disagreement","Very Strong Agreement","Slight Agreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Slight Disagreement","Moderate Agreement","Slight Disagreement","Moderate Agreement","Slight Disagreement",NA
"94804",25204,"JHKcYnzmDWSG",0,1,"magnitude","switch",4,69,810.999999994237,474792,69,1,"blue","69","Male","The Stimulus was cool","yes","yes,colour and number variation","little bit",8,7,8,8,2,6,6,8,6,2,"Moderate Disagreement","Slight Agreement","Moderate Disagreement","Moderate Disagreement","Slight Disagreement","Very Strong Agreement","Slight Agreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Slight Disagreement","Moderate Agreement","Slight Disagreement","Moderate Agreement","Slight Disagreement",NA
"94805",25205,"JHKcYnzmDWSG",0,1,"parity","switch",9,73,980.999999999767,476371,73,1,"blue","69","Male","The Stimulus was cool","yes","yes,colour and number variation","little bit",8,7,8,8,2,6,6,8,6,2,"Moderate Disagreement","Slight Agreement","Moderate Disagreement","Moderate Disagreement","Slight Disagreement","Very Strong Agreement","Slight Agreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Slight Disagreement","Moderate Agreement","Slight Disagreement","Moderate Agreement","Slight Disagreement",NA
"94806",25206,"JHKcYnzmDWSG",0,1,"magnitude","switch",6,73,1016.99999999983,477889,73,1,"blue","69","Male","The Stimulus was cool","yes","yes,colour and number variation","little bit",8,7,8,8,2,6,6,8,6,2,"Moderate Disagreement","Slight Agreement","Moderate Disagreement","Moderate Disagreement","Slight Disagreement","Very Strong Agreement","Slight Agreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Slight Disagreement","Moderate Agreement","Slight Disagreement","Moderate Agreement","Slight Disagreement",NA
"94807",25207,"JHKcYnzmDWSG",0,1,"magnitude","repeat",1,69,1097.99999999814,479488,69,1,"blue","69","Male","The Stimulus was cool","yes","yes,colour and number variation","little bit",8,7,8,8,2,6,6,8,6,2,"Moderate Disagreement","Slight Agreement","Moderate Disagreement","Moderate Disagreement","Slight Disagreement","Very Strong Agreement","Slight Agreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Slight Disagreement","Moderate Agreement","Slight Disagreement","Moderate Agreement","Slight Disagreement",NA
"94808",25208,"JHKcYnzmDWSG",0,1,"parity","switch",4,69,757.000000005064,480748,69,1,"blue","69","Male","The Stimulus was cool","yes","yes,colour and number variation","little bit",8,7,8,8,2,6,6,8,6,2,"Moderate Disagreement","Slight Agreement","Moderate Disagreement","Moderate Disagreement","Slight Disagreement","Very Strong Agreement","Slight Agreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Slight Disagreement","Moderate Agreement","Slight Disagreement","Moderate Agreement","Slight Disagreement",NA
"94809",25209,"JHKcYnzmDWSG",0,1,"magnitude","switch",7,73,763.000000006286,482018,73,1,"blue","69","Male","The Stimulus was cool","yes","yes,colour and number variation","little bit",8,7,8,8,2,6,6,8,6,2,"Moderate Disagreement","Slight Agreement","Moderate Disagreement","Moderate Disagreement","Slight Disagreement","Very Strong Agreement","Slight Agreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Slight Disagreement","Moderate Agreement","Slight Disagreement","Moderate Agreement","Slight Disagreement",NA
"94810",25210,"JHKcYnzmDWSG",0,1,"magnitude","repeat",4,69,1138.00000000629,483658,69,1,"blue","69","Male","The Stimulus was cool","yes","yes,colour and number variation","little bit",8,7,8,8,2,6,6,8,6,2,"Moderate Disagreement","Slight Agreement","Moderate Disagreement","Moderate Disagreement","Slight Disagreement","Very Strong Agreement","Slight Agreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Slight Disagreement","Moderate Agreement","Slight Disagreement","Moderate Agreement","Slight Disagreement",NA
