"","X","id","condition","block","task","switch","probe","key_press","rt","time_elapsed","ans","acc","easy_colour","age","sex","comments","preference","notice","difficult","mental_purple","temporal_purple","effort_purple","performance_purple","frustration_purple","mental_blue","temporal_blue","effort_blue","performance_blue","frustration_blue","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","IP"
"39001",73801,"Jz1nIZjUbHRk",0,1,"parity",NA,3,73,665.000000000873,412092,73,1,"blue","63","male","nice","yes","different game play","none",3,2,6,7,7,7,8,6,5,7,"Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement",NA
"39002",73802,"Jz1nIZjUbHRk",0,1,"parity","repeat",2,73,582.999999998719,413180,69,0,"blue","63","male","nice","yes","different game play","none",3,2,6,7,7,7,8,6,5,7,"Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement",NA
"39003",73803,"Jz1nIZjUbHRk",0,1,"parity","repeat",7,73,667.000000001281,414348,73,1,"blue","63","male","nice","yes","different game play","none",3,2,6,7,7,7,8,6,5,7,"Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement",NA
"39004",73804,"Jz1nIZjUbHRk",0,1,"parity","repeat",6,69,650.000000001455,415500,69,1,"blue","63","male","nice","yes","different game play","none",3,2,6,7,7,7,8,6,5,7,"Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement",NA
"39005",73805,"Jz1nIZjUbHRk",0,1,"parity","repeat",3,69,1002.00000000041,417004,73,0,"blue","63","male","nice","yes","different game play","none",3,2,6,7,7,7,8,6,5,7,"Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement",NA
"39006",73806,"Jz1nIZjUbHRk",0,1,"parity","repeat",4,73,380.000000004657,417885,69,0,"blue","63","male","nice","yes","different game play","none",3,2,6,7,7,7,8,6,5,7,"Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement",NA
"39007",73807,"Jz1nIZjUbHRk",0,1,"parity","repeat",7,73,697.999999996682,419084,73,1,"blue","63","male","nice","yes","different game play","none",3,2,6,7,7,7,8,6,5,7,"Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement",NA
"39008",73808,"Jz1nIZjUbHRk",0,1,"parity","repeat",7,73,474.000000001979,420060,73,1,"blue","63","male","nice","yes","different game play","none",3,2,6,7,7,7,8,6,5,7,"Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement",NA
"39009",73809,"Jz1nIZjUbHRk",0,1,"parity","repeat",7,73,459.999999999127,421020,73,1,"blue","63","male","nice","yes","different game play","none",3,2,6,7,7,7,8,6,5,7,"Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement",NA
"39010",73810,"Jz1nIZjUbHRk",0,1,"magnitude","switch",3,69,666.000000004715,422188,69,1,"blue","63","male","nice","yes","different game play","none",3,2,6,7,7,7,8,6,5,7,"Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement",NA
"39011",73811,"Jz1nIZjUbHRk",0,1,"magnitude","repeat",3,69,923.000000002503,423612,69,1,"blue","63","male","nice","yes","different game play","none",3,2,6,7,7,7,8,6,5,7,"Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement",NA
"39012",73812,"Jz1nIZjUbHRk",0,1,"parity","switch",2,69,875,424988,69,1,"blue","63","male","nice","yes","different game play","none",3,2,6,7,7,7,8,6,5,7,"Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement",NA
"39013",73813,"Jz1nIZjUbHRk",0,1,"parity","repeat",6,73,699.000000000524,426190,69,0,"blue","63","male","nice","yes","different game play","none",3,2,6,7,7,7,8,6,5,7,"Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement",NA
"39014",73814,"Jz1nIZjUbHRk",0,1,"parity","repeat",9,73,665.000000000873,427356,73,1,"blue","63","male","nice","yes","different game play","none",3,2,6,7,7,7,8,6,5,7,"Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement",NA
