"","X","id","condition","block","task","switch","probe","key_press","rt","time_elapsed","ans","acc","easy_colour","age","sex","comments","preference","notice","difficult","mental_purple","temporal_purple","effort_purple","performance_purple","frustration_purple","mental_blue","temporal_blue","effort_blue","performance_blue","frustration_blue","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","IP"
"60301",71701,"KHL1FgcrTwOe",0,1,"magnitude",NA,4,73,248.454999993555,592363,69,0,"purple","56","MALE","OK","OK","OK","OK",5,7,7,6,7,6,7,6,7,7,"Moderate Agreement","Slight Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Slight Agreement","Slight Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Slight Agreement","Slight Disagreement","Slight Disagreement","Neither Agreement nor Disagreement",NA
"60302",71702,"KHL1FgcrTwOe",0,1,"magnitude","repeat",4,69,64.1199999954551,593025,69,1,"purple","56","MALE","OK","OK","OK","OK",5,7,7,6,7,6,7,6,7,7,"Moderate Agreement","Slight Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Slight Agreement","Slight Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Slight Agreement","Slight Disagreement","Slight Disagreement","Neither Agreement nor Disagreement",NA
"60303",71703,"KHL1FgcrTwOe",0,1,"magnitude","repeat",3,69,282.145000004675,593938,69,1,"purple","56","MALE","OK","OK","OK","OK",5,7,7,6,7,6,7,6,7,7,"Moderate Agreement","Slight Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Slight Agreement","Slight Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Slight Agreement","Slight Disagreement","Slight Disagreement","Neither Agreement nor Disagreement",NA
"60304",71704,"KHL1FgcrTwOe",0,1,"magnitude","repeat",3,73,161.410000000615,594616,69,0,"purple","56","MALE","OK","OK","OK","OK",5,7,7,6,7,6,7,6,7,7,"Moderate Agreement","Slight Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Slight Agreement","Slight Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Slight Agreement","Slight Disagreement","Slight Disagreement","Neither Agreement nor Disagreement",NA
"60305",71705,"KHL1FgcrTwOe",0,1,"magnitude","repeat",6,73,315.540000010515,595695,73,1,"purple","56","MALE","OK","OK","OK","OK",5,7,7,6,7,6,7,6,7,7,"Moderate Agreement","Slight Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Slight Agreement","Slight Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Slight Agreement","Slight Disagreement","Slight Disagreement","Neither Agreement nor Disagreement",NA
"60306",71706,"KHL1FgcrTwOe",0,1,"magnitude","repeat",3,69,120.810000022175,596318,69,1,"purple","56","MALE","OK","OK","OK","OK",5,7,7,6,7,6,7,6,7,7,"Moderate Agreement","Slight Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Slight Agreement","Slight Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Slight Agreement","Slight Disagreement","Slight Disagreement","Neither Agreement nor Disagreement",NA
"60307",71707,"KHL1FgcrTwOe",0,1,"magnitude","repeat",8,73,359.654999978375,597215,73,1,"purple","56","MALE","OK","OK","OK","OK",5,7,7,6,7,6,7,6,7,7,"Moderate Agreement","Slight Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Slight Agreement","Slight Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Slight Agreement","Slight Disagreement","Slight Disagreement","Neither Agreement nor Disagreement",NA
"60308",71708,"KHL1FgcrTwOe",0,1,"magnitude","repeat",9,73,125.384999992093,598130,73,1,"purple","56","MALE","OK","OK","OK","OK",5,7,7,6,7,6,7,6,7,7,"Moderate Agreement","Slight Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Slight Agreement","Slight Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Slight Agreement","Slight Disagreement","Slight Disagreement","Neither Agreement nor Disagreement",NA
"60309",71709,"KHL1FgcrTwOe",0,1,"magnitude","repeat",1,73,47.6550000021234,598704,69,0,"purple","56","MALE","OK","OK","OK","OK",5,7,7,6,7,6,7,6,7,7,"Moderate Agreement","Slight Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Slight Agreement","Slight Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Slight Agreement","Slight Disagreement","Slight Disagreement","Neither Agreement nor Disagreement",NA
"60310",71710,"KHL1FgcrTwOe",0,1,"magnitude","repeat",2,73,235.979999997653,599720,69,0,"purple","56","MALE","OK","OK","OK","OK",5,7,7,6,7,6,7,6,7,7,"Moderate Agreement","Slight Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Slight Agreement","Slight Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Slight Agreement","Slight Disagreement","Slight Disagreement","Neither Agreement nor Disagreement",NA
"60311",71711,"KHL1FgcrTwOe",0,1,"parity","switch",3,69,16.5650000271853,600240,73,0,"purple","56","MALE","OK","OK","OK","OK",5,7,7,6,7,6,7,6,7,7,"Moderate Agreement","Slight Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Slight Agreement","Slight Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Slight Agreement","Slight Disagreement","Slight Disagreement","Neither Agreement nor Disagreement",NA
"60312",71712,"KHL1FgcrTwOe",0,1,"parity","repeat",8,69,16.6399999870919,600757,69,1,"purple","56","MALE","OK","OK","OK","OK",5,7,7,6,7,6,7,6,7,7,"Moderate Agreement","Slight Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Slight Agreement","Slight Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Slight Agreement","Slight Disagreement","Slight Disagreement","Neither Agreement nor Disagreement",NA
"60313",71713,"KHL1FgcrTwOe",0,1,"parity","repeat",2,69,11.0949999943841,601477,69,1,"purple","56","MALE","OK","OK","OK","OK",5,7,7,6,7,6,7,6,7,7,"Moderate Agreement","Slight Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Slight Agreement","Slight Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Slight Agreement","Slight Disagreement","Slight Disagreement","Neither Agreement nor Disagreement",NA
"60314",71714,"KHL1FgcrTwOe",0,1,"parity","repeat",1,73,34.9799999967217,602206,73,1,"purple","56","MALE","OK","OK","OK","OK",5,7,7,6,7,6,7,6,7,7,"Moderate Agreement","Slight Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Slight Agreement","Slight Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Slight Agreement","Slight Disagreement","Slight Disagreement","Neither Agreement nor Disagreement",NA
"60315",71715,"KHL1FgcrTwOe",0,1,"parity","repeat",9,69,535.650000005262,603243,73,0,"purple","56","MALE","OK","OK","OK","OK",5,7,7,6,7,6,7,6,7,7,"Moderate Agreement","Slight Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Slight Agreement","Slight Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Slight Agreement","Slight Disagreement","Slight Disagreement","Neither Agreement nor Disagreement",NA
"60316",71716,"KHL1FgcrTwOe",0,1,"parity","repeat",3,69,263.074999995297,604085,73,0,"purple","56","MALE","OK","OK","OK","OK",5,7,7,6,7,6,7,6,7,7,"Moderate Agreement","Slight Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Slight Agreement","Slight Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Slight Agreement","Slight Disagreement","Slight Disagreement","Neither Agreement nor Disagreement",NA
