"","X","id","condition","block","task","switch","probe","key_press","rt","time_elapsed","ans","acc","easy_colour","age","sex","comments","preference","notice","difficult","mental_purple","temporal_purple","effort_purple","performance_purple","frustration_purple","mental_blue","temporal_blue","effort_blue","performance_blue","frustration_blue","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","IP"
"120901",105001,"L4gqibXwMEBu",1,1,"parity",NA,8,73,1915.00000003725,413471,69,0,"blue","36","male","good","no","yes","no",8,7,7,7,8,8,8,8,7,7,"Moderate Agreement","Slight Agreement","Slight Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Slight Agreement","Slight Disagreement","Slight Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement",NA
"120902",105002,"L4gqibXwMEBu",1,1,"parity","repeat",3,73,1865.00000022352,416046,73,1,"blue","36","male","good","no","yes","no",8,7,7,7,8,8,8,8,7,7,"Moderate Agreement","Slight Agreement","Slight Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Slight Agreement","Slight Disagreement","Slight Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement",NA
"120903",105003,"L4gqibXwMEBu",1,1,"parity","repeat",2,NA,NA,419050,69,NA,"blue","36","male","good","no","yes","no",8,7,7,7,8,8,8,8,7,7,"Moderate Agreement","Slight Agreement","Slight Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Slight Agreement","Slight Disagreement","Slight Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement",NA
"120904",105004,"L4gqibXwMEBu",1,1,"parity","repeat",7,NA,NA,422362,73,NA,"blue","36","male","good","no","yes","no",8,7,7,7,8,8,8,8,7,7,"Moderate Agreement","Slight Agreement","Slight Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Slight Agreement","Slight Disagreement","Slight Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement",NA
"120905",105005,"L4gqibXwMEBu",1,1,"parity","repeat",6,NA,NA,425370,69,NA,"blue","36","male","good","no","yes","no",8,7,7,7,8,8,8,8,7,7,"Moderate Agreement","Slight Agreement","Slight Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Slight Agreement","Slight Disagreement","Slight Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement",NA
"120906",105006,"L4gqibXwMEBu",1,1,"parity","repeat",4,73,1226.9999999553,427100,69,0,"blue","36","male","good","no","yes","no",8,7,7,7,8,8,8,8,7,7,"Moderate Agreement","Slight Agreement","Slight Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Slight Agreement","Slight Disagreement","Slight Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement",NA
"120907",105007,"L4gqibXwMEBu",1,1,"parity","repeat",9,73,1003.00000002608,428606,73,1,"blue","36","male","good","no","yes","no",8,7,7,7,8,8,8,8,7,7,"Moderate Agreement","Slight Agreement","Slight Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Slight Agreement","Slight Disagreement","Slight Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement",NA
"120908",105008,"L4gqibXwMEBu",1,1,"parity","repeat",4,73,755.000000353903,429864,69,0,"blue","36","male","good","no","yes","no",8,7,7,7,8,8,8,8,7,7,"Moderate Agreement","Slight Agreement","Slight Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Slight Agreement","Slight Disagreement","Slight Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement",NA
"120909",105009,"L4gqibXwMEBu",1,1,"magnitude","switch",9,73,1378.00000002608,431747,73,1,"blue","36","male","good","no","yes","no",8,7,7,7,8,8,8,8,7,7,"Moderate Agreement","Slight Agreement","Slight Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Slight Agreement","Slight Disagreement","Slight Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement",NA
"120910",105010,"L4gqibXwMEBu",1,1,"magnitude","repeat",8,NA,NA,434749,73,NA,"blue","36","male","good","no","yes","no",8,7,7,7,8,8,8,8,7,7,"Moderate Agreement","Slight Agreement","Slight Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Slight Agreement","Slight Disagreement","Slight Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement",NA
