"","X","id","condition","block","task","switch","probe","key_press","rt","time_elapsed","ans","acc","easy_colour","age","sex","comments","preference","notice","difficult","mental_purple","temporal_purple","effort_purple","performance_purple","frustration_purple","mental_blue","temporal_blue","effort_blue","performance_blue","frustration_blue","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","IP"
"84001",64801,"My8tO9JVEqim",0,1,"magnitude",NA,7,69,1704.99999995809,286019,73,0,"purple","40","female","Its good","yes","yes","no",9,9,9,9,9,8,9,9,9,9,"Moderate Disagreement","Slight Disagreement","Strong Disagreement","Moderate Disagreement","Very Strong Disagreement","Very Strong Agreement","Strong Agreement","Slight Disagreement","Strong Disagreement","Moderate Disagreement","Very Strong Disagreement","Very Strong Disagreement","Strong Disagreement","Strong Agreement","Strong Disagreement","Moderate Disagreement","Slight Disagreement","Very Strong Disagreement",NA
"84002",64802,"My8tO9JVEqim",0,1,"magnitude","repeat",1,73,235.000000044238,286759,69,0,"purple","40","female","Its good","yes","yes","no",9,9,9,9,9,8,9,9,9,9,"Moderate Disagreement","Slight Disagreement","Strong Disagreement","Moderate Disagreement","Very Strong Disagreement","Very Strong Agreement","Strong Agreement","Slight Disagreement","Strong Disagreement","Moderate Disagreement","Very Strong Disagreement","Very Strong Disagreement","Strong Disagreement","Strong Agreement","Strong Disagreement","Moderate Disagreement","Slight Disagreement","Very Strong Disagreement",NA
"84003",64803,"My8tO9JVEqim",0,1,"parity","switch",7,69,237.000000022817,287501,73,0,"purple","40","female","Its good","yes","yes","no",9,9,9,9,9,8,9,9,9,9,"Moderate Disagreement","Slight Disagreement","Strong Disagreement","Moderate Disagreement","Very Strong Disagreement","Very Strong Agreement","Strong Agreement","Slight Disagreement","Strong Disagreement","Moderate Disagreement","Very Strong Disagreement","Very Strong Disagreement","Strong Disagreement","Strong Agreement","Strong Disagreement","Moderate Disagreement","Slight Disagreement","Very Strong Disagreement",NA
"84004",64804,"My8tO9JVEqim",0,1,"magnitude","switch",6,69,25.9999999543652,288028,73,0,"purple","40","female","Its good","yes","yes","no",9,9,9,9,9,8,9,9,9,9,"Moderate Disagreement","Slight Disagreement","Strong Disagreement","Moderate Disagreement","Very Strong Disagreement","Very Strong Agreement","Strong Agreement","Slight Disagreement","Strong Disagreement","Moderate Disagreement","Very Strong Disagreement","Very Strong Disagreement","Strong Disagreement","Strong Agreement","Strong Disagreement","Moderate Disagreement","Slight Disagreement","Very Strong Disagreement",NA
"84005",64805,"My8tO9JVEqim",0,1,"parity","switch",8,69,281.000000017229,288809,69,1,"purple","40","female","Its good","yes","yes","no",9,9,9,9,9,8,9,9,9,9,"Moderate Disagreement","Slight Disagreement","Strong Disagreement","Moderate Disagreement","Very Strong Disagreement","Very Strong Agreement","Strong Agreement","Slight Disagreement","Strong Disagreement","Moderate Disagreement","Very Strong Disagreement","Very Strong Disagreement","Strong Disagreement","Strong Agreement","Strong Disagreement","Moderate Disagreement","Slight Disagreement","Very Strong Disagreement",NA
"84006",64806,"My8tO9JVEqim",0,1,"magnitude","switch",3,69,31.0000000172295,289342,69,1,"purple","40","female","Its good","yes","yes","no",9,9,9,9,9,8,9,9,9,9,"Moderate Disagreement","Slight Disagreement","Strong Disagreement","Moderate Disagreement","Very Strong Disagreement","Very Strong Agreement","Strong Agreement","Slight Disagreement","Strong Disagreement","Moderate Disagreement","Very Strong Disagreement","Very Strong Disagreement","Strong Disagreement","Strong Agreement","Strong Disagreement","Moderate Disagreement","Slight Disagreement","Very Strong Disagreement",NA
"84007",64807,"My8tO9JVEqim",0,1,"parity","switch",8,69,65.0000000023283,289910,69,1,"purple","40","female","Its good","yes","yes","no",9,9,9,9,9,8,9,9,9,9,"Moderate Disagreement","Slight Disagreement","Strong Disagreement","Moderate Disagreement","Very Strong Disagreement","Very Strong Agreement","Strong Agreement","Slight Disagreement","Strong Disagreement","Moderate Disagreement","Very Strong Disagreement","Very Strong Disagreement","Strong Disagreement","Strong Agreement","Strong Disagreement","Moderate Disagreement","Slight Disagreement","Very Strong Disagreement",NA
"84008",64808,"My8tO9JVEqim",0,1,"magnitude","switch",7,69,231.000000028871,290646,73,0,"purple","40","female","Its good","yes","yes","no",9,9,9,9,9,8,9,9,9,9,"Moderate Disagreement","Slight Disagreement","Strong Disagreement","Moderate Disagreement","Very Strong Disagreement","Very Strong Agreement","Strong Agreement","Slight Disagreement","Strong Disagreement","Moderate Disagreement","Very Strong Disagreement","Very Strong Disagreement","Strong Disagreement","Strong Agreement","Strong Disagreement","Moderate Disagreement","Slight Disagreement","Very Strong Disagreement",NA
"84009",64809,"My8tO9JVEqim",0,1,"parity","switch",2,69,118.000000016764,291273,69,1,"purple","40","female","Its good","yes","yes","no",9,9,9,9,9,8,9,9,9,9,"Moderate Disagreement","Slight Disagreement","Strong Disagreement","Moderate Disagreement","Very Strong Disagreement","Very Strong Agreement","Strong Agreement","Slight Disagreement","Strong Disagreement","Moderate Disagreement","Very Strong Disagreement","Very Strong Disagreement","Strong Disagreement","Strong Agreement","Strong Disagreement","Moderate Disagreement","Slight Disagreement","Very Strong Disagreement",NA
"84010",64810,"My8tO9JVEqim",0,1,"magnitude","switch",4,73,5.9999999939464,291782,69,0,"purple","40","female","Its good","yes","yes","no",9,9,9,9,9,8,9,9,9,9,"Moderate Disagreement","Slight Disagreement","Strong Disagreement","Moderate Disagreement","Very Strong Disagreement","Very Strong Agreement","Strong Agreement","Slight Disagreement","Strong Disagreement","Moderate Disagreement","Very Strong Disagreement","Very Strong Disagreement","Strong Disagreement","Strong Agreement","Strong Disagreement","Moderate Disagreement","Slight Disagreement","Very Strong Disagreement",NA
