"","X","id","condition","block","task","switch","probe","key_press","rt","time_elapsed","ans","acc","easy_colour","age","sex","comments","preference","notice","difficult","mental_purple","temporal_purple","effort_purple","performance_purple","frustration_purple","mental_blue","temporal_blue","effort_blue","performance_blue","frustration_blue","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","IP"
"38701",84901,"NGo37PdbDfzl",0,1,"parity",NA,6,NA,NA,958458,69,NA,"blue","    follow insertions","33","very good survey","green","none","no",6,7,7,7,7,7,7,6,7,6,"Very Strong Agreement","Very Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Disagreement","Strong Agreement","Moderate Agreement","Slight Disagreement","Slight Disagreement","Moderate Disagreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Slight Disagreement","Very Strong Agreement","Moderate Disagreement","Strong Disagreement","Slight Disagreement",NA
"38702",84902,"NGo37PdbDfzl",0,1,"magnitude","switch",3,NA,NA,961465,69,NA,"blue","    follow insertions","33","very good survey","green","none","no",6,7,7,7,7,7,7,6,7,6,"Very Strong Agreement","Very Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Disagreement","Strong Agreement","Moderate Agreement","Slight Disagreement","Slight Disagreement","Moderate Disagreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Slight Disagreement","Very Strong Agreement","Moderate Disagreement","Strong Disagreement","Slight Disagreement",NA
"38703",84903,"NGo37PdbDfzl",0,1,"parity","switch",8,69,94.0000000409782,962066,69,1,"blue","    follow insertions","33","very good survey","green","none","no",6,7,7,7,7,7,7,6,7,6,"Very Strong Agreement","Very Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Disagreement","Strong Agreement","Moderate Agreement","Slight Disagreement","Slight Disagreement","Moderate Disagreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Slight Disagreement","Very Strong Agreement","Moderate Disagreement","Strong Disagreement","Slight Disagreement",NA
"38704",84904,"NGo37PdbDfzl",0,1,"magnitude","switch",4,69,2195.99999999627,964763,69,1,"blue","    follow insertions","33","very good survey","green","none","no",6,7,7,7,7,7,7,6,7,6,"Very Strong Agreement","Very Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Disagreement","Strong Agreement","Moderate Agreement","Slight Disagreement","Slight Disagreement","Moderate Disagreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Slight Disagreement","Very Strong Agreement","Moderate Disagreement","Strong Disagreement","Slight Disagreement",NA
"38705",84905,"NGo37PdbDfzl",0,1,"parity","switch",8,NA,NA,967763,69,NA,"blue","    follow insertions","33","very good survey","green","none","no",6,7,7,7,7,7,7,6,7,6,"Very Strong Agreement","Very Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Disagreement","Strong Agreement","Moderate Agreement","Slight Disagreement","Slight Disagreement","Moderate Disagreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Slight Disagreement","Very Strong Agreement","Moderate Disagreement","Strong Disagreement","Slight Disagreement",NA
"38706",84906,"NGo37PdbDfzl",0,1,"magnitude","switch",1,69,2020.99999994971,970287,69,1,"blue","    follow insertions","33","very good survey","green","none","no",6,7,7,7,7,7,7,6,7,6,"Very Strong Agreement","Very Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Disagreement","Strong Agreement","Moderate Agreement","Slight Disagreement","Slight Disagreement","Moderate Disagreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Slight Disagreement","Very Strong Agreement","Moderate Disagreement","Strong Disagreement","Slight Disagreement",NA
"38707",84907,"NGo37PdbDfzl",0,1,"parity","switch",6,NA,NA,973298,69,NA,"blue","    follow insertions","33","very good survey","green","none","no",6,7,7,7,7,7,7,6,7,6,"Very Strong Agreement","Very Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Disagreement","Strong Agreement","Moderate Agreement","Slight Disagreement","Slight Disagreement","Moderate Disagreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Slight Disagreement","Very Strong Agreement","Moderate Disagreement","Strong Disagreement","Slight Disagreement",NA
"38708",84908,"NGo37PdbDfzl",0,1,"magnitude","switch",4,69,2344.00000004098,976149,69,1,"blue","    follow insertions","33","very good survey","green","none","no",6,7,7,7,7,7,7,6,7,6,"Very Strong Agreement","Very Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Disagreement","Strong Agreement","Moderate Agreement","Slight Disagreement","Slight Disagreement","Moderate Disagreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Slight Disagreement","Very Strong Agreement","Moderate Disagreement","Strong Disagreement","Slight Disagreement",NA
"38709",84909,"NGo37PdbDfzl",0,1,"magnitude","repeat",6,69,1925.99999997765,978675,73,0,"blue","    follow insertions","33","very good survey","green","none","no",6,7,7,7,7,7,7,6,7,6,"Very Strong Agreement","Very Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Disagreement","Strong Agreement","Moderate Agreement","Slight Disagreement","Slight Disagreement","Moderate Disagreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Slight Disagreement","Very Strong Agreement","Moderate Disagreement","Strong Disagreement","Slight Disagreement",NA
"38710",84910,"NGo37PdbDfzl",0,1,"parity","switch",3,NA,NA,981678,73,NA,"blue","    follow insertions","33","very good survey","green","none","no",6,7,7,7,7,7,7,6,7,6,"Very Strong Agreement","Very Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Disagreement","Strong Agreement","Moderate Agreement","Slight Disagreement","Slight Disagreement","Moderate Disagreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Slight Disagreement","Very Strong Agreement","Moderate Disagreement","Strong Disagreement","Slight Disagreement",NA
"38711",84911,"NGo37PdbDfzl",0,1,"magnitude","switch",3,69,2117.00000008568,984296,69,1,"blue","    follow insertions","33","very good survey","green","none","no",6,7,7,7,7,7,7,6,7,6,"Very Strong Agreement","Very Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Disagreement","Strong Agreement","Moderate Agreement","Slight Disagreement","Slight Disagreement","Moderate Disagreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Slight Disagreement","Very Strong Agreement","Moderate Disagreement","Strong Disagreement","Slight Disagreement",NA
"38712",84912,"NGo37PdbDfzl",0,1,"parity","switch",8,NA,NA,987308,69,NA,"blue","    follow insertions","33","very good survey","green","none","no",6,7,7,7,7,7,7,6,7,6,"Very Strong Agreement","Very Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Disagreement","Strong Agreement","Moderate Agreement","Slight Disagreement","Slight Disagreement","Moderate Disagreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Slight Disagreement","Very Strong Agreement","Moderate Disagreement","Strong Disagreement","Slight Disagreement",NA
"38713",84913,"NGo37PdbDfzl",0,1,"magnitude","switch",1,69,589.999999850988,988410,69,1,"blue","    follow insertions","33","very good survey","green","none","no",6,7,7,7,7,7,7,6,7,6,"Very Strong Agreement","Very Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Disagreement","Strong Agreement","Moderate Agreement","Slight Disagreement","Slight Disagreement","Moderate Disagreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Slight Disagreement","Very Strong Agreement","Moderate Disagreement","Strong Disagreement","Slight Disagreement",NA
"38714",84914,"NGo37PdbDfzl",0,1,"parity","switch",1,NA,NA,991419,73,NA,"blue","    follow insertions","33","very good survey","green","none","no",6,7,7,7,7,7,7,6,7,6,"Very Strong Agreement","Very Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Disagreement","Strong Agreement","Moderate Agreement","Slight Disagreement","Slight Disagreement","Moderate Disagreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Slight Disagreement","Very Strong Agreement","Moderate Disagreement","Strong Disagreement","Slight Disagreement",NA
"38715",84915,"NGo37PdbDfzl",0,1,"parity","repeat",9,NA,NA,994423,73,NA,"blue","    follow insertions","33","very good survey","green","none","no",6,7,7,7,7,7,7,6,7,6,"Very Strong Agreement","Very Strong Agreement","Slight Agreement","Moderate Agreement","Moderate Disagreement","Strong Agreement","Moderate Agreement","Slight Disagreement","Slight Disagreement","Moderate Disagreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Slight Disagreement","Very Strong Agreement","Moderate Disagreement","Strong Disagreement","Slight Disagreement",NA
