"","X","id","condition","block","task","switch","probe","key_press","rt","time_elapsed","ans","acc","easy_colour","age","sex","comments","preference","notice","difficult","mental_purple","temporal_purple","effort_purple","performance_purple","frustration_purple","mental_blue","temporal_blue","effort_blue","performance_blue","frustration_blue","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","IP"
"65401",61801,"NiuBjWSdFptR",0,1,"magnitude",NA,1,73,1574.00000002235,267614,69,0,"purple","48","Female","good survey","good","well","no",4,6,4,7,5,6,4,7,5,7,"Slight Agreement","Slight Disagreement","Moderate Disagreement","Slight Agreement","Slight Agreement","Strong Disagreement","Slight Disagreement","Slight Disagreement","Moderate Disagreement","Strong Disagreement","Moderate Disagreement","Strong Agreement","Moderate Agreement","Slight Agreement","Slight Agreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement",NA
"65402",61802,"NiuBjWSdFptR",0,1,"magnitude","repeat",2,73,300.999999977648,268424,69,0,"purple","48","Female","good survey","good","well","no",4,6,4,7,5,6,4,7,5,7,"Slight Agreement","Slight Disagreement","Moderate Disagreement","Slight Agreement","Slight Agreement","Strong Disagreement","Slight Disagreement","Slight Disagreement","Moderate Disagreement","Strong Disagreement","Moderate Disagreement","Strong Agreement","Moderate Agreement","Slight Agreement","Slight Agreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement",NA
"65403",61803,"NiuBjWSdFptR",0,1,"magnitude","repeat",8,73,306.999999564141,269234,73,1,"purple","48","Female","good survey","good","well","no",4,6,4,7,5,6,4,7,5,7,"Slight Agreement","Slight Disagreement","Moderate Disagreement","Slight Agreement","Slight Agreement","Strong Disagreement","Slight Disagreement","Slight Disagreement","Moderate Disagreement","Strong Disagreement","Moderate Disagreement","Strong Agreement","Moderate Agreement","Slight Agreement","Slight Agreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement",NA
"65404",61804,"NiuBjWSdFptR",0,1,"magnitude","repeat",7,73,87.0000002905726,269824,73,1,"purple","48","Female","good survey","good","well","no",4,6,4,7,5,6,4,7,5,7,"Slight Agreement","Slight Disagreement","Moderate Disagreement","Slight Agreement","Slight Agreement","Strong Disagreement","Slight Disagreement","Slight Disagreement","Moderate Disagreement","Strong Disagreement","Moderate Disagreement","Strong Agreement","Moderate Agreement","Slight Agreement","Slight Agreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement",NA
"65405",61805,"NiuBjWSdFptR",0,1,"magnitude","repeat",4,73,57.0000000298023,270382,69,0,"purple","48","Female","good survey","good","well","no",4,6,4,7,5,6,4,7,5,7,"Slight Agreement","Slight Disagreement","Moderate Disagreement","Slight Agreement","Slight Agreement","Strong Disagreement","Slight Disagreement","Slight Disagreement","Moderate Disagreement","Strong Disagreement","Moderate Disagreement","Strong Agreement","Moderate Agreement","Slight Agreement","Slight Agreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement",NA
"65406",61806,"NiuBjWSdFptR",0,1,"magnitude","repeat",9,73,99.999999627471,270984,73,1,"purple","48","Female","good survey","good","well","no",4,6,4,7,5,6,4,7,5,7,"Slight Agreement","Slight Disagreement","Moderate Disagreement","Slight Agreement","Slight Agreement","Strong Disagreement","Slight Disagreement","Slight Disagreement","Moderate Disagreement","Strong Disagreement","Moderate Disagreement","Strong Agreement","Moderate Agreement","Slight Agreement","Slight Agreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement",NA
"65407",61807,"NiuBjWSdFptR",0,1,"magnitude","repeat",9,73,18.0000001564622,271502,73,1,"purple","48","Female","good survey","good","well","no",4,6,4,7,5,6,4,7,5,7,"Slight Agreement","Slight Disagreement","Moderate Disagreement","Slight Agreement","Slight Agreement","Strong Disagreement","Slight Disagreement","Slight Disagreement","Moderate Disagreement","Strong Disagreement","Moderate Disagreement","Strong Agreement","Moderate Agreement","Slight Agreement","Slight Agreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement",NA
"65408",61808,"NiuBjWSdFptR",0,1,"magnitude","repeat",9,69,200.999999884516,272204,73,0,"purple","48","Female","good survey","good","well","no",4,6,4,7,5,6,4,7,5,7,"Slight Agreement","Slight Disagreement","Moderate Disagreement","Slight Agreement","Slight Agreement","Strong Disagreement","Slight Disagreement","Slight Disagreement","Moderate Disagreement","Strong Disagreement","Moderate Disagreement","Strong Agreement","Moderate Agreement","Slight Agreement","Slight Agreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement",NA
"65409",61809,"NiuBjWSdFptR",0,1,"magnitude","repeat",4,69,55.9999998658895,272763,69,1,"purple","48","Female","good survey","good","well","no",4,6,4,7,5,6,4,7,5,7,"Slight Agreement","Slight Disagreement","Moderate Disagreement","Slight Agreement","Slight Agreement","Strong Disagreement","Slight Disagreement","Slight Disagreement","Moderate Disagreement","Strong Disagreement","Moderate Disagreement","Strong Agreement","Moderate Agreement","Slight Agreement","Slight Agreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement",NA
"65410",61810,"NiuBjWSdFptR",0,1,"magnitude","repeat",6,69,106.999999843538,273371,73,0,"purple","48","Female","good survey","good","well","no",4,6,4,7,5,6,4,7,5,7,"Slight Agreement","Slight Disagreement","Moderate Disagreement","Slight Agreement","Slight Agreement","Strong Disagreement","Slight Disagreement","Slight Disagreement","Moderate Disagreement","Strong Disagreement","Moderate Disagreement","Strong Agreement","Moderate Agreement","Slight Agreement","Slight Agreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement",NA
