"","X","id","condition","block","task","switch","probe","key_press","rt","time_elapsed","ans","acc","easy_colour","age","sex","comments","preference","notice","difficult","mental_purple","temporal_purple","effort_purple","performance_purple","frustration_purple","mental_blue","temporal_blue","effort_blue","performance_blue","frustration_blue","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","IP"
"114901",102601,"OIt1bYMolTmh",1,1,"magnitude",NA,1,69,1120.33999996493,281959,69,1,"blue","39","male","no comments","no preference","the blue was more odd/even","no",2,3,7,7,2,7,5,7,7,3,"Very Strong Disagreement","Moderate Disagreement","Very Strong Agreement","Strong Agreement","Moderate Disagreement","Very Strong Disagreement","Very Strong Agreement","Slight Agreement","Very Strong Agreement","Neither Agreement nor Disagreement","Moderate Disagreement","Very Strong Agreement","Very Strong Disagreement","Strong Disagreement","Moderate Disagreement","Strong Disagreement","Very Strong Agreement","Very Strong Disagreement",NA
"114902",102602,"OIt1bYMolTmh",1,1,"parity","switch",7,73,696.259999996983,283159,73,1,"blue","39","male","no comments","no preference","the blue was more odd/even","no",2,3,7,7,2,7,5,7,7,3,"Very Strong Disagreement","Moderate Disagreement","Very Strong Agreement","Strong Agreement","Moderate Disagreement","Very Strong Disagreement","Very Strong Agreement","Slight Agreement","Very Strong Agreement","Neither Agreement nor Disagreement","Moderate Disagreement","Very Strong Agreement","Very Strong Disagreement","Strong Disagreement","Moderate Disagreement","Strong Disagreement","Very Strong Agreement","Very Strong Disagreement",NA
"114903",102603,"OIt1bYMolTmh",1,1,"parity","repeat",4,69,707.28000003146,284367,69,1,"blue","39","male","no comments","no preference","the blue was more odd/even","no",2,3,7,7,2,7,5,7,7,3,"Very Strong Disagreement","Moderate Disagreement","Very Strong Agreement","Strong Agreement","Moderate Disagreement","Very Strong Disagreement","Very Strong Agreement","Slight Agreement","Very Strong Agreement","Neither Agreement nor Disagreement","Moderate Disagreement","Very Strong Agreement","Very Strong Disagreement","Strong Disagreement","Moderate Disagreement","Strong Disagreement","Very Strong Agreement","Very Strong Disagreement",NA
"114904",102604,"OIt1bYMolTmh",1,1,"parity","repeat",8,69,761.339999968186,285631,69,1,"blue","39","male","no comments","no preference","the blue was more odd/even","no",2,3,7,7,2,7,5,7,7,3,"Very Strong Disagreement","Moderate Disagreement","Very Strong Agreement","Strong Agreement","Moderate Disagreement","Very Strong Disagreement","Very Strong Agreement","Slight Agreement","Very Strong Agreement","Neither Agreement nor Disagreement","Moderate Disagreement","Very Strong Agreement","Very Strong Disagreement","Strong Disagreement","Moderate Disagreement","Strong Disagreement","Very Strong Agreement","Very Strong Disagreement",NA
"114905",102605,"OIt1bYMolTmh",1,1,"parity","repeat",7,73,538.49500004435,286671,73,1,"blue","39","male","no comments","no preference","the blue was more odd/even","no",2,3,7,7,2,7,5,7,7,3,"Very Strong Disagreement","Moderate Disagreement","Very Strong Agreement","Strong Agreement","Moderate Disagreement","Very Strong Disagreement","Very Strong Agreement","Slight Agreement","Very Strong Agreement","Neither Agreement nor Disagreement","Moderate Disagreement","Very Strong Agreement","Very Strong Disagreement","Strong Disagreement","Moderate Disagreement","Strong Disagreement","Very Strong Agreement","Very Strong Disagreement",NA
"114906",102606,"OIt1bYMolTmh",1,1,"parity","repeat",1,73,699.015000020154,287871,73,1,"blue","39","male","no comments","no preference","the blue was more odd/even","no",2,3,7,7,2,7,5,7,7,3,"Very Strong Disagreement","Moderate Disagreement","Very Strong Agreement","Strong Agreement","Moderate Disagreement","Very Strong Disagreement","Very Strong Agreement","Slight Agreement","Very Strong Agreement","Neither Agreement nor Disagreement","Moderate Disagreement","Very Strong Agreement","Very Strong Disagreement","Strong Disagreement","Moderate Disagreement","Strong Disagreement","Very Strong Agreement","Very Strong Disagreement",NA
"114907",102607,"OIt1bYMolTmh",1,1,"parity","repeat",6,69,595.949999988079,288968,69,1,"blue","39","male","no comments","no preference","the blue was more odd/even","no",2,3,7,7,2,7,5,7,7,3,"Very Strong Disagreement","Moderate Disagreement","Very Strong Agreement","Strong Agreement","Moderate Disagreement","Very Strong Disagreement","Very Strong Agreement","Slight Agreement","Very Strong Agreement","Neither Agreement nor Disagreement","Moderate Disagreement","Very Strong Agreement","Very Strong Disagreement","Strong Disagreement","Moderate Disagreement","Strong Disagreement","Very Strong Agreement","Very Strong Disagreement",NA
"114908",102608,"OIt1bYMolTmh",1,1,"parity","repeat",6,69,592.474999953993,290063,69,1,"blue","39","male","no comments","no preference","the blue was more odd/even","no",2,3,7,7,2,7,5,7,7,3,"Very Strong Disagreement","Moderate Disagreement","Very Strong Agreement","Strong Agreement","Moderate Disagreement","Very Strong Disagreement","Very Strong Agreement","Slight Agreement","Very Strong Agreement","Neither Agreement nor Disagreement","Moderate Disagreement","Very Strong Agreement","Very Strong Disagreement","Strong Disagreement","Moderate Disagreement","Strong Disagreement","Very Strong Agreement","Very Strong Disagreement",NA
"114909",102609,"OIt1bYMolTmh",1,1,"parity","repeat",3,73,650.499999988824,291215,73,1,"blue","39","male","no comments","no preference","the blue was more odd/even","no",2,3,7,7,2,7,5,7,7,3,"Very Strong Disagreement","Moderate Disagreement","Very Strong Agreement","Strong Agreement","Moderate Disagreement","Very Strong Disagreement","Very Strong Agreement","Slight Agreement","Very Strong Agreement","Neither Agreement nor Disagreement","Moderate Disagreement","Very Strong Agreement","Very Strong Disagreement","Strong Disagreement","Moderate Disagreement","Strong Disagreement","Very Strong Agreement","Very Strong Disagreement",NA
"114910",102610,"OIt1bYMolTmh",1,1,"parity","repeat",8,69,914.64500001166,292631,69,1,"blue","39","male","no comments","no preference","the blue was more odd/even","no",2,3,7,7,2,7,5,7,7,3,"Very Strong Disagreement","Moderate Disagreement","Very Strong Agreement","Strong Agreement","Moderate Disagreement","Very Strong Disagreement","Very Strong Agreement","Slight Agreement","Very Strong Agreement","Neither Agreement nor Disagreement","Moderate Disagreement","Very Strong Agreement","Very Strong Disagreement","Strong Disagreement","Moderate Disagreement","Strong Disagreement","Very Strong Agreement","Very Strong Disagreement",NA
