"","X","id","condition","block","task","switch","probe","key_press","rt","time_elapsed","ans","acc","easy_colour","age","sex","comments","preference","notice","difficult","mental_purple","temporal_purple","effort_purple","performance_purple","frustration_purple","mental_blue","temporal_blue","effort_blue","performance_blue","frustration_blue","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","IP"
"28801",81001,"Qc5qz2Emkf8I",0,1,"magnitude",NA,2,69,1207.97999999917,675206,69,1,"purple","35","male","nice survey","no","no","yes",9,9,9,8,8,8,8,9,8,9,"Very Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement",NA
"28802",81002,"Qc5qz2Emkf8I",0,1,"magnitude","repeat",8,73,1140.44999999891,676850,73,1,"purple","35","male","nice survey","no","no","yes",9,9,9,8,8,8,8,9,8,9,"Very Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement",NA
"28803",81003,"Qc5qz2Emkf8I",0,1,"magnitude","repeat",2,69,703.154999995604,678054,69,1,"purple","35","male","nice survey","no","no","yes",9,9,9,8,8,8,8,9,8,9,"Very Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement",NA
"28804",81004,"Qc5qz2Emkf8I",0,1,"magnitude","repeat",6,69,880.084999997169,679436,73,0,"purple","35","male","nice survey","no","no","yes",9,9,9,8,8,8,8,9,8,9,"Very Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement",NA
"28805",81005,"Qc5qz2Emkf8I",0,1,"magnitude","repeat",7,69,758.774999994785,680697,73,0,"purple","35","male","nice survey","no","no","yes",9,9,9,8,8,8,8,9,8,9,"Very Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement",NA
"28806",81006,"Qc5qz2Emkf8I",0,1,"magnitude","repeat",4,73,772.510000002454,681971,69,0,"purple","35","male","nice survey","no","no","yes",9,9,9,8,8,8,8,9,8,9,"Very Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement",NA
"28807",81007,"Qc5qz2Emkf8I",0,1,"parity","switch",7,73,1176.03500000399,683649,73,1,"purple","35","male","nice survey","no","no","yes",9,9,9,8,8,8,8,9,8,9,"Very Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement",NA
"28808",81008,"Qc5qz2Emkf8I",0,1,"parity","repeat",4,69,747.560000003432,684898,69,1,"purple","35","male","nice survey","no","no","yes",9,9,9,8,8,8,8,9,8,9,"Very Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement",NA
"28809",81009,"Qc5qz2Emkf8I",0,1,"parity","repeat",4,73,895.409999997355,686295,69,0,"purple","35","male","nice survey","no","no","yes",9,9,9,8,8,8,8,9,8,9,"Very Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement",NA
"28810",81010,"Qc5qz2Emkf8I",0,1,"parity","repeat",1,73,1009.84999999485,687806,73,1,"purple","35","male","nice survey","no","no","yes",9,9,9,8,8,8,8,9,8,9,"Very Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement",NA
