"","X","id","condition","block","task","switch","probe","key_press","rt","time_elapsed","ans","acc","easy_colour","age","sex","comments","preference","notice","difficult","mental_purple","temporal_purple","effort_purple","performance_purple","frustration_purple","mental_blue","temporal_blue","effort_blue","performance_blue","frustration_blue","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","IP"
"23401",76201,"Rhi4VcMadDue",0,1,"magnitude",NA,4,73,203.999999910593,270597,69,0,"blue","30","Male","very good game","no","no","no",8,7,9,7,7,7,9,8,7,7,"Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement",NA
"23402",76202,"Rhi4VcMadDue",0,1,"magnitude","repeat",6,73,133.99999961257,271232,73,1,"blue","30","Male","very good game","no","no","no",8,7,9,7,7,7,9,8,7,7,"Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement",NA
"23403",76203,"Rhi4VcMadDue",0,1,"magnitude","repeat",4,73,89.9999998509884,271823,69,0,"blue","30","Male","very good game","no","no","no",8,7,9,7,7,7,9,8,7,7,"Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement",NA
"23404",76204,"Rhi4VcMadDue",0,1,"parity","switch",7,73,101.999999955297,272429,73,1,"blue","30","Male","very good game","no","no","no",8,7,9,7,7,7,9,8,7,7,"Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement",NA
"23405",76205,"Rhi4VcMadDue",0,1,"parity","repeat",2,73,163.000000175089,273094,69,0,"blue","30","Male","very good game","no","no","no",8,7,9,7,7,7,9,8,7,7,"Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement",NA
"23406",76206,"Rhi4VcMadDue",0,1,"parity","repeat",3,73,134.000000078231,273728,73,1,"blue","30","Male","very good game","no","no","no",8,7,9,7,7,7,9,8,7,7,"Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement",NA
"23407",76207,"Rhi4VcMadDue",0,1,"parity","repeat",4,73,145.999999716878,274376,69,0,"blue","30","Male","very good game","no","no","no",8,7,9,7,7,7,9,8,7,7,"Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement",NA
"23408",76208,"Rhi4VcMadDue",0,1,"parity","repeat",9,73,86.0000001266599,274963,73,1,"blue","30","Male","very good game","no","no","no",8,7,9,7,7,7,9,8,7,7,"Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement",NA
"23409",76209,"Rhi4VcMadDue",0,1,"parity","repeat",4,69,94.9999997392297,275559,69,1,"blue","30","Male","very good game","no","no","no",8,7,9,7,7,7,9,8,7,7,"Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement",NA
"23410",76210,"Rhi4VcMadDue",0,1,"parity","repeat",9,69,93.0000003427267,276155,73,0,"blue","30","Male","very good game","no","no","no",8,7,9,7,7,7,9,8,7,7,"Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement",NA
"23411",76211,"Rhi4VcMadDue",0,1,"magnitude","switch",2,73,112.00000019744,276769,69,0,"blue","30","Male","very good game","no","no","no",8,7,9,7,7,7,9,8,7,7,"Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement",NA
"23412",76212,"Rhi4VcMadDue",0,1,"magnitude","repeat",1,73,4.99999988824129,277275,69,0,"blue","30","Male","very good game","no","no","no",8,7,9,7,7,7,9,8,7,7,"Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement",NA
"23413",76213,"Rhi4VcMadDue",0,1,"magnitude","repeat",9,73,156.999999657273,277934,73,1,"blue","30","Male","very good game","no","no","no",8,7,9,7,7,7,9,8,7,7,"Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement",NA
"23414",76214,"Rhi4VcMadDue",0,1,"magnitude","repeat",4,69,27.0000002346933,278462,69,1,"blue","30","Male","very good game","no","no","no",8,7,9,7,7,7,9,8,7,7,"Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement",NA
"23415",76215,"Rhi4VcMadDue",0,1,"parity","switch",6,73,1337.99999998882,280301,69,0,"blue","30","Male","very good game","no","no","no",8,7,9,7,7,7,9,8,7,7,"Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement",NA
"23416",76216,"Rhi4VcMadDue",0,1,"parity","repeat",4,73,120.000000111759,280925,69,0,"blue","30","Male","very good game","no","no","no",8,7,9,7,7,7,9,8,7,7,"Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement",NA
