"","X","id","condition","block","task","switch","probe","key_press","rt","time_elapsed","ans","acc","easy_colour","age","sex","comments","preference","notice","difficult","mental_purple","temporal_purple","effort_purple","performance_purple","frustration_purple","mental_blue","temporal_blue","effort_blue","performance_blue","frustration_blue","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","IP"
"4801",3901,"RtgkjdSTIncX",0,1,"parity",NA,7,NA,NA,315614,73,NA,"purple","32","Male","Good survey","No"," I have noticed that there is often more tasks in the ""My Overdue Tasks"" ... Either way if the pre-configured widgets are filtering by per dates","Nothing",7,9,7,9,7,7,8,5,9,7,"Moderate Disagreement","Strong Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Very Strong Agreement","Moderate Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Strong Agreement","Neither Agreement nor Disagreement","Very Strong Agreement","Moderate Agreement",NA
"4802",3902,"RtgkjdSTIncX",0,1,"parity","repeat",3,73,1437.93499981984,317556,73,1,"purple","32","Male","Good survey","No"," I have noticed that there is often more tasks in the ""My Overdue Tasks"" ... Either way if the pre-configured widgets are filtering by per dates","Nothing",7,9,7,9,7,7,8,5,9,7,"Moderate Disagreement","Strong Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Very Strong Agreement","Moderate Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Strong Agreement","Neither Agreement nor Disagreement","Very Strong Agreement","Moderate Agreement",NA
"4803",3903,"RtgkjdSTIncX",0,1,"parity","repeat",6,73,112.195000052452,318170,69,0,"purple","32","Male","Good survey","No"," I have noticed that there is often more tasks in the ""My Overdue Tasks"" ... Either way if the pre-configured widgets are filtering by per dates","Nothing",7,9,7,9,7,7,8,5,9,7,"Moderate Disagreement","Strong Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Very Strong Agreement","Moderate Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Strong Agreement","Neither Agreement nor Disagreement","Very Strong Agreement","Moderate Agreement",NA
"4804",3904,"RtgkjdSTIncX",0,1,"magnitude","switch",4,73,279.955000150949,318952,69,0,"purple","32","Male","Good survey","No"," I have noticed that there is often more tasks in the ""My Overdue Tasks"" ... Either way if the pre-configured widgets are filtering by per dates","Nothing",7,9,7,9,7,7,8,5,9,7,"Moderate Disagreement","Strong Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Very Strong Agreement","Moderate Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Strong Agreement","Neither Agreement nor Disagreement","Very Strong Agreement","Moderate Agreement",NA
"4805",3905,"RtgkjdSTIncX",0,1,"magnitude","repeat",4,73,7.82500021159649,319461,69,0,"purple","32","Male","Good survey","No"," I have noticed that there is often more tasks in the ""My Overdue Tasks"" ... Either way if the pre-configured widgets are filtering by per dates","Nothing",7,9,7,9,7,7,8,5,9,7,"Moderate Disagreement","Strong Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Very Strong Agreement","Moderate Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Strong Agreement","Neither Agreement nor Disagreement","Very Strong Agreement","Moderate Agreement",NA
"4806",3906,"RtgkjdSTIncX",0,1,"magnitude","repeat",1,73,237.17000009492,320200,69,0,"purple","32","Male","Good survey","No"," I have noticed that there is often more tasks in the ""My Overdue Tasks"" ... Either way if the pre-configured widgets are filtering by per dates","Nothing",7,9,7,9,7,7,8,5,9,7,"Moderate Disagreement","Strong Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Very Strong Agreement","Moderate Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Strong Agreement","Neither Agreement nor Disagreement","Very Strong Agreement","Moderate Agreement",NA
"4807",3907,"RtgkjdSTIncX",0,1,"magnitude","repeat",9,73,75.2449999563396,320777,73,1,"purple","32","Male","Good survey","No"," I have noticed that there is often more tasks in the ""My Overdue Tasks"" ... Either way if the pre-configured widgets are filtering by per dates","Nothing",7,9,7,9,7,7,8,5,9,7,"Moderate Disagreement","Strong Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Very Strong Agreement","Moderate Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Strong Agreement","Neither Agreement nor Disagreement","Very Strong Agreement","Moderate Agreement",NA
"4808",3908,"RtgkjdSTIncX",0,1,"magnitude","repeat",8,73,131.5200002864,321411,73,1,"purple","32","Male","Good survey","No"," I have noticed that there is often more tasks in the ""My Overdue Tasks"" ... Either way if the pre-configured widgets are filtering by per dates","Nothing",7,9,7,9,7,7,8,5,9,7,"Moderate Disagreement","Strong Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Very Strong Agreement","Moderate Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Strong Agreement","Neither Agreement nor Disagreement","Very Strong Agreement","Moderate Agreement",NA
"4809",3909,"RtgkjdSTIncX",0,1,"magnitude","repeat",6,73,43.4950003400445,321956,73,1,"purple","32","Male","Good survey","No"," I have noticed that there is often more tasks in the ""My Overdue Tasks"" ... Either way if the pre-configured widgets are filtering by per dates","Nothing",7,9,7,9,7,7,8,5,9,7,"Moderate Disagreement","Strong Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Very Strong Agreement","Moderate Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Strong Agreement","Neither Agreement nor Disagreement","Very Strong Agreement","Moderate Agreement",NA
"4810",3910,"RtgkjdSTIncX",0,1,"parity","switch",3,73,19.4600000977516,322477,73,1,"purple","32","Male","Good survey","No"," I have noticed that there is often more tasks in the ""My Overdue Tasks"" ... Either way if the pre-configured widgets are filtering by per dates","Nothing",7,9,7,9,7,7,8,5,9,7,"Moderate Disagreement","Strong Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Very Strong Agreement","Moderate Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Strong Agreement","Neither Agreement nor Disagreement","Very Strong Agreement","Moderate Agreement",NA
