"","X","id","condition","block","task","switch","probe","key_press","rt","time_elapsed","ans","acc","easy_colour","age","sex","comments","preference","notice","difficult","mental_purple","temporal_purple","effort_purple","performance_purple","frustration_purple","mental_blue","temporal_blue","effort_blue","performance_blue","frustration_blue","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","IP"
"121501",5101,"SbWRuaeLyB1v",0,1,"magnitude",NA,8,73,185.789999995905,373214,73,1,"blue","42","Female","nothing to else good","nothing","good","no",6,5,4,5,5,5,5,4,5,5,"Slight Disagreement","Neither Agreement nor Disagreement","Strong Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Slight Agreement","Slight Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement","Slight Agreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement",NA
"121502",5102,"SbWRuaeLyB1v",0,1,"magnitude","repeat",4,73,71.3899999973364,373788,69,0,"blue","42","Female","nothing to else good","nothing","good","no",6,5,4,5,5,5,5,4,5,5,"Slight Disagreement","Neither Agreement nor Disagreement","Strong Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Slight Agreement","Slight Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement","Slight Agreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement",NA
"121503",5103,"SbWRuaeLyB1v",0,1,"magnitude","repeat",3,73,83.7650000030408,374375,69,0,"blue","42","Female","nothing to else good","nothing","good","no",6,5,4,5,5,5,5,4,5,5,"Slight Disagreement","Neither Agreement nor Disagreement","Strong Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Slight Agreement","Slight Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement","Slight Agreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement",NA
"121504",5104,"SbWRuaeLyB1v",0,1,"magnitude","repeat",4,73,15.4949999996461,374893,69,0,"blue","42","Female","nothing to else good","nothing","good","no",6,5,4,5,5,5,5,4,5,5,"Slight Disagreement","Neither Agreement nor Disagreement","Strong Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Slight Agreement","Slight Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement","Slight Agreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement",NA
"121505",5105,"SbWRuaeLyB1v",0,1,"magnitude","repeat",9,73,21.3650000005146,375416,73,1,"blue","42","Female","nothing to else good","nothing","good","no",6,5,4,5,5,5,5,4,5,5,"Slight Disagreement","Neither Agreement nor Disagreement","Strong Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Slight Agreement","Slight Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement","Slight Agreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement",NA
"121506",5106,"SbWRuaeLyB1v",0,1,"magnitude","repeat",4,73,5.13499999942724,375924,69,0,"blue","42","Female","nothing to else good","nothing","good","no",6,5,4,5,5,5,5,4,5,5,"Slight Disagreement","Neither Agreement nor Disagreement","Strong Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Slight Agreement","Slight Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement","Slight Agreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement",NA
"121507",5107,"SbWRuaeLyB1v",0,1,"magnitude","repeat",9,69,9.13500000024214,376436,73,0,"blue","42","Female","nothing to else good","nothing","good","no",6,5,4,5,5,5,5,4,5,5,"Slight Disagreement","Neither Agreement nor Disagreement","Strong Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Slight Agreement","Slight Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement","Slight Agreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement",NA
"121508",5108,"SbWRuaeLyB1v",0,1,"magnitude","repeat",3,73,147.920000003069,377087,69,0,"blue","42","Female","nothing to else good","nothing","good","no",6,5,4,5,5,5,5,4,5,5,"Slight Disagreement","Neither Agreement nor Disagreement","Strong Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Slight Agreement","Slight Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement","Slight Agreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement",NA
"121509",5109,"SbWRuaeLyB1v",0,1,"magnitude","repeat",4,73,56.6749999998137,377646,69,0,"blue","42","Female","nothing to else good","nothing","good","no",6,5,4,5,5,5,5,4,5,5,"Slight Disagreement","Neither Agreement nor Disagreement","Strong Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Slight Agreement","Slight Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement","Slight Agreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement",NA
"121510",5110,"SbWRuaeLyB1v",0,1,"magnitude","repeat",9,73,32.5599999996484,378181,73,1,"blue","42","Female","nothing to else good","nothing","good","no",6,5,4,5,5,5,5,4,5,5,"Slight Disagreement","Neither Agreement nor Disagreement","Strong Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Slight Agreement","Slight Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement","Slight Agreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement",NA
"121511",5111,"SbWRuaeLyB1v",0,1,"magnitude","repeat",6,73,53.3999999970547,378738,73,1,"blue","42","Female","nothing to else good","nothing","good","no",6,5,4,5,5,5,5,4,5,5,"Slight Disagreement","Neither Agreement nor Disagreement","Strong Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Slight Agreement","Slight Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement","Slight Agreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement",NA
"121512",5112,"SbWRuaeLyB1v",0,1,"magnitude","repeat",6,73,6.4600000041537,379248,73,1,"blue","42","Female","nothing to else good","nothing","good","no",6,5,4,5,5,5,5,4,5,5,"Slight Disagreement","Neither Agreement nor Disagreement","Strong Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Slight Agreement","Slight Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement","Slight Agreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement",NA
"121513",5113,"SbWRuaeLyB1v",0,1,"parity","switch",7,73,26.160000001255,379777,73,1,"blue","42","Female","nothing to else good","nothing","good","no",6,5,4,5,5,5,5,4,5,5,"Slight Disagreement","Neither Agreement nor Disagreement","Strong Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Slight Agreement","Slight Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement","Slight Agreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement",NA
"121514",5114,"SbWRuaeLyB1v",0,1,"parity","repeat",1,73,21.1849999977858,380300,73,1,"blue","42","Female","nothing to else good","nothing","good","no",6,5,4,5,5,5,5,4,5,5,"Slight Disagreement","Neither Agreement nor Disagreement","Strong Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Slight Agreement","Slight Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement","Slight Agreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement",NA
"121515",5115,"SbWRuaeLyB1v",0,1,"parity","repeat",8,73,6.32000000041444,380810,69,0,"blue","42","Female","nothing to else good","nothing","good","no",6,5,4,5,5,5,5,4,5,5,"Slight Disagreement","Neither Agreement nor Disagreement","Strong Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Slight Agreement","Slight Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement","Slight Agreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement",NA
"121516",5116,"SbWRuaeLyB1v",0,1,"parity","repeat",1,73,34.7899999978836,381348,73,1,"blue","42","Female","nothing to else good","nothing","good","no",6,5,4,5,5,5,5,4,5,5,"Slight Disagreement","Neither Agreement nor Disagreement","Strong Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Slight Agreement","Slight Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement","Slight Agreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement",NA
"121517",5117,"SbWRuaeLyB1v",0,1,"parity","repeat",2,73,65.8999999941443,381917,69,0,"blue","42","Female","nothing to else good","nothing","good","no",6,5,4,5,5,5,5,4,5,5,"Slight Disagreement","Neither Agreement nor Disagreement","Strong Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Slight Agreement","Slight Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement","Slight Agreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement",NA
"121518",5118,"SbWRuaeLyB1v",0,1,"parity","repeat",9,73,34.7049999982119,382455,73,1,"blue","42","Female","nothing to else good","nothing","good","no",6,5,4,5,5,5,5,4,5,5,"Slight Disagreement","Neither Agreement nor Disagreement","Strong Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Slight Agreement","Slight Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement","Slight Agreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement",NA
"121519",5119,"SbWRuaeLyB1v",0,1,"parity","repeat",9,69,92.5649999990128,383050,73,0,"blue","42","Female","nothing to else good","nothing","good","no",6,5,4,5,5,5,5,4,5,5,"Slight Disagreement","Neither Agreement nor Disagreement","Strong Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Slight Agreement","Slight Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement","Slight Agreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement",NA
"121520",5120,"SbWRuaeLyB1v",0,1,"parity","repeat",6,73,103.129999995872,383655,69,0,"blue","42","Female","nothing to else good","nothing","good","no",6,5,4,5,5,5,5,4,5,5,"Slight Disagreement","Neither Agreement nor Disagreement","Strong Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Slight Agreement","Slight Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement","Slight Agreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement",NA
"121521",5121,"SbWRuaeLyB1v",0,1,"parity","repeat",8,69,90.4499999960535,384248,69,1,"blue","42","Female","nothing to else good","nothing","good","no",6,5,4,5,5,5,5,4,5,5,"Slight Disagreement","Neither Agreement nor Disagreement","Strong Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Slight Agreement","Slight Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement","Slight Agreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement",NA
"121522",5122,"SbWRuaeLyB1v",0,1,"parity","repeat",1,73,133.889999997336,384884,73,1,"blue","42","Female","nothing to else good","nothing","good","no",6,5,4,5,5,5,5,4,5,5,"Slight Disagreement","Neither Agreement nor Disagreement","Strong Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Slight Agreement","Slight Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement","Slight Agreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement",NA
"121523",5123,"SbWRuaeLyB1v",0,1,"parity","repeat",7,69,121.01000000257,385507,73,0,"blue","42","Female","nothing to else good","nothing","good","no",6,5,4,5,5,5,5,4,5,5,"Slight Disagreement","Neither Agreement nor Disagreement","Strong Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Slight Agreement","Slight Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement","Slight Agreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement",NA
"121524",5124,"SbWRuaeLyB1v",0,1,"parity","repeat",4,69,44.9299999963841,386056,69,1,"blue","42","Female","nothing to else good","nothing","good","no",6,5,4,5,5,5,5,4,5,5,"Slight Disagreement","Neither Agreement nor Disagreement","Strong Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Slight Agreement","Slight Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement","Slight Agreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement",NA
