"","X","id","condition","block","task","switch","probe","key_press","rt","time_elapsed","ans","acc","easy_colour","age","sex","comments","preference","notice","difficult","mental_purple","temporal_purple","effort_purple","performance_purple","frustration_purple","mental_blue","temporal_blue","effort_blue","performance_blue","frustration_blue","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","IP"
"113401",56701,"TGDVBxC2w9Ei",1,1,"magnitude",NA,6,73,2494.20499999542,859892,73,1,"purple","28","Male","i loved the experiment very fun and boosts my alertness thank you","no","the colors are different  ","i tried only on the blue portal ",9,9,5,8,0,9,9,5,8,0,"Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement","Slight Agreement","Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Neither Agreement nor Disagreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Very Strong Disagreement","Moderate Disagreement",NA
"113402",56702,"TGDVBxC2w9Ei",1,1,"magnitude","repeat",7,73,1062.82500000088,861459,73,1,"purple","28","Male","i loved the experiment very fun and boosts my alertness thank you","no","the colors are different  ","i tried only on the blue portal ",9,9,5,8,0,9,9,5,8,0,"Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement","Slight Agreement","Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Neither Agreement nor Disagreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Very Strong Disagreement","Moderate Disagreement",NA
"113403",56703,"TGDVBxC2w9Ei",1,1,"magnitude","repeat",7,73,1063.68499998644,863043,73,1,"purple","28","Male","i loved the experiment very fun and boosts my alertness thank you","no","the colors are different  ","i tried only on the blue portal ",9,9,5,8,0,9,9,5,8,0,"Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement","Slight Agreement","Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Neither Agreement nor Disagreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Very Strong Disagreement","Moderate Disagreement",NA
"113404",56704,"TGDVBxC2w9Ei",1,1,"magnitude","repeat",3,73,1082.65500000562,864630,69,0,"purple","28","Male","i loved the experiment very fun and boosts my alertness thank you","no","the colors are different  ","i tried only on the blue portal ",9,9,5,8,0,9,9,5,8,0,"Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement","Slight Agreement","Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Neither Agreement nor Disagreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Very Strong Disagreement","Moderate Disagreement",NA
"113405",56705,"TGDVBxC2w9Ei",1,1,"magnitude","repeat",3,73,500.864999994519,865635,69,0,"purple","28","Male","i loved the experiment very fun and boosts my alertness thank you","no","the colors are different  ","i tried only on the blue portal ",9,9,5,8,0,9,9,5,8,0,"Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement","Slight Agreement","Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Neither Agreement nor Disagreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Very Strong Disagreement","Moderate Disagreement",NA
"113406",56706,"TGDVBxC2w9Ei",1,1,"magnitude","repeat",1,73,539.694999999483,866694,69,0,"purple","28","Male","i loved the experiment very fun and boosts my alertness thank you","no","the colors are different  ","i tried only on the blue portal ",9,9,5,8,0,9,9,5,8,0,"Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement","Slight Agreement","Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Neither Agreement nor Disagreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Very Strong Disagreement","Moderate Disagreement",NA
"113407",56707,"TGDVBxC2w9Ei",1,1,"magnitude","repeat",4,69,749.869999999646,867948,69,1,"purple","28","Male","i loved the experiment very fun and boosts my alertness thank you","no","the colors are different  ","i tried only on the blue portal ",9,9,5,8,0,9,9,5,8,0,"Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement","Slight Agreement","Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Neither Agreement nor Disagreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Very Strong Disagreement","Moderate Disagreement",NA
"113408",56708,"TGDVBxC2w9Ei",1,1,"magnitude","repeat",3,73,680.519999994431,869146,69,0,"purple","28","Male","i loved the experiment very fun and boosts my alertness thank you","no","the colors are different  ","i tried only on the blue portal ",9,9,5,8,0,9,9,5,8,0,"Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement","Slight Agreement","Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Neither Agreement nor Disagreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Very Strong Disagreement","Moderate Disagreement",NA
"113409",56709,"TGDVBxC2w9Ei",1,1,"magnitude","repeat",1,73,773.62500000163,870423,69,0,"purple","28","Male","i loved the experiment very fun and boosts my alertness thank you","no","the colors are different  ","i tried only on the blue portal ",9,9,5,8,0,9,9,5,8,0,"Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement","Slight Agreement","Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Neither Agreement nor Disagreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Very Strong Disagreement","Moderate Disagreement",NA
"113410",56710,"TGDVBxC2w9Ei",1,1,"magnitude","repeat",4,69,1079.68500000425,872041,69,1,"purple","28","Male","i loved the experiment very fun and boosts my alertness thank you","no","the colors are different  ","i tried only on the blue portal ",9,9,5,8,0,9,9,5,8,0,"Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement","Slight Agreement","Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Neither Agreement nor Disagreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Very Strong Disagreement","Moderate Disagreement",NA
