"","X","id","condition","block","task","switch","probe","key_press","rt","time_elapsed","ans","acc","easy_colour","age","sex","comments","preference","notice","difficult","mental_purple","temporal_purple","effort_purple","performance_purple","frustration_purple","mental_blue","temporal_blue","effort_blue","performance_blue","frustration_blue","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","IP"
"5401",78601,"UhCPT7ZSpvIn",0,1,"parity",NA,4,73,228.999999933876,203300,69,0,"purple","49","male","good and interesting","good","good","nothing",6,9,8,9,8,9,9,9,9,7,"Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement",NA
"5402",78602,"UhCPT7ZSpvIn",0,1,"parity","repeat",7,69,180.000000051223,203983,73,0,"purple","49","male","good and interesting","good","good","nothing",6,9,8,9,8,9,9,9,9,7,"Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement",NA
"5403",78603,"UhCPT7ZSpvIn",0,1,"parity","repeat",9,73,0.999999931082129,204545,73,1,"purple","49","male","good and interesting","good","good","nothing",6,9,8,9,8,9,9,9,9,7,"Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement",NA
"5404",78604,"UhCPT7ZSpvIn",0,1,"parity","repeat",1,73,37.0000000111759,205085,73,1,"purple","49","male","good and interesting","good","good","nothing",6,9,8,9,8,9,9,9,9,7,"Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement",NA
"5405",78605,"UhCPT7ZSpvIn",0,1,"parity","repeat",1,73,138.00000003539,205724,73,1,"purple","49","male","good and interesting","good","good","nothing",6,9,8,9,8,9,9,9,9,7,"Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement",NA
"5406",78606,"UhCPT7ZSpvIn",0,1,"magnitude","switch",7,69,6.00000005215406,206235,73,0,"purple","49","male","good and interesting","good","good","nothing",6,9,8,9,8,9,9,9,9,7,"Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement",NA
"5407",78607,"UhCPT7ZSpvIn",0,1,"magnitude","repeat",2,69,106.999999959953,206844,69,1,"purple","49","male","good and interesting","good","good","nothing",6,9,8,9,8,9,9,9,9,7,"Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement",NA
"5408",78608,"UhCPT7ZSpvIn",0,1,"magnitude","repeat",1,69,61.9999999180436,207408,69,1,"purple","49","male","good and interesting","good","good","nothing",6,9,8,9,8,9,9,9,9,7,"Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement",NA
"5409",78609,"UhCPT7ZSpvIn",0,1,"magnitude","repeat",8,69,72.0000000437722,207983,73,0,"purple","49","male","good and interesting","good","good","nothing",6,9,8,9,8,9,9,9,9,7,"Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement",NA
"5410",78610,"UhCPT7ZSpvIn",0,1,"magnitude","repeat",7,69,197.000000043772,208680,73,0,"purple","49","male","good and interesting","good","good","nothing",6,9,8,9,8,9,9,9,9,7,"Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement",NA
