"","X","id","condition","block","task","switch","probe","key_press","rt","time_elapsed","ans","acc","easy_colour","age","sex","comments","preference","notice","difficult","mental_purple","temporal_purple","effort_purple","performance_purple","frustration_purple","mental_blue","temporal_blue","effort_blue","performance_blue","frustration_blue","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","IP"
"33601",36901,"WS1iXEDlgbF5",1,1,"parity",NA,8,69,379.60000000021,325296,69,1,"blue","30","male","Good",NA,NA,NA,7,9,7,9,7,8,5,5,7,7,"Very Strong Agreement","Slight Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Slight Agreement","Strong Agreement","Slight Agreement",NA
"33602",36902,"WS1iXEDlgbF5",1,1,"parity","repeat",9,73,84.695000001404,325883,73,1,"blue","30","male","Good",NA,NA,NA,7,9,7,9,7,8,5,5,7,7,"Very Strong Agreement","Slight Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Slight Agreement","Strong Agreement","Slight Agreement",NA
"33603",36903,"WS1iXEDlgbF5",1,1,"parity","repeat",3,73,170.750000001164,326555,73,1,"blue","30","male","Good",NA,NA,NA,7,9,7,9,7,8,5,5,7,7,"Very Strong Agreement","Slight Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Slight Agreement","Strong Agreement","Slight Agreement",NA
"33604",36904,"WS1iXEDlgbF5",1,1,"parity","repeat",9,73,25.4999999997672,327083,73,1,"blue","30","male","Good",NA,NA,NA,7,9,7,9,7,8,5,5,7,7,"Very Strong Agreement","Slight Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Slight Agreement","Strong Agreement","Slight Agreement",NA
"33605",36905,"WS1iXEDlgbF5",1,1,"parity","repeat",8,73,20.8899999997811,327605,69,0,"blue","30","male","Good",NA,NA,NA,7,9,7,9,7,8,5,5,7,7,"Very Strong Agreement","Slight Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Slight Agreement","Strong Agreement","Slight Agreement",NA
"33606",36906,"WS1iXEDlgbF5",1,1,"parity","repeat",4,73,2.21000000234926,328194,69,0,"blue","30","male","Good",NA,NA,NA,7,9,7,9,7,8,5,5,7,7,"Very Strong Agreement","Slight Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Slight Agreement","Strong Agreement","Slight Agreement",NA
"33607",36907,"WS1iXEDlgbF5",1,1,"parity","repeat",8,69,90.779999998631,328786,69,1,"blue","30","male","Good",NA,NA,NA,7,9,7,9,7,8,5,5,7,7,"Very Strong Agreement","Slight Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Slight Agreement","Strong Agreement","Slight Agreement",NA
"33608",36908,"WS1iXEDlgbF5",1,1,"parity","repeat",6,69,704.275000000081,329993,69,1,"blue","30","male","Good",NA,NA,NA,7,9,7,9,7,8,5,5,7,7,"Very Strong Agreement","Slight Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Slight Agreement","Strong Agreement","Slight Agreement",NA
"33609",36909,"WS1iXEDlgbF5",1,1,"parity","repeat",9,73,120.829999999842,330619,73,1,"blue","30","male","Good",NA,NA,NA,7,9,7,9,7,8,5,5,7,7,"Very Strong Agreement","Slight Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Slight Agreement","Strong Agreement","Slight Agreement",NA
"33610",36910,"WS1iXEDlgbF5",1,1,"parity","repeat",8,73,102.384999998321,331222,69,0,"blue","30","male","Good",NA,NA,NA,7,9,7,9,7,8,5,5,7,7,"Very Strong Agreement","Slight Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Slight Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Slight Agreement","Strong Agreement","Slight Agreement",NA
