"","X","id","condition","block","task","switch","probe","key_press","rt","time_elapsed","ans","acc","easy_colour","age","sex","comments","preference","notice","difficult","mental_purple","temporal_purple","effort_purple","performance_purple","frustration_purple","mental_blue","temporal_blue","effort_blue","performance_blue","frustration_blue","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","IP"
"7801",74101,"WeAvaf6OKjlC",0,1,"magnitude",NA,6,73,1130.0849999534,344829,73,1,"purple","38","male","Everything was easily understandable.","I chose randomly.","The colors kept getting brighter.","not really.",6,6,5,8,1,6,5,6,6,6,"Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Disagreement","Moderate Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Disagreement","Strong Agreement","Very Strong Agreement",NA
"7802",74102,"WeAvaf6OKjlC",0,1,"magnitude","repeat",6,73,490.730000019539,345821,73,1,"purple","38","male","Everything was easily understandable.","I chose randomly.","The colors kept getting brighter.","not really.",6,6,5,8,1,6,5,6,6,6,"Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Disagreement","Moderate Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Disagreement","Strong Agreement","Very Strong Agreement",NA
"7803",74103,"WeAvaf6OKjlC",0,1,"magnitude","repeat",7,73,506.179999967571,346829,73,1,"purple","38","male","Everything was easily understandable.","I chose randomly.","The colors kept getting brighter.","not really.",6,6,5,8,1,6,5,6,6,6,"Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Disagreement","Moderate Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Disagreement","Strong Agreement","Very Strong Agreement",NA
"7804",74104,"WeAvaf6OKjlC",0,1,"magnitude","repeat",6,73,442.689999996219,347773,73,1,"purple","38","male","Everything was easily understandable.","I chose randomly.","The colors kept getting brighter.","not really.",6,6,5,8,1,6,5,6,6,6,"Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Disagreement","Moderate Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Disagreement","Strong Agreement","Very Strong Agreement",NA
"7805",74105,"WeAvaf6OKjlC",0,1,"magnitude","repeat",4,69,731.124999991152,349005,69,1,"purple","38","male","Everything was easily understandable.","I chose randomly.","The colors kept getting brighter.","not really.",6,6,5,8,1,6,5,6,6,6,"Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Disagreement","Moderate Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Disagreement","Strong Agreement","Very Strong Agreement",NA
"7806",74106,"WeAvaf6OKjlC",0,1,"magnitude","repeat",2,69,427.525000006426,349933,69,1,"purple","38","male","Everything was easily understandable.","I chose randomly.","The colors kept getting brighter.","not really.",6,6,5,8,1,6,5,6,6,6,"Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Disagreement","Moderate Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Disagreement","Strong Agreement","Very Strong Agreement",NA
"7807",74107,"WeAvaf6OKjlC",0,1,"magnitude","repeat",8,73,522.040000010747,350957,73,1,"purple","38","male","Everything was easily understandable.","I chose randomly.","The colors kept getting brighter.","not really.",6,6,5,8,1,6,5,6,6,6,"Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Disagreement","Moderate Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Disagreement","Strong Agreement","Very Strong Agreement",NA
"7808",74108,"WeAvaf6OKjlC",0,1,"magnitude","repeat",2,69,506.690000009257,351965,69,1,"purple","38","male","Everything was easily understandable.","I chose randomly.","The colors kept getting brighter.","not really.",6,6,5,8,1,6,5,6,6,6,"Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Disagreement","Moderate Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Disagreement","Strong Agreement","Very Strong Agreement",NA
"7809",74109,"WeAvaf6OKjlC",0,1,"magnitude","repeat",6,73,538.584999972954,353006,73,1,"purple","38","male","Everything was easily understandable.","I chose randomly.","The colors kept getting brighter.","not really.",6,6,5,8,1,6,5,6,6,6,"Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Disagreement","Moderate Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Disagreement","Strong Agreement","Very Strong Agreement",NA
"7810",74110,"WeAvaf6OKjlC",0,1,"magnitude","repeat",2,69,490.404999989551,353998,69,1,"purple","38","male","Everything was easily understandable.","I chose randomly.","The colors kept getting brighter.","not really.",6,6,5,8,1,6,5,6,6,6,"Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Disagreement","Moderate Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Disagreement","Strong Agreement","Very Strong Agreement",NA
