"","X","id","condition","block","task","switch","probe","key_press","rt","time_elapsed","ans","acc","easy_colour","age","sex","comments","preference","notice","difficult","mental_purple","temporal_purple","effort_purple","performance_purple","frustration_purple","mental_blue","temporal_blue","effort_blue","performance_blue","frustration_blue","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","IP"
"135601",73501,"XBwcqb2iTjYO",0,1,"magnitude",NA,2,69,1894.79999999999,476592,69,1,"blue","33","Male","The instructions were clear to me. I noticed that the blue portal seemed to be easier to me. This portal grouped together green numbers that were less than five or orange numbers that were even much more frequently than the other portal. That is why I chose the blue portal more often. The purple portal was much more random in it's selection of numbers and colors it seemed. It was harder to complete the purple portal because you had to keep thinking about whether this number four should be interpreted as even or less than five constantly. ","I developed a preference for choosing the blue portal.","I noticed that the purple portal was much more random in it's selection of numbers and colors. The blue portal did a better job of grouping together like numbers and colors. This made the blue portal easier to deal with than the purple portal.","The task was much more difficult in the purple portal. Everything was so random that it made the blue portal seem easy by comparison.",8,9,9,6,8,5,3,5,8,0,"Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Moderate Disagreement","Very Strong Disagreement","Very Strong Agreement",NA
"135602",73502,"XBwcqb2iTjYO",0,1,"magnitude","repeat",7,73,1128.70000000024,478226,73,1,"blue","33","Male","The instructions were clear to me. I noticed that the blue portal seemed to be easier to me. This portal grouped together green numbers that were less than five or orange numbers that were even much more frequently than the other portal. That is why I chose the blue portal more often. The purple portal was much more random in it's selection of numbers and colors it seemed. It was harder to complete the purple portal because you had to keep thinking about whether this number four should be interpreted as even or less than five constantly. ","I developed a preference for choosing the blue portal.","I noticed that the purple portal was much more random in it's selection of numbers and colors. The blue portal did a better job of grouping together like numbers and colors. This made the blue portal easier to deal with than the purple portal.","The task was much more difficult in the purple portal. Everything was so random that it made the blue portal seem easy by comparison.",8,9,9,6,8,5,3,5,8,0,"Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Moderate Disagreement","Very Strong Disagreement","Very Strong Agreement",NA
"135603",73503,"XBwcqb2iTjYO",0,1,"magnitude","repeat",7,73,912.099999999977,479641,73,1,"blue","33","Male","The instructions were clear to me. I noticed that the blue portal seemed to be easier to me. This portal grouped together green numbers that were less than five or orange numbers that were even much more frequently than the other portal. That is why I chose the blue portal more often. The purple portal was much more random in it's selection of numbers and colors it seemed. It was harder to complete the purple portal because you had to keep thinking about whether this number four should be interpreted as even or less than five constantly. ","I developed a preference for choosing the blue portal.","I noticed that the purple portal was much more random in it's selection of numbers and colors. The blue portal did a better job of grouping together like numbers and colors. This made the blue portal easier to deal with than the purple portal.","The task was much more difficult in the purple portal. Everything was so random that it made the blue portal seem easy by comparison.",8,9,9,6,8,5,3,5,8,0,"Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Moderate Disagreement","Very Strong Disagreement","Very Strong Agreement",NA
"135604",73504,"XBwcqb2iTjYO",0,1,"magnitude","repeat",9,73,1473.09999999969,481617,73,1,"blue","33","Male","The instructions were clear to me. I noticed that the blue portal seemed to be easier to me. This portal grouped together green numbers that were less than five or orange numbers that were even much more frequently than the other portal. That is why I chose the blue portal more often. The purple portal was much more random in it's selection of numbers and colors it seemed. It was harder to complete the purple portal because you had to keep thinking about whether this number four should be interpreted as even or less than five constantly. ","I developed a preference for choosing the blue portal.","I noticed that the purple portal was much more random in it's selection of numbers and colors. The blue portal did a better job of grouping together like numbers and colors. This made the blue portal easier to deal with than the purple portal.","The task was much more difficult in the purple portal. Everything was so random that it made the blue portal seem easy by comparison.",8,9,9,6,8,5,3,5,8,0,"Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Moderate Disagreement","Very Strong Disagreement","Very Strong Agreement",NA
"135605",73505,"XBwcqb2iTjYO",0,1,"magnitude","repeat",1,69,942.800000000279,483065,69,1,"blue","33","Male","The instructions were clear to me. I noticed that the blue portal seemed to be easier to me. This portal grouped together green numbers that were less than five or orange numbers that were even much more frequently than the other portal. That is why I chose the blue portal more often. The purple portal was much more random in it's selection of numbers and colors it seemed. It was harder to complete the purple portal because you had to keep thinking about whether this number four should be interpreted as even or less than five constantly. ","I developed a preference for choosing the blue portal.","I noticed that the purple portal was much more random in it's selection of numbers and colors. The blue portal did a better job of grouping together like numbers and colors. This made the blue portal easier to deal with than the purple portal.","The task was much more difficult in the purple portal. Everything was so random that it made the blue portal seem easy by comparison.",8,9,9,6,8,5,3,5,8,0,"Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Moderate Disagreement","Very Strong Disagreement","Very Strong Agreement",NA
"135606",73506,"XBwcqb2iTjYO",0,1,"magnitude","repeat",9,73,1444.20000000036,485012,73,1,"blue","33","Male","The instructions were clear to me. I noticed that the blue portal seemed to be easier to me. This portal grouped together green numbers that were less than five or orange numbers that were even much more frequently than the other portal. That is why I chose the blue portal more often. The purple portal was much more random in it's selection of numbers and colors it seemed. It was harder to complete the purple portal because you had to keep thinking about whether this number four should be interpreted as even or less than five constantly. ","I developed a preference for choosing the blue portal.","I noticed that the purple portal was much more random in it's selection of numbers and colors. The blue portal did a better job of grouping together like numbers and colors. This made the blue portal easier to deal with than the purple portal.","The task was much more difficult in the purple portal. Everything was so random that it made the blue portal seem easy by comparison.",8,9,9,6,8,5,3,5,8,0,"Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Moderate Disagreement","Very Strong Disagreement","Very Strong Agreement",NA
"135607",73507,"XBwcqb2iTjYO",0,1,"magnitude","repeat",7,73,1319.1999999999,486834,73,1,"blue","33","Male","The instructions were clear to me. I noticed that the blue portal seemed to be easier to me. This portal grouped together green numbers that were less than five or orange numbers that were even much more frequently than the other portal. That is why I chose the blue portal more often. The purple portal was much more random in it's selection of numbers and colors it seemed. It was harder to complete the purple portal because you had to keep thinking about whether this number four should be interpreted as even or less than five constantly. ","I developed a preference for choosing the blue portal.","I noticed that the purple portal was much more random in it's selection of numbers and colors. The blue portal did a better job of grouping together like numbers and colors. This made the blue portal easier to deal with than the purple portal.","The task was much more difficult in the purple portal. Everything was so random that it made the blue portal seem easy by comparison.",8,9,9,6,8,5,3,5,8,0,"Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Moderate Disagreement","Very Strong Disagreement","Very Strong Agreement",NA
"135608",73508,"XBwcqb2iTjYO",0,1,"magnitude","repeat",9,73,1077.20000000019,488413,73,1,"blue","33","Male","The instructions were clear to me. I noticed that the blue portal seemed to be easier to me. This portal grouped together green numbers that were less than five or orange numbers that were even much more frequently than the other portal. That is why I chose the blue portal more often. The purple portal was much more random in it's selection of numbers and colors it seemed. It was harder to complete the purple portal because you had to keep thinking about whether this number four should be interpreted as even or less than five constantly. ","I developed a preference for choosing the blue portal.","I noticed that the purple portal was much more random in it's selection of numbers and colors. The blue portal did a better job of grouping together like numbers and colors. This made the blue portal easier to deal with than the purple portal.","The task was much more difficult in the purple portal. Everything was so random that it made the blue portal seem easy by comparison.",8,9,9,6,8,5,3,5,8,0,"Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Moderate Disagreement","Very Strong Disagreement","Very Strong Agreement",NA
"135609",73509,"XBwcqb2iTjYO",0,1,"magnitude","repeat",9,73,773.599999999977,489691,73,1,"blue","33","Male","The instructions were clear to me. I noticed that the blue portal seemed to be easier to me. This portal grouped together green numbers that were less than five or orange numbers that were even much more frequently than the other portal. That is why I chose the blue portal more often. The purple portal was much more random in it's selection of numbers and colors it seemed. It was harder to complete the purple portal because you had to keep thinking about whether this number four should be interpreted as even or less than five constantly. ","I developed a preference for choosing the blue portal.","I noticed that the purple portal was much more random in it's selection of numbers and colors. The blue portal did a better job of grouping together like numbers and colors. This made the blue portal easier to deal with than the purple portal.","The task was much more difficult in the purple portal. Everything was so random that it made the blue portal seem easy by comparison.",8,9,9,6,8,5,3,5,8,0,"Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Moderate Disagreement","Very Strong Disagreement","Very Strong Agreement",NA
"135610",73510,"XBwcqb2iTjYO",0,1,"magnitude","repeat",6,73,1437.30000000005,491633,73,1,"blue","33","Male","The instructions were clear to me. I noticed that the blue portal seemed to be easier to me. This portal grouped together green numbers that were less than five or orange numbers that were even much more frequently than the other portal. That is why I chose the blue portal more often. The purple portal was much more random in it's selection of numbers and colors it seemed. It was harder to complete the purple portal because you had to keep thinking about whether this number four should be interpreted as even or less than five constantly. ","I developed a preference for choosing the blue portal.","I noticed that the purple portal was much more random in it's selection of numbers and colors. The blue portal did a better job of grouping together like numbers and colors. This made the blue portal easier to deal with than the purple portal.","The task was much more difficult in the purple portal. Everything was so random that it made the blue portal seem easy by comparison.",8,9,9,6,8,5,3,5,8,0,"Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Moderate Disagreement","Very Strong Disagreement","Very Strong Agreement",NA
