"","X","id","condition","block","task","switch","probe","key_press","rt","time_elapsed","ans","acc","easy_colour","age","sex","comments","preference","notice","difficult","mental_purple","temporal_purple","effort_purple","performance_purple","frustration_purple","mental_blue","temporal_blue","effort_blue","performance_blue","frustration_blue","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","IP"
"143101",52201,"XWChwsAaNEVc",1,1,"magnitude",NA,3,NA,NA,164341,69,NA,"purple","54","male","nothing","2","no","no",5,6,7,5,8,7,8,6,8,8,"Moderate Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Slight Agreement","Very Strong Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement",NA
"143102",52202,"XWChwsAaNEVc",1,1,"parity","switch",1,73,362.460000207648,165207,73,1,"purple","54","male","nothing","2","no","no",5,6,7,5,8,7,8,6,8,8,"Moderate Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Slight Agreement","Very Strong Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement",NA
"143103",52203,"XWChwsAaNEVc",1,1,"magnitude","switch",9,73,158.354999963194,165867,73,1,"purple","54","male","nothing","2","no","no",5,6,7,5,8,7,8,6,8,8,"Moderate Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Slight Agreement","Very Strong Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement",NA
"143104",52204,"XWChwsAaNEVc",1,1,"parity","switch",1,73,7.20000010915101,166376,73,1,"purple","54","male","nothing","2","no","no",5,6,7,5,8,7,8,6,8,8,"Moderate Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Slight Agreement","Very Strong Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement",NA
"143105",52205,"XWChwsAaNEVc",1,1,"magnitude","switch",8,73,128.539999946952,167006,73,1,"purple","54","male","nothing","2","no","no",5,6,7,5,8,7,8,6,8,8,"Moderate Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Slight Agreement","Very Strong Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement",NA
"143106",52206,"XWChwsAaNEVc",1,1,"parity","switch",4,73,38.9900000300258,167547,69,0,"purple","54","male","nothing","2","no","no",5,6,7,5,8,7,8,6,8,8,"Moderate Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Slight Agreement","Very Strong Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement",NA
"143107",52207,"XWChwsAaNEVc",1,1,"magnitude","switch",3,73,38.5249999817461,168087,69,0,"purple","54","male","nothing","2","no","no",5,6,7,5,8,7,8,6,8,8,"Moderate Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Slight Agreement","Very Strong Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement",NA
"143108",52208,"XWChwsAaNEVc",1,1,"parity","switch",2,73,129.309999989346,168718,69,0,"purple","54","male","nothing","2","no","no",5,6,7,5,8,7,8,6,8,8,"Moderate Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Slight Agreement","Very Strong Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement",NA
"143109",52209,"XWChwsAaNEVc",1,1,"magnitude","switch",8,73,32.5650000013411,169252,73,1,"purple","54","male","nothing","2","no","no",5,6,7,5,8,7,8,6,8,8,"Moderate Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Slight Agreement","Very Strong Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement",NA
"143110",52210,"XWChwsAaNEVc",1,1,"parity","switch",6,73,221.769999945536,169977,69,0,"purple","54","male","nothing","2","no","no",5,6,7,5,8,7,8,6,8,8,"Moderate Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Slight Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Slight Agreement","Very Strong Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement",NA
