"","X","id","condition","block","task","switch","probe","key_press","rt","time_elapsed","ans","acc","easy_colour","age","sex","comments","preference","notice","difficult","mental_purple","temporal_purple","effort_purple","performance_purple","frustration_purple","mental_blue","temporal_blue","effort_blue","performance_blue","frustration_blue","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","IP"
"37201",91801,"Y5i6z8qZQGVM",1,1,"parity",NA,4,73,1251.3100001961,562012,69,0,"blue","53","male","good survey","good","5 star game","good survey",8,9,8,9,8,8,9,8,9,9,"Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Very Strong Agreement",NA
"37202",91802,"Y5i6z8qZQGVM",1,1,"magnitude","switch",4,73,2177.32500005513,564692,69,0,"blue","53","male","good survey","good","5 star game","good survey",8,9,8,9,8,8,9,8,9,9,"Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Very Strong Agreement",NA
"37203",91803,"Y5i6z8qZQGVM",1,1,"magnitude","repeat",3,73,61.2199995666742,565256,69,0,"blue","53","male","good survey","good","5 star game","good survey",8,9,8,9,8,8,9,8,9,9,"Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Very Strong Agreement",NA
"37204",91804,"Y5i6z8qZQGVM",1,1,"magnitude","repeat",3,73,1273.79499934614,567032,69,0,"blue","53","male","good survey","good","5 star game","good survey",8,9,8,9,8,8,9,8,9,9,"Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Very Strong Agreement",NA
"37205",91805,"Y5i6z8qZQGVM",1,1,"magnitude","repeat",6,NA,NA,570034,73,NA,"blue","53","male","good survey","good","5 star game","good survey",8,9,8,9,8,8,9,8,9,9,"Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Very Strong Agreement",NA
"37206",91806,"Y5i6z8qZQGVM",1,1,"magnitude","repeat",7,NA,NA,573038,73,NA,"blue","53","male","good survey","good","5 star game","good survey",8,9,8,9,8,8,9,8,9,9,"Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Very Strong Agreement",NA
"37207",91807,"Y5i6z8qZQGVM",1,1,"magnitude","repeat",9,73,628.750000149012,574169,73,1,"blue","53","male","good survey","good","5 star game","good survey",8,9,8,9,8,8,9,8,9,9,"Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Very Strong Agreement",NA
"37208",91808,"Y5i6z8qZQGVM",1,1,"parity","switch",6,NA,NA,577172,69,NA,"blue","53","male","good survey","good","5 star game","good survey",8,9,8,9,8,8,9,8,9,9,"Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Very Strong Agreement",NA
"37209",91809,"Y5i6z8qZQGVM",1,1,"parity","repeat",2,73,924.000000581145,578598,69,0,"blue","53","male","good survey","good","5 star game","good survey",8,9,8,9,8,8,9,8,9,9,"Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Very Strong Agreement",NA
"37210",91810,"Y5i6z8qZQGVM",1,1,"parity","repeat",4,73,162.205000407994,579262,69,0,"blue","53","male","good survey","good","5 star game","good survey",8,9,8,9,8,8,9,8,9,9,"Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Very Strong Agreement",NA
"37211",91811,"Y5i6z8qZQGVM",1,1,"parity","repeat",2,73,1849.39999971539,581612,69,0,"blue","53","male","good survey","good","5 star game","good survey",8,9,8,9,8,8,9,8,9,9,"Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Very Strong Agreement",NA
"37212",91812,"Y5i6z8qZQGVM",1,1,"parity","repeat",4,NA,NA,584617,69,NA,"blue","53","male","good survey","good","5 star game","good survey",8,9,8,9,8,8,9,8,9,9,"Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Very Strong Agreement",NA
"37213",91813,"Y5i6z8qZQGVM",1,1,"parity","repeat",8,73,278.775000013411,585397,69,0,"blue","53","male","good survey","good","5 star game","good survey",8,9,8,9,8,8,9,8,9,9,"Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Very Strong Agreement",NA
"37214",91814,"Y5i6z8qZQGVM",1,1,"parity","repeat",1,73,887.775000184774,586787,73,1,"blue","53","male","good survey","good","5 star game","good survey",8,9,8,9,8,8,9,8,9,9,"Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Very Strong Agreement",NA
"37215",91815,"Y5i6z8qZQGVM",1,1,"parity","repeat",2,73,693.884999491274,587982,69,0,"blue","53","male","good survey","good","5 star game","good survey",8,9,8,9,8,8,9,8,9,9,"Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Very Strong Agreement",NA
"37216",91816,"Y5i6z8qZQGVM",1,1,"parity","repeat",9,73,997.170000337064,589482,73,1,"blue","53","male","good survey","good","5 star game","good survey",8,9,8,9,8,8,9,8,9,9,"Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Very Strong Agreement",NA
"37217",91817,"Y5i6z8qZQGVM",1,1,"parity","repeat",4,73,805.120000615716,590790,69,0,"blue","53","male","good survey","good","5 star game","good survey",8,9,8,9,8,8,9,8,9,9,"Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Very Strong Agreement",NA
"37218",91818,"Y5i6z8qZQGVM",1,1,"parity","repeat",6,73,752.930000424385,592045,69,0,"blue","53","male","good survey","good","5 star game","good survey",8,9,8,9,8,8,9,8,9,9,"Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Very Strong Agreement",NA
"37219",91819,"Y5i6z8qZQGVM",1,1,"parity","repeat",4,73,879.910000599921,593427,69,0,"blue","53","male","good survey","good","5 star game","good survey",8,9,8,9,8,8,9,8,9,9,"Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Very Strong Agreement",NA
"37220",91820,"Y5i6z8qZQGVM",1,1,"magnitude","switch",4,73,548.425000160933,594477,69,0,"blue","53","male","good survey","good","5 star game","good survey",8,9,8,9,8,8,9,8,9,9,"Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Slight Agreement","Very Strong Agreement",NA
