"","X","id","condition","block","task","switch","probe","key_press","rt","time_elapsed","ans","acc","easy_colour","age","sex","comments","preference","notice","difficult","mental_purple","temporal_purple","effort_purple","performance_purple","frustration_purple","mental_blue","temporal_blue","effort_blue","performance_blue","frustration_blue","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","IP"
"62401",16501,"YowFc6hz8UCN",0,1,"parity",NA,2,69,1577.4949999759,444727,69,1,"blue","51","Male",NA,"Not really","no","no",7,2,8,5,5,8,2,7,4,5,"Strong Agreement","Strong Agreement","Strong Disagreement","Strong Disagreement","Strong Disagreement","Strong Agreement","Strong Disagreement","Strong Disagreement","Strong Disagreement","Strong Agreement","Strong Agreement","Strong Disagreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Disagreement","Moderate Disagreement","Slight Agreement",NA
"62402",16502,"YowFc6hz8UCN",0,1,"parity","repeat",8,69,1859.54999999376,447090,69,1,"blue","51","Male",NA,"Not really","no","no",7,2,8,5,5,8,2,7,4,5,"Strong Agreement","Strong Agreement","Strong Disagreement","Strong Disagreement","Strong Disagreement","Strong Agreement","Strong Disagreement","Strong Disagreement","Strong Disagreement","Strong Agreement","Strong Agreement","Strong Disagreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Disagreement","Moderate Disagreement","Slight Agreement",NA
"62403",16503,"YowFc6hz8UCN",0,1,"parity","repeat",2,69,954.534999968018,448551,69,1,"blue","51","Male",NA,"Not really","no","no",7,2,8,5,5,8,2,7,4,5,"Strong Agreement","Strong Agreement","Strong Disagreement","Strong Disagreement","Strong Disagreement","Strong Agreement","Strong Disagreement","Strong Disagreement","Strong Disagreement","Strong Agreement","Strong Agreement","Strong Disagreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Disagreement","Moderate Disagreement","Slight Agreement",NA
"62404",16504,"YowFc6hz8UCN",0,1,"parity","repeat",9,73,813.330000033602,449865,73,1,"blue","51","Male",NA,"Not really","no","no",7,2,8,5,5,8,2,7,4,5,"Strong Agreement","Strong Agreement","Strong Disagreement","Strong Disagreement","Strong Disagreement","Strong Agreement","Strong Disagreement","Strong Disagreement","Strong Disagreement","Strong Agreement","Strong Agreement","Strong Disagreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Disagreement","Moderate Disagreement","Slight Agreement",NA
"62405",16505,"YowFc6hz8UCN",0,1,"parity","repeat",9,73,580.795000016224,450948,73,1,"blue","51","Male",NA,"Not really","no","no",7,2,8,5,5,8,2,7,4,5,"Strong Agreement","Strong Agreement","Strong Disagreement","Strong Disagreement","Strong Disagreement","Strong Agreement","Strong Disagreement","Strong Disagreement","Strong Disagreement","Strong Agreement","Strong Agreement","Strong Disagreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Disagreement","Moderate Disagreement","Slight Agreement",NA
"62406",16506,"YowFc6hz8UCN",0,1,"parity","repeat",1,69,740.935000008903,452191,73,0,"blue","51","Male",NA,"Not really","no","no",7,2,8,5,5,8,2,7,4,5,"Strong Agreement","Strong Agreement","Strong Disagreement","Strong Disagreement","Strong Disagreement","Strong Agreement","Strong Disagreement","Strong Disagreement","Strong Disagreement","Strong Agreement","Strong Agreement","Strong Disagreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Disagreement","Moderate Disagreement","Slight Agreement",NA
"62407",16507,"YowFc6hz8UCN",0,1,"parity","repeat",1,73,1303.48499998217,453999,73,1,"blue","51","Male",NA,"Not really","no","no",7,2,8,5,5,8,2,7,4,5,"Strong Agreement","Strong Agreement","Strong Disagreement","Strong Disagreement","Strong Disagreement","Strong Agreement","Strong Disagreement","Strong Disagreement","Strong Disagreement","Strong Agreement","Strong Agreement","Strong Disagreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Disagreement","Moderate Disagreement","Slight Agreement",NA
"62408",16508,"YowFc6hz8UCN",0,1,"parity","repeat",1,73,627.504999982193,455130,73,1,"blue","51","Male",NA,"Not really","no","no",7,2,8,5,5,8,2,7,4,5,"Strong Agreement","Strong Agreement","Strong Disagreement","Strong Disagreement","Strong Disagreement","Strong Agreement","Strong Disagreement","Strong Disagreement","Strong Disagreement","Strong Agreement","Strong Agreement","Strong Disagreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Disagreement","Moderate Disagreement","Slight Agreement",NA
"62409",16509,"YowFc6hz8UCN",0,1,"magnitude","switch",9,73,2281.43000003183,457915,73,1,"blue","51","Male",NA,"Not really","no","no",7,2,8,5,5,8,2,7,4,5,"Strong Agreement","Strong Agreement","Strong Disagreement","Strong Disagreement","Strong Disagreement","Strong Agreement","Strong Disagreement","Strong Disagreement","Strong Disagreement","Strong Agreement","Strong Agreement","Strong Disagreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Disagreement","Moderate Disagreement","Slight Agreement",NA
"62410",16510,"YowFc6hz8UCN",0,1,"magnitude","repeat",8,73,820.359999954235,459236,73,1,"blue","51","Male",NA,"Not really","no","no",7,2,8,5,5,8,2,7,4,5,"Strong Agreement","Strong Agreement","Strong Disagreement","Strong Disagreement","Strong Disagreement","Strong Agreement","Strong Disagreement","Strong Disagreement","Strong Disagreement","Strong Agreement","Strong Agreement","Strong Disagreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Disagreement","Moderate Disagreement","Slight Agreement",NA
