"","X","id","condition","block","task","switch","probe","key_press","rt","time_elapsed","ans","acc","easy_colour","age","sex","comments","preference","notice","difficult","mental_purple","temporal_purple","effort_purple","performance_purple","frustration_purple","mental_blue","temporal_blue","effort_blue","performance_blue","frustration_blue","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","IP"
"108901",1801,"Yvzqo4XaeA2J",0,1,"parity",NA,7,73,545.680000097491,690100,73,1,"purple","51","Male","Worked very well no problems","I liked the blue background think it was easier to concentrate","no","not really just liked the blue better",7,6,8,8,2,6,6,9,8,1,"Moderate Agreement","Strong Agreement","Strong Disagreement","Slight Disagreement","Moderate Disagreement","Slight Agreement","Strong Disagreement","Slight Disagreement","Slight Agreement","Moderate Agreement","Strong Agreement","Strong Disagreement","Strong Agreement","Moderate Agreement","Strong Agreement","Slight Disagreement","Very Strong Disagreement","Slight Agreement",NA
"108902",1802,"Yvzqo4XaeA2J",0,1,"parity","repeat",4,69,709.07499990426,691314,69,1,"purple","51","Male","Worked very well no problems","I liked the blue background think it was easier to concentrate","no","not really just liked the blue better",7,6,8,8,2,6,6,9,8,1,"Moderate Agreement","Strong Agreement","Strong Disagreement","Slight Disagreement","Moderate Disagreement","Slight Agreement","Strong Disagreement","Slight Disagreement","Slight Agreement","Moderate Agreement","Strong Agreement","Strong Disagreement","Strong Agreement","Moderate Agreement","Strong Agreement","Slight Disagreement","Very Strong Disagreement","Slight Agreement",NA
"108903",1803,"Yvzqo4XaeA2J",0,1,"parity","repeat",4,69,696.809999994002,692512,69,1,"purple","51","Male","Worked very well no problems","I liked the blue background think it was easier to concentrate","no","not really just liked the blue better",7,6,8,8,2,6,6,9,8,1,"Moderate Agreement","Strong Agreement","Strong Disagreement","Slight Disagreement","Moderate Disagreement","Slight Agreement","Strong Disagreement","Slight Disagreement","Slight Agreement","Moderate Agreement","Strong Agreement","Strong Disagreement","Strong Agreement","Moderate Agreement","Strong Agreement","Slight Disagreement","Very Strong Disagreement","Slight Agreement",NA
"108904",1804,"Yvzqo4XaeA2J",0,1,"parity","repeat",8,69,947.090000030585,693960,69,1,"purple","51","Male","Worked very well no problems","I liked the blue background think it was easier to concentrate","no","not really just liked the blue better",7,6,8,8,2,6,6,9,8,1,"Moderate Agreement","Strong Agreement","Strong Disagreement","Slight Disagreement","Moderate Disagreement","Slight Agreement","Strong Disagreement","Slight Disagreement","Slight Agreement","Moderate Agreement","Strong Agreement","Strong Disagreement","Strong Agreement","Moderate Agreement","Strong Agreement","Slight Disagreement","Very Strong Disagreement","Slight Agreement",NA
"108905",1805,"Yvzqo4XaeA2J",0,1,"parity","repeat",8,69,779.605000047013,695241,69,1,"purple","51","Male","Worked very well no problems","I liked the blue background think it was easier to concentrate","no","not really just liked the blue better",7,6,8,8,2,6,6,9,8,1,"Moderate Agreement","Strong Agreement","Strong Disagreement","Slight Disagreement","Moderate Disagreement","Slight Agreement","Strong Disagreement","Slight Disagreement","Slight Agreement","Moderate Agreement","Strong Agreement","Strong Disagreement","Strong Agreement","Moderate Agreement","Strong Agreement","Slight Disagreement","Very Strong Disagreement","Slight Agreement",NA
"108906",1806,"Yvzqo4XaeA2J",0,1,"parity","repeat",1,73,863.110000034794,696606,73,1,"purple","51","Male","Worked very well no problems","I liked the blue background think it was easier to concentrate","no","not really just liked the blue better",7,6,8,8,2,6,6,9,8,1,"Moderate Agreement","Strong Agreement","Strong Disagreement","Slight Disagreement","Moderate Disagreement","Slight Agreement","Strong Disagreement","Slight Disagreement","Slight Agreement","Moderate Agreement","Strong Agreement","Strong Disagreement","Strong Agreement","Moderate Agreement","Strong Agreement","Slight Disagreement","Very Strong Disagreement","Slight Agreement",NA
"108907",1807,"Yvzqo4XaeA2J",0,1,"magnitude","switch",9,73,959.124999935739,698066,73,1,"purple","51","Male","Worked very well no problems","I liked the blue background think it was easier to concentrate","no","not really just liked the blue better",7,6,8,8,2,6,6,9,8,1,"Moderate Agreement","Strong Agreement","Strong Disagreement","Slight Disagreement","Moderate Disagreement","Slight Agreement","Strong Disagreement","Slight Disagreement","Slight Agreement","Moderate Agreement","Strong Agreement","Strong Disagreement","Strong Agreement","Moderate Agreement","Strong Agreement","Slight Disagreement","Very Strong Disagreement","Slight Agreement",NA
"108908",1808,"Yvzqo4XaeA2J",0,1,"magnitude","repeat",9,73,611.520000034943,699180,73,1,"purple","51","Male","Worked very well no problems","I liked the blue background think it was easier to concentrate","no","not really just liked the blue better",7,6,8,8,2,6,6,9,8,1,"Moderate Agreement","Strong Agreement","Strong Disagreement","Slight Disagreement","Moderate Disagreement","Slight Agreement","Strong Disagreement","Slight Disagreement","Slight Agreement","Moderate Agreement","Strong Agreement","Strong Disagreement","Strong Agreement","Moderate Agreement","Strong Agreement","Slight Disagreement","Very Strong Disagreement","Slight Agreement",NA
"108909",1809,"Yvzqo4XaeA2J",0,1,"magnitude","repeat",1,69,626.384999952279,700308,69,1,"purple","51","Male","Worked very well no problems","I liked the blue background think it was easier to concentrate","no","not really just liked the blue better",7,6,8,8,2,6,6,9,8,1,"Moderate Agreement","Strong Agreement","Strong Disagreement","Slight Disagreement","Moderate Disagreement","Slight Agreement","Strong Disagreement","Slight Disagreement","Slight Agreement","Moderate Agreement","Strong Agreement","Strong Disagreement","Strong Agreement","Moderate Agreement","Strong Agreement","Slight Disagreement","Very Strong Disagreement","Slight Agreement",NA
"108910",1810,"Yvzqo4XaeA2J",0,1,"magnitude","repeat",3,69,608.179999981076,701418,69,1,"purple","51","Male","Worked very well no problems","I liked the blue background think it was easier to concentrate","no","not really just liked the blue better",7,6,8,8,2,6,6,9,8,1,"Moderate Agreement","Strong Agreement","Strong Disagreement","Slight Disagreement","Moderate Disagreement","Slight Agreement","Strong Disagreement","Slight Disagreement","Slight Agreement","Moderate Agreement","Strong Agreement","Strong Disagreement","Strong Agreement","Moderate Agreement","Strong Agreement","Slight Disagreement","Very Strong Disagreement","Slight Agreement",NA
"108911",1811,"Yvzqo4XaeA2J",0,1,"magnitude","repeat",2,69,567.819999996573,702486,69,1,"purple","51","Male","Worked very well no problems","I liked the blue background think it was easier to concentrate","no","not really just liked the blue better",7,6,8,8,2,6,6,9,8,1,"Moderate Agreement","Strong Agreement","Strong Disagreement","Slight Disagreement","Moderate Disagreement","Slight Agreement","Strong Disagreement","Slight Disagreement","Slight Agreement","Moderate Agreement","Strong Agreement","Strong Disagreement","Strong Agreement","Moderate Agreement","Strong Agreement","Slight Disagreement","Very Strong Disagreement","Slight Agreement",NA
"108912",1812,"Yvzqo4XaeA2J",0,1,"parity","switch",6,69,1070.04999998026,704057,69,1,"purple","51","Male","Worked very well no problems","I liked the blue background think it was easier to concentrate","no","not really just liked the blue better",7,6,8,8,2,6,6,9,8,1,"Moderate Agreement","Strong Agreement","Strong Disagreement","Slight Disagreement","Moderate Disagreement","Slight Agreement","Strong Disagreement","Slight Disagreement","Slight Agreement","Moderate Agreement","Strong Agreement","Strong Disagreement","Strong Agreement","Moderate Agreement","Strong Agreement","Slight Disagreement","Very Strong Disagreement","Slight Agreement",NA
