"","X","id","condition","block","task","switch","probe","key_press","rt","time_elapsed","ans","acc","easy_colour","age","sex","comments","preference","notice","difficult","mental_purple","temporal_purple","effort_purple","performance_purple","frustration_purple","mental_blue","temporal_blue","effort_blue","performance_blue","frustration_blue","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","IP"
"74101",3601,"aD78dfwkvFql",0,1,"parity",NA,6,73,2092.99999999348,606619,69,0,"blue","45","Male","none","yes ","colour difference ","no",8,7,7,8,1,8,8,7,8,1,"Strong Agreement","Neither Agreement nor Disagreement","Slight Agreement","Neither Agreement nor Disagreement","Moderate Disagreement","Moderate Agreement","Moderate Agreement","Slight Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Slight Disagreement","Neither Agreement nor Disagreement",NA
"74102",3602,"aD78dfwkvFql",0,1,"magnitude","switch",7,73,2182.99999996088,609314,73,1,"blue","45","Male","none","yes ","colour difference ","no",8,7,7,8,1,8,8,7,8,1,"Strong Agreement","Neither Agreement nor Disagreement","Slight Agreement","Neither Agreement nor Disagreement","Moderate Disagreement","Moderate Agreement","Moderate Agreement","Slight Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Slight Disagreement","Neither Agreement nor Disagreement",NA
"74103",3603,"aD78dfwkvFql",0,1,"magnitude","repeat",6,73,1809.00000000838,611624,73,1,"blue","45","Male","none","yes ","colour difference ","no",8,7,7,8,1,8,8,7,8,1,"Strong Agreement","Neither Agreement nor Disagreement","Slight Agreement","Neither Agreement nor Disagreement","Moderate Disagreement","Moderate Agreement","Moderate Agreement","Slight Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Slight Disagreement","Neither Agreement nor Disagreement",NA
"74104",3604,"aD78dfwkvFql",0,1,"parity","switch",6,NA,NA,614632,69,NA,"blue","45","Male","none","yes ","colour difference ","no",8,7,7,8,1,8,8,7,8,1,"Strong Agreement","Neither Agreement nor Disagreement","Slight Agreement","Neither Agreement nor Disagreement","Moderate Disagreement","Moderate Agreement","Moderate Agreement","Slight Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Slight Disagreement","Neither Agreement nor Disagreement",NA
"74105",3605,"aD78dfwkvFql",0,1,"magnitude","switch",4,69,2027.99999999115,617161,69,1,"blue","45","Male","none","yes ","colour difference ","no",8,7,7,8,1,8,8,7,8,1,"Strong Agreement","Neither Agreement nor Disagreement","Slight Agreement","Neither Agreement nor Disagreement","Moderate Disagreement","Moderate Agreement","Moderate Agreement","Slight Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Slight Disagreement","Neither Agreement nor Disagreement",NA
"74106",3606,"aD78dfwkvFql",0,1,"magnitude","repeat",1,69,1543.00000000512,619207,69,1,"blue","45","Male","none","yes ","colour difference ","no",8,7,7,8,1,8,8,7,8,1,"Strong Agreement","Neither Agreement nor Disagreement","Slight Agreement","Neither Agreement nor Disagreement","Moderate Disagreement","Moderate Agreement","Moderate Agreement","Slight Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Slight Disagreement","Neither Agreement nor Disagreement",NA
"74107",3607,"aD78dfwkvFql",0,1,"parity","switch",1,73,1377.00000003679,621087,73,1,"blue","45","Male","none","yes ","colour difference ","no",8,7,7,8,1,8,8,7,8,1,"Strong Agreement","Neither Agreement nor Disagreement","Slight Agreement","Neither Agreement nor Disagreement","Moderate Disagreement","Moderate Agreement","Moderate Agreement","Slight Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Slight Disagreement","Neither Agreement nor Disagreement",NA
"74108",3608,"aD78dfwkvFql",0,1,"magnitude","switch",3,69,1430.9999999823,623029,69,1,"blue","45","Male","none","yes ","colour difference ","no",8,7,7,8,1,8,8,7,8,1,"Strong Agreement","Neither Agreement nor Disagreement","Slight Agreement","Neither Agreement nor Disagreement","Moderate Disagreement","Moderate Agreement","Moderate Agreement","Slight Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Slight Disagreement","Neither Agreement nor Disagreement",NA
"74109",3609,"aD78dfwkvFql",0,1,"parity","switch",8,69,1717.99999999348,625248,69,1,"blue","45","Male","none","yes ","colour difference ","no",8,7,7,8,1,8,8,7,8,1,"Strong Agreement","Neither Agreement nor Disagreement","Slight Agreement","Neither Agreement nor Disagreement","Moderate Disagreement","Moderate Agreement","Moderate Agreement","Slight Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Slight Disagreement","Neither Agreement nor Disagreement",NA
"74110",3610,"aD78dfwkvFql",0,1,"magnitude","switch",9,73,1670.99999997299,627421,73,1,"blue","45","Male","none","yes ","colour difference ","no",8,7,7,8,1,8,8,7,8,1,"Strong Agreement","Neither Agreement nor Disagreement","Slight Agreement","Neither Agreement nor Disagreement","Moderate Disagreement","Moderate Agreement","Moderate Agreement","Slight Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Slight Disagreement","Neither Agreement nor Disagreement",NA
