"","X","id","condition","block","task","switch","probe","key_press","rt","time_elapsed","ans","acc","easy_colour","age","sex","comments","preference","notice","difficult","mental_purple","temporal_purple","effort_purple","performance_purple","frustration_purple","mental_blue","temporal_blue","effort_blue","performance_blue","frustration_blue","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","IP"
"131101",145201,"acemIqHv96MR",0,1,"parity",NA,7,73,837.514999999257,344379,73,1,"blue","49","Female","Amazing","Yes","None","None",7,5,7,8,7,7,5,4,6,7,"Slight Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Strong Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Agreement","Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Moderate Agreement",NA
"131102",145202,"acemIqHv96MR",0,1,"magnitude","switch",3,69,856.120000000345,345737,69,1,"blue","49","Female","Amazing","Yes","None","None",7,5,7,8,7,7,5,4,6,7,"Slight Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Strong Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Agreement","Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Moderate Agreement",NA
"131103",145203,"acemIqHv96MR",0,1,"parity","switch",8,69,778.265000000829,347017,69,1,"blue","49","Female","Amazing","Yes","None","None",7,5,7,8,7,7,5,4,6,7,"Slight Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Strong Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Agreement","Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Moderate Agreement",NA
"131104",145204,"acemIqHv96MR",0,1,"parity","repeat",4,69,730.419999999867,348249,69,1,"blue","49","Female","Amazing","Yes","None","None",7,5,7,8,7,7,5,4,6,7,"Slight Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Strong Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Agreement","Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Moderate Agreement",NA
"131105",145205,"acemIqHv96MR",0,1,"magnitude","switch",2,69,657.999999999476,349409,69,1,"blue","49","Female","Amazing","Yes","None","None",7,5,7,8,7,7,5,4,6,7,"Slight Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Strong Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Agreement","Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Moderate Agreement",NA
"131106",145206,"acemIqHv96MR",0,1,"parity","switch",3,69,921.96499999956,350834,73,0,"blue","49","Female","Amazing","Yes","None","None",7,5,7,8,7,7,5,4,6,7,"Slight Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Strong Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Agreement","Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Moderate Agreement",NA
"131107",145207,"acemIqHv96MR",0,1,"magnitude","switch",6,69,617.995000000519,351953,73,0,"blue","49","Female","Amazing","Yes","None","None",7,5,7,8,7,7,5,4,6,7,"Slight Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Strong Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Agreement","Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Moderate Agreement",NA
"131108",145208,"acemIqHv96MR",0,1,"parity","switch",2,69,762.00000000064,353217,69,1,"blue","49","Female","Amazing","Yes","None","None",7,5,7,8,7,7,5,4,6,7,"Slight Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Strong Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Agreement","Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Moderate Agreement",NA
"131109",145209,"acemIqHv96MR",0,1,"magnitude","switch",4,69,721.630000000005,354441,69,1,"blue","49","Female","Amazing","Yes","None","None",7,5,7,8,7,7,5,4,6,7,"Slight Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Strong Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Agreement","Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Moderate Agreement",NA
"131110",145210,"acemIqHv96MR",0,1,"parity","switch",9,73,1011.02499999979,355953,73,1,"blue","49","Female","Amazing","Yes","None","None",7,5,7,8,7,7,5,4,6,7,"Slight Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Strong Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Agreement","Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Moderate Agreement",NA
"131111",145211,"acemIqHv96MR",0,1,"magnitude","switch",6,73,1074.12499999919,357530,73,1,"blue","49","Female","Amazing","Yes","None","None",7,5,7,8,7,7,5,4,6,7,"Slight Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Strong Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Agreement","Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Moderate Agreement",NA
"131112",145212,"acemIqHv96MR",0,1,"parity","switch",1,73,960.56499999942,358993,73,1,"blue","49","Female","Amazing","Yes","None","None",7,5,7,8,7,7,5,4,6,7,"Slight Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Strong Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Agreement","Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Moderate Agreement",NA
"131113",145213,"acemIqHv96MR",0,1,"magnitude","switch",4,69,1145.99000000086,360642,69,1,"blue","49","Female","Amazing","Yes","None","None",7,5,7,8,7,7,5,4,6,7,"Slight Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Strong Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Agreement","Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Moderate Agreement",NA
"131114",145214,"acemIqHv96MR",0,1,"parity","switch",4,73,906.025000000198,362050,69,0,"blue","49","Female","Amazing","Yes","None","None",7,5,7,8,7,7,5,4,6,7,"Slight Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Strong Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Agreement","Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Moderate Agreement",NA
"131115",145215,"acemIqHv96MR",0,1,"magnitude","switch",2,69,905.784999999043,363458,69,1,"blue","49","Female","Amazing","Yes","None","None",7,5,7,8,7,7,5,4,6,7,"Slight Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Strong Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Slight Agreement","Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Moderate Agreement",NA
