"","X","id","condition","block","task","switch","probe","key_press","rt","time_elapsed","ans","acc","easy_colour","age","sex","comments","preference","notice","difficult","mental_purple","temporal_purple","effort_purple","performance_purple","frustration_purple","mental_blue","temporal_blue","effort_blue","performance_blue","frustration_blue","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","IP"
"57901",118501,"dE75TayzrK4R",1,1,"parity",NA,2,73,143.000000156462,510274,69,0,"blue","62","female","nice work","65","56","Nothng",8,9,7,9,8,8,7,7,7,8,"Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Disagreement","Strong Agreement","Moderate Agreement","Slight Agreement",NA
"57902",118502,"dE75TayzrK4R",1,1,"magnitude","switch",7,73,577.99999974668,511355,73,1,"blue","62","female","nice work","65","56","Nothng",8,9,7,9,8,8,7,7,7,8,"Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Disagreement","Strong Agreement","Moderate Agreement","Slight Agreement",NA
"57903",118503,"dE75TayzrK4R",1,1,"parity","switch",8,73,450.000000186265,512308,69,0,"blue","62","female","nice work","65","56","Nothng",8,9,7,9,8,8,7,7,7,8,"Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Disagreement","Strong Agreement","Moderate Agreement","Slight Agreement",NA
"57904",118504,"dE75TayzrK4R",1,1,"magnitude","switch",7,73,456.000000238419,513268,73,1,"blue","62","female","nice work","65","56","Nothng",8,9,7,9,8,8,7,7,7,8,"Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Disagreement","Strong Agreement","Moderate Agreement","Slight Agreement",NA
"57905",118505,"dE75TayzrK4R",1,1,"parity","switch",1,73,1692.9999999702,515464,73,1,"blue","62","female","nice work","65","56","Nothng",8,9,7,9,8,8,7,7,7,8,"Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Disagreement","Strong Agreement","Moderate Agreement","Slight Agreement",NA
"57906",118506,"dE75TayzrK4R",1,1,"magnitude","switch",3,73,848.000000230968,516812,69,0,"blue","62","female","nice work","65","56","Nothng",8,9,7,9,8,8,7,7,7,8,"Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Disagreement","Strong Agreement","Moderate Agreement","Slight Agreement",NA
"57907",118507,"dE75TayzrK4R",1,1,"parity","switch",6,73,726.999999955297,518044,69,0,"blue","62","female","nice work","65","56","Nothng",8,9,7,9,8,8,7,7,7,8,"Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Disagreement","Strong Agreement","Moderate Agreement","Slight Agreement",NA
"57908",118508,"dE75TayzrK4R",1,1,"magnitude","switch",2,73,640.000000130385,519184,69,0,"blue","62","female","nice work","65","56","Nothng",8,9,7,9,8,8,7,7,7,8,"Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Disagreement","Strong Agreement","Moderate Agreement","Slight Agreement",NA
"57909",118509,"dE75TayzrK4R",1,1,"parity","switch",8,73,137.000000104308,519833,69,0,"blue","62","female","nice work","65","56","Nothng",8,9,7,9,8,8,7,7,7,8,"Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Disagreement","Strong Agreement","Moderate Agreement","Slight Agreement",NA
"57910",118510,"dE75TayzrK4R",1,1,"parity","repeat",4,73,236.999999731779,520572,69,0,"blue","62","female","nice work","65","56","Nothng",8,9,7,9,8,8,7,7,7,8,"Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Disagreement","Strong Agreement","Moderate Agreement","Slight Agreement",NA
"57911",118511,"dE75TayzrK4R",1,1,"magnitude","switch",2,73,225.000000093132,521300,69,0,"blue","62","female","nice work","65","56","Nothng",8,9,7,9,8,8,7,7,7,8,"Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Moderate Disagreement","Strong Agreement","Moderate Agreement","Slight Agreement",NA
