"","X","id","condition","block","task","switch","probe","key_press","rt","time_elapsed","ans","acc","easy_colour","age","sex","comments","preference","notice","difficult","mental_purple","temporal_purple","effort_purple","performance_purple","frustration_purple","mental_blue","temporal_blue","effort_blue","performance_blue","frustration_blue","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","IP"
"146401",33301,"dN5TlwSxot4E",1,1,"parity",NA,6,73,881.784999975935,284686,69,0,"purple","38","female","instruction good ","no","no","yes",7,8,7,8,7,7,8,7,8,7,"Neither Agreement nor Disagreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement",NA
"146402",33302,"dN5TlwSxot4E",1,1,"parity","repeat",7,73,802.224999992177,285990,73,1,"purple","38","female","instruction good ","no","no","yes",7,8,7,8,7,7,8,7,8,7,"Neither Agreement nor Disagreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement",NA
"146403",33303,"dN5TlwSxot4E",1,1,"parity","repeat",4,73,744.595000054687,287237,69,0,"purple","38","female","instruction good ","no","no","yes",7,8,7,8,7,7,8,7,8,7,"Neither Agreement nor Disagreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement",NA
"146404",33304,"dN5TlwSxot4E",1,1,"parity","repeat",4,73,568.444999866188,288307,69,0,"purple","38","female","instruction good ","no","no","yes",7,8,7,8,7,7,8,7,8,7,"Neither Agreement nor Disagreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement",NA
"146405",33305,"dN5TlwSxot4E",1,1,"parity","repeat",3,73,522.935000015423,289332,73,1,"purple","38","female","instruction good ","no","no","yes",7,8,7,8,7,7,8,7,8,7,"Neither Agreement nor Disagreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement",NA
"146406",33306,"dN5TlwSxot4E",1,1,"parity","repeat",4,73,725.505000213161,290560,69,0,"purple","38","female","instruction good ","no","no","yes",7,8,7,8,7,7,8,7,8,7,"Neither Agreement nor Disagreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement",NA
"146407",33307,"dN5TlwSxot4E",1,1,"parity","repeat",9,69,13.2800000719726,291075,73,0,"purple","38","female","instruction good ","no","no","yes",7,8,7,8,7,7,8,7,8,7,"Neither Agreement nor Disagreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement",NA
"146408",33308,"dN5TlwSxot4E",1,1,"parity","repeat",9,69,391.615000087768,291969,73,0,"purple","38","female","instruction good ","no","no","yes",7,8,7,8,7,7,8,7,8,7,"Neither Agreement nor Disagreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement",NA
"146409",33309,"dN5TlwSxot4E",1,1,"parity","repeat",8,73,88.1100001279265,292559,69,0,"purple","38","female","instruction good ","no","no","yes",7,8,7,8,7,7,8,7,8,7,"Neither Agreement nor Disagreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement",NA
"146410",33310,"dN5TlwSxot4E",1,1,"parity","repeat",9,73,483.750000130385,293545,73,1,"purple","38","female","instruction good ","no","no","yes",7,8,7,8,7,7,8,7,8,7,"Neither Agreement nor Disagreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement",NA
"146411",33311,"dN5TlwSxot4E",1,1,"parity","repeat",4,69,13.7050000485033,294060,69,1,"purple","38","female","instruction good ","no","no","yes",7,8,7,8,7,7,8,7,8,7,"Neither Agreement nor Disagreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement",NA
"146412",33312,"dN5TlwSxot4E",1,1,"parity","repeat",2,73,1092.47000003234,295654,69,0,"purple","38","female","instruction good ","no","no","yes",7,8,7,8,7,7,8,7,8,7,"Neither Agreement nor Disagreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement",NA
"146413",33313,"dN5TlwSxot4E",1,1,"parity","repeat",7,73,2125.66000013612,298289,73,1,"purple","38","female","instruction good ","no","no","yes",7,8,7,8,7,7,8,7,8,7,"Neither Agreement nor Disagreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement",NA
"146414",33314,"dN5TlwSxot4E",1,1,"parity","repeat",8,69,757.87500012666,299550,69,1,"purple","38","female","instruction good ","no","no","yes",7,8,7,8,7,7,8,7,8,7,"Neither Agreement nor Disagreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement",NA
"146415",33315,"dN5TlwSxot4E",1,1,"parity","repeat",3,73,948.820000048727,301001,73,1,"purple","38","female","instruction good ","no","no","yes",7,8,7,8,7,7,8,7,8,7,"Neither Agreement nor Disagreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement",NA
"146416",33316,"dN5TlwSxot4E",1,1,"parity","repeat",7,73,1022.10499998182,302529,73,1,"purple","38","female","instruction good ","no","no","yes",7,8,7,8,7,7,8,7,8,7,"Neither Agreement nor Disagreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement",NA
"146417",33317,"dN5TlwSxot4E",1,1,"parity","repeat",1,73,877.889999886975,304160,73,1,"purple","38","female","instruction good ","no","no","yes",7,8,7,8,7,7,8,7,8,7,"Neither Agreement nor Disagreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement",NA
"146418",33318,"dN5TlwSxot4E",1,1,"parity","repeat",9,73,1104.83499988914,305940,73,1,"purple","38","female","instruction good ","no","no","yes",7,8,7,8,7,7,8,7,8,7,"Neither Agreement nor Disagreement","Very Strong Agreement","Strong Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement",NA
