"","X","id","condition","block","task","switch","probe","key_press","rt","time_elapsed","ans","acc","easy_colour","age","sex","comments","preference","notice","difficult","mental_purple","temporal_purple","effort_purple","performance_purple","frustration_purple","mental_blue","temporal_blue","effort_blue","performance_blue","frustration_blue","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","IP"
"104401",144601,"ezCFIyoMW1NV",1,1,"parity",NA,7,73,1735.00000010245,403471,73,1,"blue","34","Male","nice","YES","color difference","yes",6,7,5,6,7,5,6,8,6,7,"Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Disagreement","Moderate Agreement","Moderate Disagreement","Slight Disagreement","Moderate Disagreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Disagreement","Moderate Disagreement","Moderate Agreement",NA
"104402",144602,"ezCFIyoMW1NV",1,1,"magnitude","switch",1,73,1291.00000008475,405264,69,0,"blue","34","Male","nice","YES","color difference","yes",6,7,5,6,7,5,6,8,6,7,"Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Disagreement","Moderate Agreement","Moderate Disagreement","Slight Disagreement","Moderate Disagreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Disagreement","Moderate Disagreement","Moderate Agreement",NA
"104403",144603,"ezCFIyoMW1NV",1,1,"parity","switch",9,NA,NA,408276,73,NA,"blue","34","Male","nice","YES","color difference","yes",6,7,5,6,7,5,6,8,6,7,"Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Disagreement","Moderate Agreement","Moderate Disagreement","Slight Disagreement","Moderate Disagreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Disagreement","Moderate Disagreement","Moderate Agreement",NA
"104404",144604,"ezCFIyoMW1NV",1,1,"magnitude","switch",3,73,644.000000087544,409422,69,0,"blue","34","Male","nice","YES","color difference","yes",6,7,5,6,7,5,6,8,6,7,"Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Disagreement","Moderate Agreement","Moderate Disagreement","Slight Disagreement","Moderate Disagreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Disagreement","Moderate Disagreement","Moderate Agreement",NA
"104405",144605,"ezCFIyoMW1NV",1,1,"parity","switch",3,73,1128.00000002608,411052,73,1,"blue","34","Male","nice","YES","color difference","yes",6,7,5,6,7,5,6,8,6,7,"Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Disagreement","Moderate Agreement","Moderate Disagreement","Slight Disagreement","Moderate Disagreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Disagreement","Moderate Disagreement","Moderate Agreement",NA
"104406",144606,"ezCFIyoMW1NV",1,1,"magnitude","switch",9,73,1498.00000002142,413052,73,1,"blue","34","Male","nice","YES","color difference","yes",6,7,5,6,7,5,6,8,6,7,"Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Disagreement","Moderate Agreement","Moderate Disagreement","Slight Disagreement","Moderate Disagreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Disagreement","Moderate Disagreement","Moderate Agreement",NA
"104407",144607,"ezCFIyoMW1NV",1,1,"parity","switch",6,73,1186.99999991804,414741,69,0,"blue","34","Male","nice","YES","color difference","yes",6,7,5,6,7,5,6,8,6,7,"Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Disagreement","Moderate Agreement","Moderate Disagreement","Slight Disagreement","Moderate Disagreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Disagreement","Moderate Disagreement","Moderate Agreement",NA
"104408",144608,"ezCFIyoMW1NV",1,1,"magnitude","switch",7,73,935.000000055879,416177,73,1,"blue","34","Male","nice","YES","color difference","yes",6,7,5,6,7,5,6,8,6,7,"Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Disagreement","Moderate Agreement","Moderate Disagreement","Slight Disagreement","Moderate Disagreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Disagreement","Moderate Disagreement","Moderate Agreement",NA
"104409",144609,"ezCFIyoMW1NV",1,1,"parity","switch",7,73,1582.99999998417,418262,73,1,"blue","34","Male","nice","YES","color difference","yes",6,7,5,6,7,5,6,8,6,7,"Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Disagreement","Moderate Agreement","Moderate Disagreement","Slight Disagreement","Moderate Disagreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Disagreement","Moderate Disagreement","Moderate Agreement",NA
"104410",144610,"ezCFIyoMW1NV",1,1,"magnitude","switch",2,73,1015.99999994505,419781,69,0,"blue","34","Male","nice","YES","color difference","yes",6,7,5,6,7,5,6,8,6,7,"Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Disagreement","Moderate Agreement","Moderate Disagreement","Slight Disagreement","Moderate Disagreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Disagreement","Moderate Disagreement","Moderate Agreement",NA
"104411",144611,"ezCFIyoMW1NV",1,1,"parity","switch",9,73,525.000000023283,420807,73,1,"blue","34","Male","nice","YES","color difference","yes",6,7,5,6,7,5,6,8,6,7,"Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Disagreement","Moderate Agreement","Moderate Disagreement","Slight Disagreement","Moderate Disagreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Disagreement","Moderate Disagreement","Moderate Agreement",NA
"104412",144612,"ezCFIyoMW1NV",1,1,"magnitude","switch",1,73,626.99999997858,421939,69,0,"blue","34","Male","nice","YES","color difference","yes",6,7,5,6,7,5,6,8,6,7,"Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Disagreement","Moderate Agreement","Moderate Disagreement","Slight Disagreement","Moderate Disagreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Disagreement","Moderate Disagreement","Moderate Agreement",NA
"104413",144613,"ezCFIyoMW1NV",1,1,"parity","switch",6,73,118.000000016764,422559,69,0,"blue","34","Male","nice","YES","color difference","yes",6,7,5,6,7,5,6,8,6,7,"Slight Agreement","Moderate Agreement","Moderate Agreement","Slight Disagreement","Moderate Agreement","Moderate Disagreement","Slight Disagreement","Moderate Disagreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Disagreement","Moderate Disagreement","Moderate Agreement",NA
