"","X","id","condition","block","task","switch","probe","key_press","rt","time_elapsed","ans","acc","easy_colour","age","sex","comments","preference","notice","difficult","mental_purple","temporal_purple","effort_purple","performance_purple","frustration_purple","mental_blue","temporal_blue","effort_blue","performance_blue","frustration_blue","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","IP"
"117601",116101,"f3kix4WHUYLT",1,1,"parity",NA,1,73,831.304999999702,330746,73,1,"purple","48","male","very interesting in this task...","very nice","concentration and button pressing","no",5,3,4,4,3,5,3,5,7,4,"Moderate Agreement","Strong Agreement","Slight Disagreement","Moderate Agreement","Slight Agreement","Slight Disagreement","Moderate Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Strong Agreement",NA
"117602",116102,"f3kix4WHUYLT",1,1,"magnitude","switch",9,69,788.094999999914,332050,73,0,"purple","48","male","very interesting in this task...","very nice","concentration and button pressing","no",5,3,4,4,3,5,3,5,7,4,"Moderate Agreement","Strong Agreement","Slight Disagreement","Moderate Agreement","Slight Agreement","Slight Disagreement","Moderate Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Strong Agreement",NA
"117603",116103,"f3kix4WHUYLT",1,1,"parity","switch",1,73,1813.50000000023,334369,73,1,"purple","48","male","very interesting in this task...","very nice","concentration and button pressing","no",5,3,4,4,3,5,3,5,7,4,"Moderate Agreement","Strong Agreement","Slight Disagreement","Moderate Agreement","Slight Agreement","Slight Disagreement","Moderate Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Strong Agreement",NA
"117604",116104,"f3kix4WHUYLT",1,1,"magnitude","switch",8,73,1493.68000000325,336379,73,1,"purple","48","male","very interesting in this task...","very nice","concentration and button pressing","no",5,3,4,4,3,5,3,5,7,4,"Moderate Agreement","Strong Agreement","Slight Disagreement","Moderate Agreement","Slight Agreement","Slight Disagreement","Moderate Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Strong Agreement",NA
"117605",116105,"f3kix4WHUYLT",1,1,"parity","switch",2,69,849.379999999655,337743,69,1,"purple","48","male","very interesting in this task...","very nice","concentration and button pressing","no",5,3,4,4,3,5,3,5,7,4,"Moderate Agreement","Strong Agreement","Slight Disagreement","Moderate Agreement","Slight Agreement","Slight Disagreement","Moderate Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Strong Agreement",NA
"117606",116106,"f3kix4WHUYLT",1,1,"parity","repeat",7,73,871.914999999688,339125,73,1,"purple","48","male","very interesting in this task...","very nice","concentration and button pressing","no",5,3,4,4,3,5,3,5,7,4,"Moderate Agreement","Strong Agreement","Slight Disagreement","Moderate Agreement","Slight Agreement","Slight Disagreement","Moderate Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Strong Agreement",NA
"117607",116107,"f3kix4WHUYLT",1,1,"magnitude","switch",8,69,936.444999999367,340563,73,0,"purple","48","male","very interesting in this task...","very nice","concentration and button pressing","no",5,3,4,4,3,5,3,5,7,4,"Moderate Agreement","Strong Agreement","Slight Disagreement","Moderate Agreement","Slight Agreement","Slight Disagreement","Moderate Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Strong Agreement",NA
"117608",116108,"f3kix4WHUYLT",1,1,"parity","switch",2,73,895.270000000892,341968,69,0,"purple","48","male","very interesting in this task...","very nice","concentration and button pressing","no",5,3,4,4,3,5,3,5,7,4,"Moderate Agreement","Strong Agreement","Slight Disagreement","Moderate Agreement","Slight Agreement","Slight Disagreement","Moderate Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Strong Agreement",NA
"117609",116109,"f3kix4WHUYLT",1,1,"magnitude","switch",4,69,1041.76999999979,343518,69,1,"purple","48","male","very interesting in this task...","very nice","concentration and button pressing","no",5,3,4,4,3,5,3,5,7,4,"Moderate Agreement","Strong Agreement","Slight Disagreement","Moderate Agreement","Slight Agreement","Slight Disagreement","Moderate Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Strong Agreement",NA
"117610",116110,"f3kix4WHUYLT",1,1,"parity","switch",7,73,1168.24999999878,345192,73,1,"purple","48","male","very interesting in this task...","very nice","concentration and button pressing","no",5,3,4,4,3,5,3,5,7,4,"Moderate Agreement","Strong Agreement","Slight Disagreement","Moderate Agreement","Slight Agreement","Slight Disagreement","Moderate Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Strong Agreement",NA
"117611",116111,"f3kix4WHUYLT",1,1,"magnitude","switch",9,69,978.444999997038,346675,73,0,"purple","48","male","very interesting in this task...","very nice","concentration and button pressing","no",5,3,4,4,3,5,3,5,7,4,"Moderate Agreement","Strong Agreement","Slight Disagreement","Moderate Agreement","Slight Agreement","Slight Disagreement","Moderate Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Strong Agreement",NA
"117612",116112,"f3kix4WHUYLT",1,1,"parity","switch",2,73,1093.80000000237,348279,69,0,"purple","48","male","very interesting in this task...","very nice","concentration and button pressing","no",5,3,4,4,3,5,3,5,7,4,"Moderate Agreement","Strong Agreement","Slight Disagreement","Moderate Agreement","Slight Agreement","Slight Disagreement","Moderate Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Strong Agreement",NA
"117613",116113,"f3kix4WHUYLT",1,1,"magnitude","switch",4,69,1105.47000000224,349887,69,1,"purple","48","male","very interesting in this task...","very nice","concentration and button pressing","no",5,3,4,4,3,5,3,5,7,4,"Moderate Agreement","Strong Agreement","Slight Disagreement","Moderate Agreement","Slight Agreement","Slight Disagreement","Moderate Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Moderate Agreement","Strong Agreement",NA
