"","X","id","condition","block","task","switch","probe","key_press","rt","time_elapsed","ans","acc","easy_colour","age","sex","comments","preference","notice","difficult","mental_purple","temporal_purple","effort_purple","performance_purple","frustration_purple","mental_blue","temporal_blue","effort_blue","performance_blue","frustration_blue","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","IP"
"79501",102001,"gkye1UACVjxt",1,1,"parity",NA,6,73,352.76999999769,280093,69,0,"purple","28","Male","Everything was clear.","No","No","No",6,7,4,6,7,6,5,4,7,6,"Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Disagreement","Neither Agreement nor Disagreement","Moderate Disagreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Slight Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Slight Agreement",NA
"79502",102002,"gkye1UACVjxt",1,1,"magnitude","switch",8,69,181.749999988824,280776,73,0,"purple","28","Male","Everything was clear.","No","No","No",6,7,4,6,7,6,5,4,7,6,"Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Disagreement","Neither Agreement nor Disagreement","Moderate Disagreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Slight Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Slight Agreement",NA
"79503",102003,"gkye1UACVjxt",1,1,"parity","switch",8,69,181.570000015199,281460,69,1,"purple","28","Male","Everything was clear.","No","No","No",6,7,4,6,7,6,5,4,7,6,"Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Disagreement","Neither Agreement nor Disagreement","Moderate Disagreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Slight Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Slight Agreement",NA
"79504",102004,"gkye1UACVjxt",1,1,"magnitude","switch",4,69,141.880000010133,282103,69,1,"purple","28","Male","Everything was clear.","No","No","No",6,7,4,6,7,6,5,4,7,6,"Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Disagreement","Neither Agreement nor Disagreement","Moderate Disagreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Slight Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Slight Agreement",NA
"79505",102005,"gkye1UACVjxt",1,1,"parity","switch",2,69,248.894999967888,282853,69,1,"purple","28","Male","Everything was clear.","No","No","No",6,7,4,6,7,6,5,4,7,6,"Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Disagreement","Neither Agreement nor Disagreement","Moderate Disagreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Slight Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Slight Agreement",NA
"79506",102006,"gkye1UACVjxt",1,1,"magnitude","switch",6,69,289.84500002116,283644,73,0,"purple","28","Male","Everything was clear.","No","No","No",6,7,4,6,7,6,5,4,7,6,"Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Disagreement","Neither Agreement nor Disagreement","Moderate Disagreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Slight Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Slight Agreement",NA
"79507",102007,"gkye1UACVjxt",1,1,"magnitude","repeat",6,69,362.000000081025,284508,73,0,"purple","28","Male","Everything was clear.","No","No","No",6,7,4,6,7,6,5,4,7,6,"Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Disagreement","Neither Agreement nor Disagreement","Moderate Disagreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Slight Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Slight Agreement",NA
"79508",102008,"gkye1UACVjxt",1,1,"parity","switch",6,69,267.099999939092,285277,69,1,"purple","28","Male","Everything was clear.","No","No","No",6,7,4,6,7,6,5,4,7,6,"Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Disagreement","Neither Agreement nor Disagreement","Moderate Disagreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Slight Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Slight Agreement",NA
"79509",102009,"gkye1UACVjxt",1,1,"parity","repeat",7,69,283.87499996461,286063,73,0,"purple","28","Male","Everything was clear.","No","No","No",6,7,4,6,7,6,5,4,7,6,"Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Disagreement","Neither Agreement nor Disagreement","Moderate Disagreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Slight Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Slight Agreement",NA
"79510",102010,"gkye1UACVjxt",1,1,"magnitude","switch",4,73,296.634999918751,286861,69,0,"purple","28","Male","Everything was clear.","No","No","No",6,7,4,6,7,6,5,4,7,6,"Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Disagreement","Neither Agreement nor Disagreement","Moderate Disagreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Slight Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Slight Agreement",NA
