"","X","id","condition","block","task","switch","probe","key_press","rt","time_elapsed","ans","acc","easy_colour","age","sex","comments","preference","notice","difficult","mental_purple","temporal_purple","effort_purple","performance_purple","frustration_purple","mental_blue","temporal_blue","effort_blue","performance_blue","frustration_blue","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","IP"
"95101",96001,"hwfdoN7Tylx4",0,1,"parity",NA,1,73,1285.16999981366,594107,73,1,"blue","63","Female","Instructions are very clear.","Yes. Blue is easy to concentrate","Yes. In Blue portal we can easily understand the green colour.","Slightly easy in blue portal than other portal",8,9,8,9,8,7,8,7,8,8,"Strong Agreement","Very Strong Agreement","Moderate Disagreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement",NA
"95102",96002,"hwfdoN7Tylx4",0,1,"magnitude","switch",3,69,2246.94500002079,596860,69,1,"blue","63","Female","Instructions are very clear.","Yes. Blue is easy to concentrate","Yes. In Blue portal we can easily understand the green colour.","Slightly easy in blue portal than other portal",8,9,8,9,8,7,8,7,8,8,"Strong Agreement","Very Strong Agreement","Moderate Disagreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement",NA
"95103",96003,"hwfdoN7Tylx4",0,1,"parity","switch",1,73,1504.35499986634,598866,73,1,"blue","63","Female","Instructions are very clear.","Yes. Blue is easy to concentrate","Yes. In Blue portal we can easily understand the green colour.","Slightly easy in blue portal than other portal",8,9,8,9,8,7,8,7,8,8,"Strong Agreement","Very Strong Agreement","Moderate Disagreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement",NA
"95104",96004,"hwfdoN7Tylx4",0,1,"magnitude","switch",6,73,1057.72499996237,600426,73,1,"blue","63","Female","Instructions are very clear.","Yes. Blue is easy to concentrate","Yes. In Blue portal we can easily understand the green colour.","Slightly easy in blue portal than other portal",8,9,8,9,8,7,8,7,8,8,"Strong Agreement","Very Strong Agreement","Moderate Disagreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement",NA
"95105",96005,"hwfdoN7Tylx4",0,1,"parity","switch",2,69,1369.93499984965,602299,69,1,"blue","63","Female","Instructions are very clear.","Yes. Blue is easy to concentrate","Yes. In Blue portal we can easily understand the green colour.","Slightly easy in blue portal than other portal",8,9,8,9,8,7,8,7,8,8,"Strong Agreement","Very Strong Agreement","Moderate Disagreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement",NA
"95106",96006,"hwfdoN7Tylx4",0,1,"magnitude","switch",1,69,1313.31499991938,604115,69,1,"blue","63","Female","Instructions are very clear.","Yes. Blue is easy to concentrate","Yes. In Blue portal we can easily understand the green colour.","Slightly easy in blue portal than other portal",8,9,8,9,8,7,8,7,8,8,"Strong Agreement","Very Strong Agreement","Moderate Disagreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement",NA
"95107",96007,"hwfdoN7Tylx4",0,1,"parity","switch",1,73,871.460000053048,605489,73,1,"blue","63","Female","Instructions are very clear.","Yes. Blue is easy to concentrate","Yes. In Blue portal we can easily understand the green colour.","Slightly easy in blue portal than other portal",8,9,8,9,8,7,8,7,8,8,"Strong Agreement","Very Strong Agreement","Moderate Disagreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement",NA
"95108",96008,"hwfdoN7Tylx4",0,1,"magnitude","switch",1,69,865.51499995403,606857,69,1,"blue","63","Female","Instructions are very clear.","Yes. Blue is easy to concentrate","Yes. In Blue portal we can easily understand the green colour.","Slightly easy in blue portal than other portal",8,9,8,9,8,7,8,7,8,8,"Strong Agreement","Very Strong Agreement","Moderate Disagreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement",NA
"95109",96009,"hwfdoN7Tylx4",0,1,"parity","switch",4,69,1305.41000002995,608665,69,1,"blue","63","Female","Instructions are very clear.","Yes. Blue is easy to concentrate","Yes. In Blue portal we can easily understand the green colour.","Slightly easy in blue portal than other portal",8,9,8,9,8,7,8,7,8,8,"Strong Agreement","Very Strong Agreement","Moderate Disagreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement",NA
"95110",96010,"hwfdoN7Tylx4",0,1,"magnitude","switch",7,NA,NA,611668,73,NA,"blue","63","Female","Instructions are very clear.","Yes. Blue is easy to concentrate","Yes. In Blue portal we can easily understand the green colour.","Slightly easy in blue portal than other portal",8,9,8,9,8,7,8,7,8,8,"Strong Agreement","Very Strong Agreement","Moderate Disagreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement",NA
