"","X","id","condition","block","task","switch","probe","key_press","rt","time_elapsed","ans","acc","easy_colour","age","sex","comments","preference","notice","difficult","mental_purple","temporal_purple","effort_purple","performance_purple","frustration_purple","mental_blue","temporal_blue","effort_blue","performance_blue","frustration_blue","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","IP"
"51901",86101,"iLcNB1K4Of7G",0,1,"parity",NA,3,73,1476.00000002421,356547,73,1,"purple","32","MALE","Funny and most easy game.","No","No","No",5,7,7,9,7,7,7,9,9,8,"Slight Agreement","Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Slight Agreement","Strong Agreement","Strong Disagreement","Very Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Slight Disagreement","Slight Agreement",NA
"51902",86102,"iLcNB1K4Of7G",0,1,"parity","repeat",3,73,682.000000029802,357733,73,1,"purple","32","MALE","Funny and most easy game.","No","No","No",5,7,7,9,7,7,7,9,9,8,"Slight Agreement","Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Slight Agreement","Strong Agreement","Strong Disagreement","Very Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Slight Disagreement","Slight Agreement",NA
"51903",86103,"iLcNB1K4Of7G",0,1,"parity","repeat",9,73,1779.00000009686,360012,73,1,"purple","32","MALE","Funny and most easy game.","No","No","No",5,7,7,9,7,7,7,9,9,8,"Slight Agreement","Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Slight Agreement","Strong Agreement","Strong Disagreement","Very Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Slight Disagreement","Slight Agreement",NA
"51904",86104,"iLcNB1K4Of7G",0,1,"parity","repeat",3,73,1027.99999993294,361540,73,1,"purple","32","MALE","Funny and most easy game.","No","No","No",5,7,7,9,7,7,7,9,9,8,"Slight Agreement","Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Slight Agreement","Strong Agreement","Strong Disagreement","Very Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Slight Disagreement","Slight Agreement",NA
"51905",86105,"iLcNB1K4Of7G",0,1,"parity","repeat",8,69,1162.00000001118,363203,69,1,"purple","32","MALE","Funny and most easy game.","No","No","No",5,7,7,9,7,7,7,9,9,8,"Slight Agreement","Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Slight Agreement","Strong Agreement","Strong Disagreement","Very Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Slight Disagreement","Slight Agreement",NA
"51906",86106,"iLcNB1K4Of7G",0,1,"parity","repeat",3,73,750,364454,73,1,"purple","32","MALE","Funny and most easy game.","No","No","No",5,7,7,9,7,7,7,9,9,8,"Slight Agreement","Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Slight Agreement","Strong Agreement","Strong Disagreement","Very Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Slight Disagreement","Slight Agreement",NA
"51907",86107,"iLcNB1K4Of7G",0,1,"parity","repeat",7,73,1121.00000004284,366075,73,1,"purple","32","MALE","Funny and most easy game.","No","No","No",5,7,7,9,7,7,7,9,9,8,"Slight Agreement","Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Slight Agreement","Strong Agreement","Strong Disagreement","Very Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Slight Disagreement","Slight Agreement",NA
"51908",86108,"iLcNB1K4Of7G",0,1,"parity","repeat",1,73,650.999999954365,367229,73,1,"purple","32","MALE","Funny and most easy game.","No","No","No",5,7,7,9,7,7,7,9,9,8,"Slight Agreement","Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Slight Agreement","Strong Agreement","Strong Disagreement","Very Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Slight Disagreement","Slight Agreement",NA
"51909",86109,"iLcNB1K4Of7G",0,1,"parity","repeat",8,69,594.000000040978,368392,69,1,"purple","32","MALE","Funny and most easy game.","No","No","No",5,7,7,9,7,7,7,9,9,8,"Slight Agreement","Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Slight Agreement","Strong Agreement","Strong Disagreement","Very Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Slight Disagreement","Slight Agreement",NA
"51910",86110,"iLcNB1K4Of7G",0,1,"parity","repeat",1,73,591.999999945983,369485,73,1,"purple","32","MALE","Funny and most easy game.","No","No","No",5,7,7,9,7,7,7,9,9,8,"Slight Agreement","Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Slight Agreement","Strong Agreement","Strong Disagreement","Very Strong Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Slight Disagreement","Slight Agreement",NA
