"","X","id","condition","block","task","switch","probe","key_press","rt","time_elapsed","ans","acc","easy_colour","age","sex","comments","preference","notice","difficult","mental_purple","temporal_purple","effort_purple","performance_purple","frustration_purple","mental_blue","temporal_blue","effort_blue","performance_blue","frustration_blue","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","IP"
"118501",111901,"iWjtdL4a2krM",1,1,"magnitude",NA,4,73,404.000000096858,200810,69,0,"purple","30","male","good","8","4","6",8,7,9,9,9,8,8,9,8,9,"Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement",NA
"118502",111902,"iWjtdL4a2krM",1,1,"magnitude","repeat",7,73,157.000000122935,201483,73,1,"purple","30","male","good","8","4","6",8,7,9,9,9,8,8,9,8,9,"Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement",NA
"118503",111903,"iWjtdL4a2krM",1,1,"magnitude","repeat",7,73,283.000000054017,202271,73,1,"purple","30","male","good","8","4","6",8,7,9,9,9,8,8,9,8,9,"Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement",NA
"118504",111904,"iWjtdL4a2krM",1,1,"magnitude","repeat",3,73,128.999999957159,202902,69,0,"purple","30","male","good","8","4","6",8,7,9,9,9,8,8,9,8,9,"Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement",NA
"118505",111905,"iWjtdL4a2krM",1,1,"magnitude","repeat",4,73,396.000000182539,203800,69,0,"purple","30","male","good","8","4","6",8,7,9,9,9,8,8,9,8,9,"Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement",NA
"118506",111906,"iWjtdL4a2krM",1,1,"parity","switch",8,73,133.000000147149,204444,69,0,"purple","30","male","good","8","4","6",8,7,9,9,9,8,8,9,8,9,"Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement",NA
"118507",111907,"iWjtdL4a2krM",1,1,"parity","repeat",1,69,262.000000104308,205214,73,0,"purple","30","male","good","8","4","6",8,7,9,9,9,8,8,9,8,9,"Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement",NA
"118508",111908,"iWjtdL4a2krM",1,1,"parity","repeat",7,73,116.999999852851,205868,73,1,"purple","30","male","good","8","4","6",8,7,9,9,9,8,8,9,8,9,"Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement",NA
"118509",111909,"iWjtdL4a2krM",1,1,"parity","repeat",2,73,293.999999994412,206667,69,0,"purple","30","male","good","8","4","6",8,7,9,9,9,8,8,9,8,9,"Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement",NA
"118510",111910,"iWjtdL4a2krM",1,1,"parity","repeat",9,73,420.000000158325,207591,73,1,"purple","30","male","good","8","4","6",8,7,9,9,9,8,8,9,8,9,"Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement",NA
