"","X","id","condition","block","task","switch","probe","key_press","rt","time_elapsed","ans","acc","easy_colour","age","sex","comments","preference","notice","difficult","mental_purple","temporal_purple","effort_purple","performance_purple","frustration_purple","mental_blue","temporal_blue","effort_blue","performance_blue","frustration_blue","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","IP"
"131701",136801,"jIzq2NlE1dpH",0,1,"magnitude",NA,6,69,1476.00000002421,318546,73,0,"purple","30","male","very good survey.","No","No","No",4,3,6,4,6,5,3,6,4,6,"Slight Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Slight Disagreement","Moderate Disagreement","Slight Disagreement","Strong Agreement","Moderate Disagreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement",NA
"131702",136802,"jIzq2NlE1dpH",0,1,"parity","switch",7,73,1153.99999998044,320206,73,1,"purple","30","male","very good survey.","No","No","No",4,3,6,4,6,5,3,6,4,6,"Slight Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Slight Disagreement","Moderate Disagreement","Slight Disagreement","Strong Agreement","Moderate Disagreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement",NA
"131703",136803,"jIzq2NlE1dpH",0,1,"magnitude","switch",3,73,1238.00000001211,321961,69,0,"purple","30","male","very good survey.","No","No","No",4,3,6,4,6,5,3,6,4,6,"Slight Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Slight Disagreement","Moderate Disagreement","Slight Disagreement","Strong Agreement","Moderate Disagreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement",NA
"131704",136804,"jIzq2NlE1dpH",0,1,"parity","switch",9,69,1333.99999997346,323800,73,0,"purple","30","male","very good survey.","No","No","No",4,3,6,4,6,5,3,6,4,6,"Slight Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Slight Disagreement","Moderate Disagreement","Slight Disagreement","Strong Agreement","Moderate Disagreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement",NA
"131705",136805,"jIzq2NlE1dpH",0,1,"magnitude","switch",8,69,892.999999981839,325199,73,0,"purple","30","male","very good survey.","No","No","No",4,3,6,4,6,5,3,6,4,6,"Slight Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Slight Disagreement","Moderate Disagreement","Slight Disagreement","Strong Agreement","Moderate Disagreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement",NA
"131706",136806,"jIzq2NlE1dpH",0,1,"parity","switch",8,69,820.000000006985,326526,69,1,"purple","30","male","very good survey.","No","No","No",4,3,6,4,6,5,3,6,4,6,"Slight Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Slight Disagreement","Moderate Disagreement","Slight Disagreement","Strong Agreement","Moderate Disagreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement",NA
"131707",136807,"jIzq2NlE1dpH",0,1,"magnitude","switch",6,69,1083.99999997346,328116,73,0,"purple","30","male","very good survey.","No","No","No",4,3,6,4,6,5,3,6,4,6,"Slight Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Slight Disagreement","Moderate Disagreement","Slight Disagreement","Strong Agreement","Moderate Disagreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement",NA
"131708",136808,"jIzq2NlE1dpH",0,1,"parity","switch",6,69,831.999999994878,329454,69,1,"purple","30","male","very good survey.","No","No","No",4,3,6,4,6,5,3,6,4,6,"Slight Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Slight Disagreement","Moderate Disagreement","Slight Disagreement","Strong Agreement","Moderate Disagreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement",NA
"131709",136809,"jIzq2NlE1dpH",0,1,"parity","repeat",2,69,942.000000039116,330910,69,1,"purple","30","male","very good survey.","No","No","No",4,3,6,4,6,5,3,6,4,6,"Slight Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Slight Disagreement","Moderate Disagreement","Slight Disagreement","Strong Agreement","Moderate Disagreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement",NA
"131710",136810,"jIzq2NlE1dpH",0,1,"magnitude","switch",2,69,875,332290,69,1,"purple","30","male","very good survey.","No","No","No",4,3,6,4,6,5,3,6,4,6,"Slight Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Slight Disagreement","Moderate Disagreement","Slight Disagreement","Strong Agreement","Moderate Disagreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement",NA
"131711",136811,"jIzq2NlE1dpH",0,1,"magnitude","repeat",8,69,1076.99999999022,333902,73,0,"purple","30","male","very good survey.","No","No","No",4,3,6,4,6,5,3,6,4,6,"Slight Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Slight Disagreement","Moderate Disagreement","Slight Disagreement","Strong Agreement","Moderate Disagreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement",NA
"131712",136812,"jIzq2NlE1dpH",0,1,"parity","switch",3,69,959.000000031665,335368,73,0,"purple","30","male","very good survey.","No","No","No",4,3,6,4,6,5,3,6,4,6,"Slight Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Slight Disagreement","Moderate Disagreement","Slight Disagreement","Strong Agreement","Moderate Disagreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement",NA
"131713",136813,"jIzq2NlE1dpH",0,1,"parity","repeat",8,69,932.000000029802,336814,69,1,"purple","30","male","very good survey.","No","No","No",4,3,6,4,6,5,3,6,4,6,"Slight Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Slight Disagreement","Moderate Disagreement","Slight Disagreement","Strong Agreement","Moderate Disagreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement",NA
"131714",136814,"jIzq2NlE1dpH",0,1,"magnitude","switch",4,69,1101.9999999553,338420,69,1,"purple","30","male","very good survey.","No","No","No",4,3,6,4,6,5,3,6,4,6,"Slight Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Slight Disagreement","Moderate Disagreement","Slight Disagreement","Strong Agreement","Moderate Disagreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement",NA
"131715",136815,"jIzq2NlE1dpH",0,1,"parity","switch",6,69,1000,339925,69,1,"purple","30","male","very good survey.","No","No","No",4,3,6,4,6,5,3,6,4,6,"Slight Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Slight Disagreement","Moderate Disagreement","Slight Disagreement","Strong Agreement","Moderate Disagreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement",NA
"131716",136816,"jIzq2NlE1dpH",0,1,"magnitude","switch",9,73,1198.99999996414,341630,73,1,"purple","30","male","very good survey.","No","No","No",4,3,6,4,6,5,3,6,4,6,"Slight Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Slight Disagreement","Moderate Disagreement","Slight Disagreement","Strong Agreement","Moderate Disagreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement",NA
"131717",136817,"jIzq2NlE1dpH",0,1,"parity","switch",2,69,1201.99999999022,343342,69,1,"purple","30","male","very good survey.","No","No","No",4,3,6,4,6,5,3,6,4,6,"Slight Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Slight Disagreement","Moderate Disagreement","Slight Disagreement","Strong Agreement","Moderate Disagreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement",NA
"131718",136818,"jIzq2NlE1dpH",0,1,"magnitude","switch",6,69,978.999999992084,344826,73,0,"purple","30","male","very good survey.","No","No","No",4,3,6,4,6,5,3,6,4,6,"Slight Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Slight Disagreement","Moderate Disagreement","Slight Disagreement","Strong Agreement","Moderate Disagreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement",NA
"131719",136819,"jIzq2NlE1dpH",0,1,"parity","switch",2,69,957.999999984168,346287,69,1,"purple","30","male","very good survey.","No","No","No",4,3,6,4,6,5,3,6,4,6,"Slight Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Slight Disagreement","Moderate Disagreement","Slight Disagreement","Strong Agreement","Moderate Disagreement","Very Strong Agreement","Moderate Agreement","Strong Agreement","Slight Agreement",NA
