"","X","id","condition","block","task","switch","probe","key_press","rt","time_elapsed","ans","acc","easy_colour","age","sex","comments","preference","notice","difficult","mental_purple","temporal_purple","effort_purple","performance_purple","frustration_purple","mental_blue","temporal_blue","effort_blue","performance_blue","frustration_blue","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","IP"
"77401",76801,"kSPfMzjL1ewa",0,1,"magnitude",NA,6,73,2183.66999999853,319344,73,1,"purple","50","female","The instructions were very clear.","I preferred the purple portal.","The purple portal seemed to have longer runs of numbers of one color.","I found the task more difficult in the blue portal.",6,7,5,2,3,9,9,7,0,1,"Slight Agreement","Moderate Agreement","Strong Disagreement","Slight Disagreement","Strong Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Slight Agreement","Neither Agreement nor Disagreement","Very Strong Agreement","Strong Agreement","Strong Disagreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement",NA
"77402",76802,"kSPfMzjL1ewa",0,1,"parity","switch",2,69,999.045000004116,320851,69,1,"purple","50","female","The instructions were very clear.","I preferred the purple portal.","The purple portal seemed to have longer runs of numbers of one color.","I found the task more difficult in the blue portal.",6,7,5,2,3,9,9,7,0,1,"Slight Agreement","Moderate Agreement","Strong Disagreement","Slight Disagreement","Strong Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Slight Agreement","Neither Agreement nor Disagreement","Very Strong Agreement","Strong Agreement","Strong Disagreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement",NA
"77403",76803,"kSPfMzjL1ewa",0,1,"magnitude","switch",1,69,2021.98999999382,323395,69,1,"purple","50","female","The instructions were very clear.","I preferred the purple portal.","The purple portal seemed to have longer runs of numbers of one color.","I found the task more difficult in the blue portal.",6,7,5,2,3,9,9,7,0,1,"Slight Agreement","Moderate Agreement","Strong Disagreement","Slight Disagreement","Strong Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Slight Agreement","Neither Agreement nor Disagreement","Very Strong Agreement","Strong Agreement","Strong Disagreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement",NA
"77404",76804,"kSPfMzjL1ewa",0,1,"parity","switch",8,69,1373.49999998696,325271,69,1,"purple","50","female","The instructions were very clear.","I preferred the purple portal.","The purple portal seemed to have longer runs of numbers of one color.","I found the task more difficult in the blue portal.",6,7,5,2,3,9,9,7,0,1,"Slight Agreement","Moderate Agreement","Strong Disagreement","Slight Disagreement","Strong Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Slight Agreement","Neither Agreement nor Disagreement","Very Strong Agreement","Strong Agreement","Strong Disagreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement",NA
"77405",76805,"kSPfMzjL1ewa",0,1,"magnitude","switch",8,73,1065.60499999614,326841,73,1,"purple","50","female","The instructions were very clear.","I preferred the purple portal.","The purple portal seemed to have longer runs of numbers of one color.","I found the task more difficult in the blue portal.",6,7,5,2,3,9,9,7,0,1,"Slight Agreement","Moderate Agreement","Strong Disagreement","Slight Disagreement","Strong Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Slight Agreement","Neither Agreement nor Disagreement","Very Strong Agreement","Strong Agreement","Strong Disagreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement",NA
"77406",76806,"kSPfMzjL1ewa",0,1,"parity","switch",3,73,1069.84999999986,328433,73,1,"purple","50","female","The instructions were very clear.","I preferred the purple portal.","The purple portal seemed to have longer runs of numbers of one color.","I found the task more difficult in the blue portal.",6,7,5,2,3,9,9,7,0,1,"Slight Agreement","Moderate Agreement","Strong Disagreement","Slight Disagreement","Strong Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Slight Agreement","Neither Agreement nor Disagreement","Very Strong Agreement","Strong Agreement","Strong Disagreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement",NA
"77407",76807,"kSPfMzjL1ewa",0,1,"magnitude","switch",7,73,1787.81500000332,330722,73,1,"purple","50","female","The instructions were very clear.","I preferred the purple portal.","The purple portal seemed to have longer runs of numbers of one color.","I found the task more difficult in the blue portal.",6,7,5,2,3,9,9,7,0,1,"Slight Agreement","Moderate Agreement","Strong Disagreement","Slight Disagreement","Strong Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Slight Agreement","Neither Agreement nor Disagreement","Very Strong Agreement","Strong Agreement","Strong Disagreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement",NA
"77408",76808,"kSPfMzjL1ewa",0,1,"parity","switch",1,73,1252.41500000993,332478,73,1,"purple","50","female","The instructions were very clear.","I preferred the purple portal.","The purple portal seemed to have longer runs of numbers of one color.","I found the task more difficult in the blue portal.",6,7,5,2,3,9,9,7,0,1,"Slight Agreement","Moderate Agreement","Strong Disagreement","Slight Disagreement","Strong Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Slight Agreement","Neither Agreement nor Disagreement","Very Strong Agreement","Strong Agreement","Strong Disagreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement",NA
"77409",76809,"kSPfMzjL1ewa",0,1,"magnitude","switch",3,69,1432.2300000058,334417,69,1,"purple","50","female","The instructions were very clear.","I preferred the purple portal.","The purple portal seemed to have longer runs of numbers of one color.","I found the task more difficult in the blue portal.",6,7,5,2,3,9,9,7,0,1,"Slight Agreement","Moderate Agreement","Strong Disagreement","Slight Disagreement","Strong Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Slight Agreement","Neither Agreement nor Disagreement","Very Strong Agreement","Strong Agreement","Strong Disagreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement",NA
"77410",76810,"kSPfMzjL1ewa",0,1,"parity","switch",9,73,1501.47999999172,336423,73,1,"purple","50","female","The instructions were very clear.","I preferred the purple portal.","The purple portal seemed to have longer runs of numbers of one color.","I found the task more difficult in the blue portal.",6,7,5,2,3,9,9,7,0,1,"Slight Agreement","Moderate Agreement","Strong Disagreement","Slight Disagreement","Strong Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Slight Agreement","Neither Agreement nor Disagreement","Very Strong Agreement","Strong Agreement","Strong Disagreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Neither Agreement nor Disagreement",NA
