"","X","id","condition","block","task","switch","probe","key_press","rt","time_elapsed","ans","acc","easy_colour","age","sex","comments","preference","notice","difficult","mental_purple","temporal_purple","effort_purple","performance_purple","frustration_purple","mental_blue","temporal_blue","effort_blue","performance_blue","frustration_blue","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","IP"
"63001",15601,"nSjp3WC27Eo5",0,1,"magnitude",NA,2,NA,NA,288236,69,NA,"purple","30","male","nothing","very interesting","nothing","no",8,9,8,9,8,9,8,9,9,8,"Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement",NA
"63002",15602,"nSjp3WC27Eo5",0,1,"magnitude","repeat",9,73,277.03500026837,289032,73,1,"purple","30","male","nothing","very interesting","nothing","no",8,9,8,9,8,9,8,9,9,8,"Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement",NA
"63003",15603,"nSjp3WC27Eo5",0,1,"magnitude","repeat",2,73,1959.06499959528,291492,69,0,"purple","30","male","nothing","very interesting","nothing","no",8,9,8,9,8,9,8,9,9,8,"Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement",NA
"63004",15604,"nSjp3WC27Eo5",0,1,"magnitude","repeat",6,73,2129.36999974772,294123,73,1,"purple","30","male","nothing","very interesting","nothing","no",8,9,8,9,8,9,8,9,9,8,"Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement",NA
"63005",15605,"nSjp3WC27Eo5",0,1,"magnitude","repeat",6,NA,NA,297159,73,NA,"purple","30","male","nothing","very interesting","nothing","no",8,9,8,9,8,9,8,9,9,8,"Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement",NA
"63006",15606,"nSjp3WC27Eo5",0,1,"magnitude","repeat",9,NA,NA,300162,73,NA,"purple","30","male","nothing","very interesting","nothing","no",8,9,8,9,8,9,8,9,9,8,"Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement",NA
"63007",15607,"nSjp3WC27Eo5",0,1,"magnitude","repeat",6,NA,NA,303164,73,NA,"purple","30","male","nothing","very interesting","nothing","no",8,9,8,9,8,9,8,9,9,8,"Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement",NA
"63008",15608,"nSjp3WC27Eo5",0,1,"magnitude","repeat",3,69,85.4850001633167,303752,69,1,"purple","30","male","nothing","very interesting","nothing","no",8,9,8,9,8,9,8,9,9,8,"Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement",NA
"63009",15609,"nSjp3WC27Eo5",0,1,"magnitude","repeat",6,73,1398.40500010177,305652,73,1,"purple","30","male","nothing","very interesting","nothing","no",8,9,8,9,8,9,8,9,9,8,"Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement",NA
"63010",15610,"nSjp3WC27Eo5",0,1,"magnitude","repeat",8,73,1589.43499997258,307742,73,1,"purple","30","male","nothing","very interesting","nothing","no",8,9,8,9,8,9,8,9,9,8,"Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement",NA
"63011",15611,"nSjp3WC27Eo5",0,1,"magnitude","repeat",6,73,847.81499998644,309092,73,1,"purple","30","male","nothing","very interesting","nothing","no",8,9,8,9,8,9,8,9,9,8,"Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement",NA
"63012",15612,"nSjp3WC27Eo5",0,1,"magnitude","repeat",8,73,1197.95500021428,310792,73,1,"purple","30","male","nothing","very interesting","nothing","no",8,9,8,9,8,9,8,9,9,8,"Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement",NA
"63013",15613,"nSjp3WC27Eo5",0,1,"magnitude","repeat",9,73,905.139999929816,312199,73,1,"purple","30","male","nothing","very interesting","nothing","no",8,9,8,9,8,9,8,9,9,8,"Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement",NA
"63014",15614,"nSjp3WC27Eo5",0,1,"parity","switch",3,69,1330.40999993682,314032,73,0,"purple","30","male","nothing","very interesting","nothing","no",8,9,8,9,8,9,8,9,9,8,"Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement",NA
"63015",15615,"nSjp3WC27Eo5",0,1,"parity","repeat",2,73,817.869999911636,315352,69,0,"purple","30","male","nothing","very interesting","nothing","no",8,9,8,9,8,9,8,9,9,8,"Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement",NA
"63016",15616,"nSjp3WC27Eo5",0,1,"parity","repeat",6,73,1733.27500000596,317593,69,0,"purple","30","male","nothing","very interesting","nothing","no",8,9,8,9,8,9,8,9,9,8,"Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement",NA
"63017",15617,"nSjp3WC27Eo5",0,1,"magnitude","switch",2,69,1416.06499999762,319512,69,1,"purple","30","male","nothing","very interesting","nothing","no",8,9,8,9,8,9,8,9,9,8,"Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement",NA
