"","X","id","condition","block","task","switch","probe","key_press","rt","time_elapsed","ans","acc","easy_colour","age","sex","comments","preference","notice","difficult","mental_purple","temporal_purple","effort_purple","performance_purple","frustration_purple","mental_blue","temporal_blue","effort_blue","performance_blue","frustration_blue","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","IP"
"49801",111001,"o3Nu8LaFnSVf",1,1,"magnitude",NA,4,69,1819.73499991,711178,69,1,"purple","35","female","yes  its clear","yes","yes","yes",7,8,8,8,8,7,8,8,8,8,"Very Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement",NA
"49802",111002,"o3Nu8LaFnSVf",1,1,"magnitude","repeat",7,69,1130.18500013277,712828,73,0,"purple","35","female","yes  its clear","yes","yes","yes",7,8,8,8,8,7,8,8,8,8,"Very Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement",NA
"49803",111003,"o3Nu8LaFnSVf",1,1,"magnitude","repeat",2,69,1575.62500005588,714908,69,1,"purple","35","female","yes  its clear","yes","yes","yes",7,8,8,8,8,7,8,8,8,8,"Very Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement",NA
"49804",111004,"o3Nu8LaFnSVf",1,1,"magnitude","repeat",4,69,1196.7650000006,716607,69,1,"purple","35","female","yes  its clear","yes","yes","yes",7,8,8,8,8,7,8,8,8,8,"Very Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement",NA
"49805",111005,"o3Nu8LaFnSVf",1,1,"magnitude","repeat",8,73,1207.04500004649,718317,73,1,"purple","35","female","yes  its clear","yes","yes","yes",7,8,8,8,8,7,8,8,8,8,"Very Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement",NA
"49806",111006,"o3Nu8LaFnSVf",1,1,"magnitude","repeat",7,73,2037.27999981493,720858,73,1,"purple","35","female","yes  its clear","yes","yes","yes",7,8,8,8,8,7,8,8,8,8,"Very Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement",NA
"49807",111007,"o3Nu8LaFnSVf",1,1,"parity","switch",1,73,1926.41999991611,723288,73,1,"purple","35","female","yes  its clear","yes","yes","yes",7,8,8,8,8,7,8,8,8,8,"Very Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement",NA
"49808",111008,"o3Nu8LaFnSVf",1,1,"parity","repeat",9,73,1806.31999997422,725597,73,1,"purple","35","female","yes  its clear","yes","yes","yes",7,8,8,8,8,7,8,8,8,8,"Very Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement",NA
"49809",111009,"o3Nu8LaFnSVf",1,1,"parity","repeat",3,73,1168.85000001639,727268,73,1,"purple","35","female","yes  its clear","yes","yes","yes",7,8,8,8,8,7,8,8,8,8,"Very Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement",NA
"49810",111010,"o3Nu8LaFnSVf",1,1,"parity","repeat",8,69,2357.85999987274,730128,69,1,"purple","35","female","yes  its clear","yes","yes","yes",7,8,8,8,8,7,8,8,8,8,"Very Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Moderate Agreement",NA
