"","X","id","condition","block","task","switch","probe","key_press","rt","time_elapsed","ans","acc","easy_colour","age","sex","comments","preference","notice","difficult","mental_purple","temporal_purple","effort_purple","performance_purple","frustration_purple","mental_blue","temporal_blue","effort_blue","performance_blue","frustration_blue","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","IP"
"100501",119701,"pXdeErHIAcYP",1,1,"parity",NA,7,73,234.000000171363,182952,73,1,"blue","25","Male","Good","Yes","Colours","No",5,4,5,6,6,6,6,4,6,5,"Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Slight Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Slight Agreement","Strong Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Slight Disagreement","Neither Agreement nor Disagreement",NA
"100502",119702,"pXdeErHIAcYP",1,1,"magnitude","switch",8,73,1.00000016391277,183455,73,1,"blue","25","Male","Good","Yes","Colours","No",5,4,5,6,6,6,6,4,6,5,"Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Slight Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Slight Agreement","Strong Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Slight Disagreement","Neither Agreement nor Disagreement",NA
"100503",119703,"pXdeErHIAcYP",1,1,"parity","switch",1,73,219.000000040978,184178,73,1,"blue","25","Male","Good","Yes","Colours","No",5,4,5,6,6,6,6,4,6,5,"Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Slight Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Slight Agreement","Strong Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Slight Disagreement","Neither Agreement nor Disagreement",NA
"100504",119704,"pXdeErHIAcYP",1,1,"magnitude","switch",4,73,302.999999839813,184985,69,0,"blue","25","Male","Good","Yes","Colours","No",5,4,5,6,6,6,6,4,6,5,"Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Slight Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Slight Agreement","Strong Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Slight Disagreement","Neither Agreement nor Disagreement",NA
"100505",119705,"pXdeErHIAcYP",1,1,"magnitude","repeat",4,73,30.9999999590218,185518,69,0,"blue","25","Male","Good","Yes","Colours","No",5,4,5,6,6,6,6,4,6,5,"Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Slight Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Slight Agreement","Strong Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Slight Disagreement","Neither Agreement nor Disagreement",NA
"100506",119706,"pXdeErHIAcYP",1,1,"parity","switch",3,73,241.0000001546,186260,73,1,"blue","25","Male","Good","Yes","Colours","No",5,4,5,6,6,6,6,4,6,5,"Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Slight Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Slight Agreement","Strong Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Slight Disagreement","Neither Agreement nor Disagreement",NA
"100507",119707,"pXdeErHIAcYP",1,1,"magnitude","switch",6,73,104.999999981374,186870,73,1,"blue","25","Male","Good","Yes","Colours","No",5,4,5,6,6,6,6,4,6,5,"Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Slight Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Slight Agreement","Strong Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Slight Disagreement","Neither Agreement nor Disagreement",NA
"100508",119708,"pXdeErHIAcYP",1,1,"parity","switch",6,73,33.9999999850988,187406,69,0,"blue","25","Male","Good","Yes","Colours","No",5,4,5,6,6,6,6,4,6,5,"Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Slight Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Slight Agreement","Strong Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Slight Disagreement","Neither Agreement nor Disagreement",NA
"100509",119709,"pXdeErHIAcYP",1,1,"magnitude","switch",2,73,21.9999998807907,187930,69,0,"blue","25","Male","Good","Yes","Colours","No",5,4,5,6,6,6,6,4,6,5,"Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Slight Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Slight Agreement","Strong Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Slight Disagreement","Neither Agreement nor Disagreement",NA
"100510",119710,"pXdeErHIAcYP",1,1,"parity","switch",1,73,34.999999916181,188467,73,1,"blue","25","Male","Good","Yes","Colours","No",5,4,5,6,6,6,6,4,6,5,"Moderate Agreement","Strong Agreement","Neither Agreement nor Disagreement","Slight Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Strong Agreement","Slight Agreement","Strong Agreement","Neither Agreement nor Disagreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Slight Disagreement","Neither Agreement nor Disagreement",NA
