"","X","id","condition","block","task","switch","probe","key_press","rt","time_elapsed","ans","acc","easy_colour","age","sex","comments","preference","notice","difficult","mental_purple","temporal_purple","effort_purple","performance_purple","frustration_purple","mental_blue","temporal_blue","effort_blue","performance_blue","frustration_blue","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","IP"
"105001",21301,"pcyrYM73m29A",0,1,"parity",NA,2,69,938.089999952354,339785,69,1,"blue","25","Female","The instructions were clear enough.Thanks for making me a part of the study.","No","No","No",8,3,8,9,1,8,1,7,7,1,"Slight Disagreement","Slight Agreement","Strong Disagreement","Slight Disagreement","Moderate Disagreement","Moderate Agreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Slight Agreement","Strong Agreement","Moderate Disagreement","Neither Agreement nor Disagreement","Strong Agreement","Slight Agreement","Slight Agreement","Moderate Disagreement","Neither Agreement nor Disagreement",NA
"105002",21302,"pcyrYM73m29A",0,1,"magnitude","switch",4,73,1172.40999999922,341460,69,0,"blue","25","Female","The instructions were clear enough.Thanks for making me a part of the study.","No","No","No",8,3,8,9,1,8,1,7,7,1,"Slight Disagreement","Slight Agreement","Strong Disagreement","Slight Disagreement","Moderate Disagreement","Moderate Agreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Slight Agreement","Strong Agreement","Moderate Disagreement","Neither Agreement nor Disagreement","Strong Agreement","Slight Agreement","Slight Agreement","Moderate Disagreement","Neither Agreement nor Disagreement",NA
"105003",21303,"pcyrYM73m29A",0,1,"parity","switch",6,73,1205.58499998879,343167,69,0,"blue","25","Female","The instructions were clear enough.Thanks for making me a part of the study.","No","No","No",8,3,8,9,1,8,1,7,7,1,"Slight Disagreement","Slight Agreement","Strong Disagreement","Slight Disagreement","Moderate Disagreement","Moderate Agreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Slight Agreement","Strong Agreement","Moderate Disagreement","Neither Agreement nor Disagreement","Strong Agreement","Slight Agreement","Slight Agreement","Moderate Disagreement","Neither Agreement nor Disagreement",NA
"105004",21304,"pcyrYM73m29A",0,1,"magnitude","switch",1,69,1182.58499994408,344851,69,1,"blue","25","Female","The instructions were clear enough.Thanks for making me a part of the study.","No","No","No",8,3,8,9,1,8,1,7,7,1,"Slight Disagreement","Slight Agreement","Strong Disagreement","Slight Disagreement","Moderate Disagreement","Moderate Agreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Slight Agreement","Strong Agreement","Moderate Disagreement","Neither Agreement nor Disagreement","Strong Agreement","Slight Agreement","Slight Agreement","Moderate Disagreement","Neither Agreement nor Disagreement",NA
"105005",21305,"pcyrYM73m29A",0,1,"parity","switch",2,69,1674.87500002608,347027,69,1,"blue","25","Female","The instructions were clear enough.Thanks for making me a part of the study.","No","No","No",8,3,8,9,1,8,1,7,7,1,"Slight Disagreement","Slight Agreement","Strong Disagreement","Slight Disagreement","Moderate Disagreement","Moderate Agreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Slight Agreement","Strong Agreement","Moderate Disagreement","Neither Agreement nor Disagreement","Strong Agreement","Slight Agreement","Slight Agreement","Moderate Disagreement","Neither Agreement nor Disagreement",NA
"105006",21306,"pcyrYM73m29A",0,1,"magnitude","switch",4,69,1488.00000001211,349016,69,1,"blue","25","Female","The instructions were clear enough.Thanks for making me a part of the study.","No","No","No",8,3,8,9,1,8,1,7,7,1,"Slight Disagreement","Slight Agreement","Strong Disagreement","Slight Disagreement","Moderate Disagreement","Moderate Agreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Slight Agreement","Strong Agreement","Moderate Disagreement","Neither Agreement nor Disagreement","Strong Agreement","Slight Agreement","Slight Agreement","Moderate Disagreement","Neither Agreement nor Disagreement",NA
"105007",21307,"pcyrYM73m29A",0,1,"parity","switch",1,69,1299.34000002686,350816,73,0,"blue","25","Female","The instructions were clear enough.Thanks for making me a part of the study.","No","No","No",8,3,8,9,1,8,1,7,7,1,"Slight Disagreement","Slight Agreement","Strong Disagreement","Slight Disagreement","Moderate Disagreement","Moderate Agreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Slight Agreement","Strong Agreement","Moderate Disagreement","Neither Agreement nor Disagreement","Strong Agreement","Slight Agreement","Slight Agreement","Moderate Disagreement","Neither Agreement nor Disagreement",NA
"105008",21308,"pcyrYM73m29A",0,1,"parity","repeat",7,73,1591.96500002872,352909,73,1,"blue","25","Female","The instructions were clear enough.Thanks for making me a part of the study.","No","No","No",8,3,8,9,1,8,1,7,7,1,"Slight Disagreement","Slight Agreement","Strong Disagreement","Slight Disagreement","Moderate Disagreement","Moderate Agreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Slight Agreement","Strong Agreement","Moderate Disagreement","Neither Agreement nor Disagreement","Strong Agreement","Slight Agreement","Slight Agreement","Moderate Disagreement","Neither Agreement nor Disagreement",NA
"105009",21309,"pcyrYM73m29A",0,1,"magnitude","switch",6,73,1324.61499993224,354735,73,1,"blue","25","Female","The instructions were clear enough.Thanks for making me a part of the study.","No","No","No",8,3,8,9,1,8,1,7,7,1,"Slight Disagreement","Slight Agreement","Strong Disagreement","Slight Disagreement","Moderate Disagreement","Moderate Agreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Slight Agreement","Strong Agreement","Moderate Disagreement","Neither Agreement nor Disagreement","Strong Agreement","Slight Agreement","Slight Agreement","Moderate Disagreement","Neither Agreement nor Disagreement",NA
"105010",21310,"pcyrYM73m29A",0,1,"parity","switch",8,69,1938.84499999695,357176,69,1,"blue","25","Female","The instructions were clear enough.Thanks for making me a part of the study.","No","No","No",8,3,8,9,1,8,1,7,7,1,"Slight Disagreement","Slight Agreement","Strong Disagreement","Slight Disagreement","Moderate Disagreement","Moderate Agreement","Neither Agreement nor Disagreement","Slight Disagreement","Neither Agreement nor Disagreement","Slight Agreement","Strong Agreement","Moderate Disagreement","Neither Agreement nor Disagreement","Strong Agreement","Slight Agreement","Slight Agreement","Moderate Disagreement","Neither Agreement nor Disagreement",NA
