"","X","id","condition","block","task","switch","probe","key_press","rt","time_elapsed","ans","acc","easy_colour","age","sex","comments","preference","notice","difficult","mental_purple","temporal_purple","effort_purple","performance_purple","frustration_purple","mental_blue","temporal_blue","effort_blue","performance_blue","frustration_blue","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","IP"
"24301",93901,"qO8F93vEZp2J",1,1,"parity",NA,8,73,1852,280581,69,0,"blue","46","male","instructions were clear","I preferred blue","blue seemed to alternate less","blue seemed easier",1,1,1,7,0,1,1,1,7,1,"Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Strong Agreement",NA
"24302",93902,"qO8F93vEZp2J",1,1,"magnitude","switch",8,73,892,281980,73,1,"blue","46","male","instructions were clear","I preferred blue","blue seemed to alternate less","blue seemed easier",1,1,1,7,0,1,1,1,7,1,"Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Strong Agreement",NA
"24303",93903,"qO8F93vEZp2J",1,1,"magnitude","repeat",2,69,1150,283637,69,1,"blue","46","male","instructions were clear","I preferred blue","blue seemed to alternate less","blue seemed easier",1,1,1,7,0,1,1,1,7,1,"Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Strong Agreement",NA
"24304",93904,"qO8F93vEZp2J",1,1,"parity","switch",3,73,1369,285517,73,1,"blue","46","male","instructions were clear","I preferred blue","blue seemed to alternate less","blue seemed easier",1,1,1,7,0,1,1,1,7,1,"Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Strong Agreement",NA
"24305",93905,"qO8F93vEZp2J",1,1,"parity","repeat",2,73,1996,288013,69,0,"blue","46","male","instructions were clear","I preferred blue","blue seemed to alternate less","blue seemed easier",1,1,1,7,0,1,1,1,7,1,"Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Strong Agreement",NA
"24306",93906,"qO8F93vEZp2J",1,1,"parity","repeat",7,73,928,289444,73,1,"blue","46","male","instructions were clear","I preferred blue","blue seemed to alternate less","blue seemed easier",1,1,1,7,0,1,1,1,7,1,"Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Strong Agreement",NA
"24307",93907,"qO8F93vEZp2J",1,1,"parity","repeat",8,69,1009,290957,69,1,"blue","46","male","instructions were clear","I preferred blue","blue seemed to alternate less","blue seemed easier",1,1,1,7,0,1,1,1,7,1,"Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Strong Agreement",NA
"24308",93908,"qO8F93vEZp2J",1,1,"parity","repeat",6,69,754,292221,69,1,"blue","46","male","instructions were clear","I preferred blue","blue seemed to alternate less","blue seemed easier",1,1,1,7,0,1,1,1,7,1,"Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Strong Agreement",NA
"24309",93909,"qO8F93vEZp2J",1,1,"parity","repeat",6,69,717,293445,69,1,"blue","46","male","instructions were clear","I preferred blue","blue seemed to alternate less","blue seemed easier",1,1,1,7,0,1,1,1,7,1,"Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Strong Agreement",NA
"24310",93910,"qO8F93vEZp2J",1,1,"magnitude","switch",2,69,1606,295564,69,1,"blue","46","male","instructions were clear","I preferred blue","blue seemed to alternate less","blue seemed easier",1,1,1,7,0,1,1,1,7,1,"Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Disagreement","Very Strong Disagreement","Strong Agreement",NA
