"","X","id","condition","block","task","switch","probe","key_press","rt","time_elapsed","ans","acc","easy_colour","age","sex","comments","preference","notice","difficult","mental_purple","temporal_purple","effort_purple","performance_purple","frustration_purple","mental_blue","temporal_blue","effort_blue","performance_blue","frustration_blue","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","IP"
"73201",46801,"qtMw5aJHSQNc",0,1,"magnitude",NA,2,NA,NA,305770,69,NA,"purple","25","Female","Nothing","yes","no","no",7,6,6,7,7,6,5,7,5,5,"Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement",NA
"73202",46802,"qtMw5aJHSQNc",0,1,"magnitude","repeat",2,NA,NA,308772,69,NA,"purple","25","Female","Nothing","yes","no","no",7,6,6,7,7,6,5,7,5,5,"Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement",NA
"73203",46803,"qtMw5aJHSQNc",0,1,"magnitude","repeat",9,73,487.960000056773,309762,73,1,"purple","25","Female","Nothing","yes","no","no",7,6,6,7,7,6,5,7,5,5,"Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement",NA
"73204",46804,"qtMw5aJHSQNc",0,1,"magnitude","repeat",4,73,154.309999896213,310418,69,0,"purple","25","Female","Nothing","yes","no","no",7,6,6,7,7,6,5,7,5,5,"Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement",NA
"73205",46805,"qtMw5aJHSQNc",0,1,"magnitude","repeat",3,73,157.000000122935,311077,69,0,"purple","25","Female","Nothing","yes","no","no",7,6,6,7,7,6,5,7,5,5,"Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement",NA
"73206",46806,"qtMw5aJHSQNc",0,1,"magnitude","repeat",3,73,133.080000057817,311712,69,0,"purple","25","Female","Nothing","yes","no","no",7,6,6,7,7,6,5,7,5,5,"Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement",NA
"73207",46807,"qtMw5aJHSQNc",0,1,"magnitude","repeat",6,73,142.780000111088,312357,73,1,"purple","25","Female","Nothing","yes","no","no",7,6,6,7,7,6,5,7,5,5,"Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement",NA
"73208",46808,"qtMw5aJHSQNc",0,1,"magnitude","repeat",7,73,112.729999935254,312973,73,1,"purple","25","Female","Nothing","yes","no","no",7,6,6,7,7,6,5,7,5,5,"Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement",NA
"73209",46809,"qtMw5aJHSQNc",0,1,"magnitude","repeat",7,73,146.020000101998,313622,73,1,"purple","25","Female","Nothing","yes","no","no",7,6,6,7,7,6,5,7,5,5,"Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement",NA
"73210",46810,"qtMw5aJHSQNc",0,1,"magnitude","repeat",3,73,138.19000008516,314262,69,0,"purple","25","Female","Nothing","yes","no","no",7,6,6,7,7,6,5,7,5,5,"Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement",NA
"73211",46811,"qtMw5aJHSQNc",0,1,"magnitude","repeat",9,73,138.095000060275,314902,73,1,"purple","25","Female","Nothing","yes","no","no",7,6,6,7,7,6,5,7,5,5,"Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement",NA
"73212",46812,"qtMw5aJHSQNc",0,1,"magnitude","repeat",6,73,128.389999968931,315532,73,1,"purple","25","Female","Nothing","yes","no","no",7,6,6,7,7,6,5,7,5,5,"Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement",NA
"73213",46813,"qtMw5aJHSQNc",0,1,"magnitude","repeat",6,73,138.770000077784,316172,73,1,"purple","25","Female","Nothing","yes","no","no",7,6,6,7,7,6,5,7,5,5,"Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement",NA
"73214",46814,"qtMw5aJHSQNc",0,1,"magnitude","repeat",8,73,168.82500005886,316842,73,1,"purple","25","Female","Nothing","yes","no","no",7,6,6,7,7,6,5,7,5,5,"Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement",NA
"73215",46815,"qtMw5aJHSQNc",0,1,"magnitude","repeat",9,73,157.845000037923,317502,73,1,"purple","25","Female","Nothing","yes","no","no",7,6,6,7,7,6,5,7,5,5,"Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement",NA
"73216",46816,"qtMw5aJHSQNc",0,1,"magnitude","repeat",8,73,138.015000149608,318142,73,1,"purple","25","Female","Nothing","yes","no","no",7,6,6,7,7,6,5,7,5,5,"Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement",NA
"73217",46817,"qtMw5aJHSQNc",0,1,"magnitude","repeat",6,73,176.615000003949,318822,73,1,"purple","25","Female","Nothing","yes","no","no",7,6,6,7,7,6,5,7,5,5,"Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement",NA
"73218",46818,"qtMw5aJHSQNc",0,1,"magnitude","repeat",8,73,155.705000041053,319482,73,1,"purple","25","Female","Nothing","yes","no","no",7,6,6,7,7,6,5,7,5,5,"Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement",NA
"73219",46819,"qtMw5aJHSQNc",0,1,"magnitude","repeat",3,73,128.559999866411,320112,69,0,"purple","25","Female","Nothing","yes","no","no",7,6,6,7,7,6,5,7,5,5,"Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement",NA
"73220",46820,"qtMw5aJHSQNc",0,1,"magnitude","repeat",7,73,118.510000174865,320732,73,1,"purple","25","Female","Nothing","yes","no","no",7,6,6,7,7,6,5,7,5,5,"Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement",NA
"73221",46821,"qtMw5aJHSQNc",0,1,"magnitude","repeat",3,73,152.624999871477,321387,69,0,"purple","25","Female","Nothing","yes","no","no",7,6,6,7,7,6,5,7,5,5,"Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement",NA
"73222",46822,"qtMw5aJHSQNc",0,1,"magnitude","repeat",9,73,929.884999990463,322819,73,1,"purple","25","Female","Nothing","yes","no","no",7,6,6,7,7,6,5,7,5,5,"Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement",NA
"73223",46823,"qtMw5aJHSQNc",0,1,"magnitude","repeat",6,73,110.279999906197,323432,73,1,"purple","25","Female","Nothing","yes","no","no",7,6,6,7,7,6,5,7,5,5,"Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement",NA
"73224",46824,"qtMw5aJHSQNc",0,1,"magnitude","repeat",6,73,129.015000071377,324062,73,1,"purple","25","Female","Nothing","yes","no","no",7,6,6,7,7,6,5,7,5,5,"Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement",NA
"73225",46825,"qtMw5aJHSQNc",0,1,"magnitude","repeat",1,73,258.74499999918,324822,69,0,"purple","25","Female","Nothing","yes","no","no",7,6,6,7,7,6,5,7,5,5,"Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement",NA
"73226",46826,"qtMw5aJHSQNc",0,1,"parity","switch",9,73,1117.27999988943,326442,73,1,"purple","25","Female","Nothing","yes","no","no",7,6,6,7,7,6,5,7,5,5,"Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement",NA
"73227",46827,"qtMw5aJHSQNc",0,1,"parity","repeat",8,73,277.144999941811,327222,69,0,"purple","25","Female","Nothing","yes","no","no",7,6,6,7,7,6,5,7,5,5,"Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement",NA
"73228",46828,"qtMw5aJHSQNc",0,1,"parity","repeat",3,73,248.280000174418,327972,73,1,"purple","25","Female","Nothing","yes","no","no",7,6,6,7,7,6,5,7,5,5,"Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement",NA
"73229",46829,"qtMw5aJHSQNc",0,1,"parity","repeat",3,73,57.960000121966,328532,73,1,"purple","25","Female","Nothing","yes","no","no",7,6,6,7,7,6,5,7,5,5,"Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement",NA
"73230",46830,"qtMw5aJHSQNc",0,1,"parity","repeat",1,73,437.930000014603,329472,73,1,"purple","25","Female","Nothing","yes","no","no",7,6,6,7,7,6,5,7,5,5,"Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement",NA
"73231",46831,"qtMw5aJHSQNc",0,1,"parity","repeat",2,73,116.33999994956,330092,69,0,"purple","25","Female","Nothing","yes","no","no",7,6,6,7,7,6,5,7,5,5,"Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement",NA
"73232",46832,"qtMw5aJHSQNc",0,1,"parity","repeat",7,73,78.6450000014156,330672,73,1,"purple","25","Female","Nothing","yes","no","no",7,6,6,7,7,6,5,7,5,5,"Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement",NA
"73233",46833,"qtMw5aJHSQNc",0,1,"magnitude","switch",1,73,48.3450000174344,331222,69,0,"purple","25","Female","Nothing","yes","no","no",7,6,6,7,7,6,5,7,5,5,"Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement",NA
"73234",46834,"qtMw5aJHSQNc",0,1,"magnitude","repeat",1,73,97.4500000011176,331822,69,0,"purple","25","Female","Nothing","yes","no","no",7,6,6,7,7,6,5,7,5,5,"Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement",NA
"73235",46835,"qtMw5aJHSQNc",0,1,"magnitude","repeat",6,73,87.1950001455843,332412,73,1,"purple","25","Female","Nothing","yes","no","no",7,6,6,7,7,6,5,7,5,5,"Strong Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement",NA
