"","X","id","condition","block","task","switch","probe","key_press","rt","time_elapsed","ans","acc","easy_colour","age","sex","comments","preference","notice","difficult","mental_purple","temporal_purple","effort_purple","performance_purple","frustration_purple","mental_blue","temporal_blue","effort_blue","performance_blue","frustration_blue","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","IP"
"60601",106501,"rGFOWN62mPI1",1,1,"parity",NA,3,NA,NA,1038191,73,NA,"purple","66","Male","instruction clearly understand","yes","nothing i think backround color","some difficult ",7,7,7,8,8,7,6,7,8,7,"Strong Agreement","Very Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement",NA
"60602",106502,"rGFOWN62mPI1",1,1,"magnitude","switch",6,69,1397.85500010476,1040092,73,0,"purple","66","Male","instruction clearly understand","yes","nothing i think backround color","some difficult ",7,7,7,8,8,7,6,7,8,7,"Strong Agreement","Very Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement",NA
"60603",106503,"rGFOWN62mPI1",1,1,"parity","switch",1,73,1367.75500001386,1041964,73,1,"purple","66","Male","instruction clearly understand","yes","nothing i think backround color","some difficult ",7,7,7,8,8,7,6,7,8,7,"Strong Agreement","Very Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement",NA
"60604",106504,"rGFOWN62mPI1",1,1,"magnitude","switch",1,69,1322.14999990538,1043788,69,1,"purple","66","Male","instruction clearly understand","yes","nothing i think backround color","some difficult ",7,7,7,8,8,7,6,7,8,7,"Strong Agreement","Very Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement",NA
"60605",106505,"rGFOWN62mPI1",1,1,"parity","switch",4,73,1783.0950000789,1046075,69,0,"purple","66","Male","instruction clearly understand","yes","nothing i think backround color","some difficult ",7,7,7,8,8,7,6,7,8,7,"Strong Agreement","Very Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement",NA
"60606",106506,"rGFOWN62mPI1",1,1,"magnitude","switch",2,69,1364.80499990284,1047948,69,1,"purple","66","Male","instruction clearly understand","yes","nothing i think backround color","some difficult ",7,7,7,8,8,7,6,7,8,7,"Strong Agreement","Very Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement",NA
"60607",106507,"rGFOWN62mPI1",1,1,"parity","switch",3,73,1494.5800001733,1049947,73,1,"purple","66","Male","instruction clearly understand","yes","nothing i think backround color","some difficult ",7,7,7,8,8,7,6,7,8,7,"Strong Agreement","Very Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement",NA
"60608",106508,"rGFOWN62mPI1",1,1,"magnitude","switch",7,73,1289.22000015154,1051739,73,1,"purple","66","Male","instruction clearly understand","yes","nothing i think backround color","some difficult ",7,7,7,8,8,7,6,7,8,7,"Strong Agreement","Very Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement",NA
"60609",106509,"rGFOWN62mPI1",1,1,"parity","switch",3,73,1513.28500011005,1053756,73,1,"purple","66","Male","instruction clearly understand","yes","nothing i think backround color","some difficult ",7,7,7,8,8,7,6,7,8,7,"Strong Agreement","Very Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement",NA
"60610",106510,"rGFOWN62mPI1",1,1,"magnitude","switch",9,73,1320.10999997146,1055579,73,1,"purple","66","Male","instruction clearly understand","yes","nothing i think backround color","some difficult ",7,7,7,8,8,7,6,7,8,7,"Strong Agreement","Very Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement",NA
"60611",106511,"rGFOWN62mPI1",1,1,"parity","switch",1,69,1548.075000057,1057631,73,0,"purple","66","Male","instruction clearly understand","yes","nothing i think backround color","some difficult ",7,7,7,8,8,7,6,7,8,7,"Strong Agreement","Very Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement",NA
"60612",106512,"rGFOWN62mPI1",1,1,"magnitude","switch",1,69,1438.03999992087,1059573,69,1,"purple","66","Male","instruction clearly understand","yes","nothing i think backround color","some difficult ",7,7,7,8,8,7,6,7,8,7,"Strong Agreement","Very Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement",NA
"60613",106513,"rGFOWN62mPI1",1,1,"parity","switch",4,73,1247.48999997973,1061323,69,0,"purple","66","Male","instruction clearly understand","yes","nothing i think backround color","some difficult ",7,7,7,8,8,7,6,7,8,7,"Strong Agreement","Very Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement",NA
"60614",106514,"rGFOWN62mPI1",1,1,"magnitude","switch",3,69,1547.22500010394,1063373,69,1,"purple","66","Male","instruction clearly understand","yes","nothing i think backround color","some difficult ",7,7,7,8,8,7,6,7,8,7,"Strong Agreement","Very Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement",NA
"60615",106515,"rGFOWN62mPI1",1,1,"parity","switch",6,69,1527.53000007942,1065403,69,1,"purple","66","Male","instruction clearly understand","yes","nothing i think backround color","some difficult ",7,7,7,8,8,7,6,7,8,7,"Strong Agreement","Very Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement",NA
"60616",106516,"rGFOWN62mPI1",1,1,"magnitude","switch",1,69,1480.37999984808,1067387,69,1,"purple","66","Male","instruction clearly understand","yes","nothing i think backround color","some difficult ",7,7,7,8,8,7,6,7,8,7,"Strong Agreement","Very Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement",NA
"60617",106517,"rGFOWN62mPI1",1,1,"parity","switch",9,73,1336.59000019543,1069228,73,1,"purple","66","Male","instruction clearly understand","yes","nothing i think backround color","some difficult ",7,7,7,8,8,7,6,7,8,7,"Strong Agreement","Very Strong Agreement","Strong Agreement","Neither Agreement nor Disagreement","Slight Agreement","Moderate Agreement","Moderate Agreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Very Strong Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement",NA
