"","X","id","condition","block","task","switch","probe","key_press","rt","time_elapsed","ans","acc","easy_colour","age","sex","comments","preference","notice","difficult","mental_purple","temporal_purple","effort_purple","performance_purple","frustration_purple","mental_blue","temporal_blue","effort_blue","performance_blue","frustration_blue","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","IP"
"148801",136501,"rhH5cMDbRIde",0,1,"parity",NA,8,73,744.964999998047,200333,69,0,"blue","40","male","5","yes","no","no",6,5,7,6,7,5,6,7,5,6,"Slight Disagreement","Strong Agreement","Slight Disagreement","Slight Agreement","Slight Agreement","Slight Disagreement","Slight Agreement","Slight Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Slight Agreement",NA
"148802",136502,"rhH5cMDbRIde",0,1,"parity","repeat",2,NA,NA,203342,69,NA,"blue","40","male","5","yes","no","no",6,5,7,6,7,5,6,7,5,6,"Slight Disagreement","Strong Agreement","Slight Disagreement","Slight Agreement","Slight Agreement","Slight Disagreement","Slight Agreement","Slight Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Slight Agreement",NA
"148803",136503,"rhH5cMDbRIde",0,1,"parity","repeat",4,73,79.6750000008615,203925,69,0,"blue","40","male","5","yes","no","no",6,5,7,6,7,5,6,7,5,6,"Slight Disagreement","Strong Agreement","Slight Disagreement","Slight Agreement","Slight Agreement","Slight Disagreement","Slight Agreement","Slight Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Slight Agreement",NA
"148804",136504,"rhH5cMDbRIde",0,1,"parity","repeat",8,73,377.519999998185,204805,69,0,"blue","40","male","5","yes","no","no",6,5,7,6,7,5,6,7,5,6,"Slight Disagreement","Strong Agreement","Slight Disagreement","Slight Agreement","Slight Agreement","Slight Disagreement","Slight Agreement","Slight Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Slight Agreement",NA
"148805",136505,"rhH5cMDbRIde",0,1,"parity","repeat",3,73,376.899999999296,205685,73,1,"blue","40","male","5","yes","no","no",6,5,7,6,7,5,6,7,5,6,"Slight Disagreement","Strong Agreement","Slight Disagreement","Slight Agreement","Slight Agreement","Slight Disagreement","Slight Agreement","Slight Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Slight Agreement",NA
"148806",136506,"rhH5cMDbRIde",0,1,"parity","repeat",3,73,361.605000001873,206549,73,1,"blue","40","male","5","yes","no","no",6,5,7,6,7,5,6,7,5,6,"Slight Disagreement","Strong Agreement","Slight Disagreement","Slight Agreement","Slight Agreement","Slight Disagreement","Slight Agreement","Slight Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Slight Agreement",NA
"148807",136507,"rhH5cMDbRIde",0,1,"parity","repeat",7,73,344.109999998182,207396,73,1,"blue","40","male","5","yes","no","no",6,5,7,6,7,5,6,7,5,6,"Slight Disagreement","Strong Agreement","Slight Disagreement","Slight Agreement","Slight Agreement","Slight Disagreement","Slight Agreement","Slight Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Slight Agreement",NA
"148808",136508,"rhH5cMDbRIde",0,1,"parity","repeat",6,73,345.900000000256,208243,69,0,"blue","40","male","5","yes","no","no",6,5,7,6,7,5,6,7,5,6,"Slight Disagreement","Strong Agreement","Slight Disagreement","Slight Agreement","Slight Agreement","Slight Disagreement","Slight Agreement","Slight Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Slight Agreement",NA
"148809",136509,"rhH5cMDbRIde",0,1,"parity","repeat",6,73,186.529999999038,208933,69,0,"blue","40","male","5","yes","no","no",6,5,7,6,7,5,6,7,5,6,"Slight Disagreement","Strong Agreement","Slight Disagreement","Slight Agreement","Slight Agreement","Slight Disagreement","Slight Agreement","Slight Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Slight Agreement",NA
"148810",136510,"rhH5cMDbRIde",0,1,"magnitude","switch",6,73,41.7749999978696,209477,73,1,"blue","40","male","5","yes","no","no",6,5,7,6,7,5,6,7,5,6,"Slight Disagreement","Strong Agreement","Slight Disagreement","Slight Agreement","Slight Agreement","Slight Disagreement","Slight Agreement","Slight Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Slight Agreement",NA
"148811",136511,"rhH5cMDbRIde",0,1,"magnitude","repeat",1,73,296.545000001061,210277,69,0,"blue","40","male","5","yes","no","no",6,5,7,6,7,5,6,7,5,6,"Slight Disagreement","Strong Agreement","Slight Disagreement","Slight Agreement","Slight Agreement","Slight Disagreement","Slight Agreement","Slight Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Slight Agreement",NA
"148812",136512,"rhH5cMDbRIde",0,1,"magnitude","repeat",9,73,59.545000000071,210839,73,1,"blue","40","male","5","yes","no","no",6,5,7,6,7,5,6,7,5,6,"Slight Disagreement","Strong Agreement","Slight Disagreement","Slight Agreement","Slight Agreement","Slight Disagreement","Slight Agreement","Slight Disagreement","Neither Agreement nor Disagreement","Slight Disagreement","Strong Agreement","Moderate Agreement","Moderate Agreement","Slight Agreement","Neither Agreement nor Disagreement","Strong Agreement","Strong Agreement","Slight Agreement",NA
