"","X","id","condition","block","task","switch","probe","key_press","rt","time_elapsed","ans","acc","easy_colour","age","sex","comments","preference","notice","difficult","mental_purple","temporal_purple","effort_purple","performance_purple","frustration_purple","mental_blue","temporal_blue","effort_blue","performance_blue","frustration_blue","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","IP"
"49201",133801,"rySKa2q9CB8X",1,1,"parity",NA,2,69,2151.18000004441,474579,69,1,"purple","38","MALE","Yes, the instructions were clear.Fast move with correct answer.I liked the task and it made me to know my ability to do the task.","Purple","Blue colour is much darker than the other one.","Blue is difficult than other one.",8,5,8,7,1,7,7,8,7,1,"Strong Agreement","Slight Agreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement","Slight Agreement","Neither Agreement nor Disagreement","Slight Agreement","Moderate Disagreement","Strong Agreement","Strong Agreement","Strong Disagreement","Moderate Agreement","Slight Agreement","Moderate Disagreement","Strong Disagreement","Very Strong Disagreement","Neither Agreement nor Disagreement",NA
"49202",133802,"rySKa2q9CB8X",1,1,"magnitude","switch",9,73,840.34000011161,475923,73,1,"purple","38","MALE","Yes, the instructions were clear.Fast move with correct answer.I liked the task and it made me to know my ability to do the task.","Purple","Blue colour is much darker than the other one.","Blue is difficult than other one.",8,5,8,7,1,7,7,8,7,1,"Strong Agreement","Slight Agreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement","Slight Agreement","Neither Agreement nor Disagreement","Slight Agreement","Moderate Disagreement","Strong Agreement","Strong Agreement","Strong Disagreement","Moderate Agreement","Slight Agreement","Moderate Disagreement","Strong Disagreement","Very Strong Disagreement","Neither Agreement nor Disagreement",NA
"49203",133803,"rySKa2q9CB8X",1,1,"parity","switch",6,69,1079.964999808,477506,69,1,"purple","38","MALE","Yes, the instructions were clear.Fast move with correct answer.I liked the task and it made me to know my ability to do the task.","Purple","Blue colour is much darker than the other one.","Blue is difficult than other one.",8,5,8,7,1,7,7,8,7,1,"Strong Agreement","Slight Agreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement","Slight Agreement","Neither Agreement nor Disagreement","Slight Agreement","Moderate Disagreement","Strong Agreement","Strong Agreement","Strong Disagreement","Moderate Agreement","Slight Agreement","Moderate Disagreement","Strong Disagreement","Very Strong Disagreement","Neither Agreement nor Disagreement",NA
"49204",133804,"rySKa2q9CB8X",1,1,"magnitude","switch",9,73,1125.10000006296,479134,73,1,"purple","38","MALE","Yes, the instructions were clear.Fast move with correct answer.I liked the task and it made me to know my ability to do the task.","Purple","Blue colour is much darker than the other one.","Blue is difficult than other one.",8,5,8,7,1,7,7,8,7,1,"Strong Agreement","Slight Agreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement","Slight Agreement","Neither Agreement nor Disagreement","Slight Agreement","Moderate Disagreement","Strong Agreement","Strong Agreement","Strong Disagreement","Moderate Agreement","Slight Agreement","Moderate Disagreement","Strong Disagreement","Very Strong Disagreement","Neither Agreement nor Disagreement",NA
"49205",133805,"rySKa2q9CB8X",1,1,"parity","switch",1,73,915.455000009388,480552,73,1,"purple","38","MALE","Yes, the instructions were clear.Fast move with correct answer.I liked the task and it made me to know my ability to do the task.","Purple","Blue colour is much darker than the other one.","Blue is difficult than other one.",8,5,8,7,1,7,7,8,7,1,"Strong Agreement","Slight Agreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement","Slight Agreement","Neither Agreement nor Disagreement","Slight Agreement","Moderate Disagreement","Strong Agreement","Strong Agreement","Strong Disagreement","Moderate Agreement","Slight Agreement","Moderate Disagreement","Strong Disagreement","Very Strong Disagreement","Neither Agreement nor Disagreement",NA
"49206",133806,"rySKa2q9CB8X",1,1,"magnitude","switch",1,73,684.5350000076,481738,69,0,"purple","38","MALE","Yes, the instructions were clear.Fast move with correct answer.I liked the task and it made me to know my ability to do the task.","Purple","Blue colour is much darker than the other one.","Blue is difficult than other one.",8,5,8,7,1,7,7,8,7,1,"Strong Agreement","Slight Agreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement","Slight Agreement","Neither Agreement nor Disagreement","Slight Agreement","Moderate Disagreement","Strong Agreement","Strong Agreement","Strong Disagreement","Moderate Agreement","Slight Agreement","Moderate Disagreement","Strong Disagreement","Very Strong Disagreement","Neither Agreement nor Disagreement",NA
"49207",133807,"rySKa2q9CB8X",1,1,"parity","switch",1,73,461.279999930412,482702,73,1,"purple","38","MALE","Yes, the instructions were clear.Fast move with correct answer.I liked the task and it made me to know my ability to do the task.","Purple","Blue colour is much darker than the other one.","Blue is difficult than other one.",8,5,8,7,1,7,7,8,7,1,"Strong Agreement","Slight Agreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement","Slight Agreement","Neither Agreement nor Disagreement","Slight Agreement","Moderate Disagreement","Strong Agreement","Strong Agreement","Strong Disagreement","Moderate Agreement","Slight Agreement","Moderate Disagreement","Strong Disagreement","Very Strong Disagreement","Neither Agreement nor Disagreement",NA
"49208",133808,"rySKa2q9CB8X",1,1,"magnitude","switch",8,69,1675.03500008024,484880,73,0,"purple","38","MALE","Yes, the instructions were clear.Fast move with correct answer.I liked the task and it made me to know my ability to do the task.","Purple","Blue colour is much darker than the other one.","Blue is difficult than other one.",8,5,8,7,1,7,7,8,7,1,"Strong Agreement","Slight Agreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement","Slight Agreement","Neither Agreement nor Disagreement","Slight Agreement","Moderate Disagreement","Strong Agreement","Strong Agreement","Strong Disagreement","Moderate Agreement","Slight Agreement","Moderate Disagreement","Strong Disagreement","Very Strong Disagreement","Neither Agreement nor Disagreement",NA
"49209",133809,"rySKa2q9CB8X",1,1,"parity","switch",3,73,1073.54000001214,486458,73,1,"purple","38","MALE","Yes, the instructions were clear.Fast move with correct answer.I liked the task and it made me to know my ability to do the task.","Purple","Blue colour is much darker than the other one.","Blue is difficult than other one.",8,5,8,7,1,7,7,8,7,1,"Strong Agreement","Slight Agreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement","Slight Agreement","Neither Agreement nor Disagreement","Slight Agreement","Moderate Disagreement","Strong Agreement","Strong Agreement","Strong Disagreement","Moderate Agreement","Slight Agreement","Moderate Disagreement","Strong Disagreement","Very Strong Disagreement","Neither Agreement nor Disagreement",NA
"49210",133810,"rySKa2q9CB8X",1,1,"magnitude","switch",7,73,1166.01500008255,488126,73,1,"purple","38","MALE","Yes, the instructions were clear.Fast move with correct answer.I liked the task and it made me to know my ability to do the task.","Purple","Blue colour is much darker than the other one.","Blue is difficult than other one.",8,5,8,7,1,7,7,8,7,1,"Strong Agreement","Slight Agreement","Moderate Disagreement","Moderate Agreement","Moderate Disagreement","Slight Agreement","Neither Agreement nor Disagreement","Slight Agreement","Moderate Disagreement","Strong Agreement","Strong Agreement","Strong Disagreement","Moderate Agreement","Slight Agreement","Moderate Disagreement","Strong Disagreement","Very Strong Disagreement","Neither Agreement nor Disagreement",NA
