"","X","id","condition","block","task","switch","probe","key_press","rt","time_elapsed","ans","acc","easy_colour","age","sex","comments","preference","notice","difficult","mental_purple","temporal_purple","effort_purple","performance_purple","frustration_purple","mental_blue","temporal_blue","effort_blue","performance_blue","frustration_blue","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","IP"
"70501",135901,"uo3Fv6GkUirc",0,1,"magnitude",NA,6,73,1186.56000000192,276220,73,1,"blue","32","male","Instructions were clear.","I think I preferred blue.","It seemed like, on my first attempt with blue(?) each number color ran in consistent blocks ","I found purple more difficult (I think -- I'm actually having trouble remembering)",6,6,6,3,4,5,6,5,5,6,"Moderate Agreement","Moderate Agreement","Strong Disagreement","Neither Agreement nor Disagreement","Very Strong Disagreement","Slight Agreement","Very Strong Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Strong Agreement","Slight Disagreement","Strong Disagreement","Moderate Disagreement","Very Strong Agreement","Slight Agreement","Moderate Disagreement","Moderate Disagreement","Moderate Agreement",NA
"70502",135902,"uo3Fv6GkUirc",0,1,"parity","switch",3,73,1584.45999998366,278307,73,1,"blue","32","male","Instructions were clear.","I think I preferred blue.","It seemed like, on my first attempt with blue(?) each number color ran in consistent blocks ","I found purple more difficult (I think -- I'm actually having trouble remembering)",6,6,6,3,4,5,6,5,5,6,"Moderate Agreement","Moderate Agreement","Strong Disagreement","Neither Agreement nor Disagreement","Very Strong Disagreement","Slight Agreement","Very Strong Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Strong Agreement","Slight Disagreement","Strong Disagreement","Moderate Disagreement","Very Strong Agreement","Slight Agreement","Moderate Disagreement","Moderate Disagreement","Moderate Agreement",NA
"70503",135903,"uo3Fv6GkUirc",0,1,"parity","repeat",7,73,817.234999965876,279630,73,1,"blue","32","male","Instructions were clear.","I think I preferred blue.","It seemed like, on my first attempt with blue(?) each number color ran in consistent blocks ","I found purple more difficult (I think -- I'm actually having trouble remembering)",6,6,6,3,4,5,6,5,5,6,"Moderate Agreement","Moderate Agreement","Strong Disagreement","Neither Agreement nor Disagreement","Very Strong Disagreement","Slight Agreement","Very Strong Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Strong Agreement","Slight Disagreement","Strong Disagreement","Moderate Disagreement","Very Strong Agreement","Slight Agreement","Moderate Disagreement","Moderate Disagreement","Moderate Agreement",NA
"70504",135904,"uo3Fv6GkUirc",0,1,"magnitude","switch",7,73,1067.39999999991,281198,73,1,"blue","32","male","Instructions were clear.","I think I preferred blue.","It seemed like, on my first attempt with blue(?) each number color ran in consistent blocks ","I found purple more difficult (I think -- I'm actually having trouble remembering)",6,6,6,3,4,5,6,5,5,6,"Moderate Agreement","Moderate Agreement","Strong Disagreement","Neither Agreement nor Disagreement","Very Strong Disagreement","Slight Agreement","Very Strong Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Strong Agreement","Slight Disagreement","Strong Disagreement","Moderate Disagreement","Very Strong Agreement","Slight Agreement","Moderate Disagreement","Moderate Disagreement","Moderate Agreement",NA
"70505",135905,"uo3Fv6GkUirc",0,1,"parity","switch",7,73,1022.88999996381,282722,73,1,"blue","32","male","Instructions were clear.","I think I preferred blue.","It seemed like, on my first attempt with blue(?) each number color ran in consistent blocks ","I found purple more difficult (I think -- I'm actually having trouble remembering)",6,6,6,3,4,5,6,5,5,6,"Moderate Agreement","Moderate Agreement","Strong Disagreement","Neither Agreement nor Disagreement","Very Strong Disagreement","Slight Agreement","Very Strong Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Strong Agreement","Slight Disagreement","Strong Disagreement","Moderate Disagreement","Very Strong Agreement","Slight Agreement","Moderate Disagreement","Moderate Disagreement","Moderate Agreement",NA
"70506",135906,"uo3Fv6GkUirc",0,1,"magnitude","switch",7,73,976.714999997057,284201,73,1,"blue","32","male","Instructions were clear.","I think I preferred blue.","It seemed like, on my first attempt with blue(?) each number color ran in consistent blocks ","I found purple more difficult (I think -- I'm actually having trouble remembering)",6,6,6,3,4,5,6,5,5,6,"Moderate Agreement","Moderate Agreement","Strong Disagreement","Neither Agreement nor Disagreement","Very Strong Disagreement","Slight Agreement","Very Strong Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Strong Agreement","Slight Disagreement","Strong Disagreement","Moderate Disagreement","Very Strong Agreement","Slight Agreement","Moderate Disagreement","Moderate Disagreement","Moderate Agreement",NA
"70507",135907,"uo3Fv6GkUirc",0,1,"parity","switch",9,73,1381.46499998402,286087,73,1,"blue","32","male","Instructions were clear.","I think I preferred blue.","It seemed like, on my first attempt with blue(?) each number color ran in consistent blocks ","I found purple more difficult (I think -- I'm actually having trouble remembering)",6,6,6,3,4,5,6,5,5,6,"Moderate Agreement","Moderate Agreement","Strong Disagreement","Neither Agreement nor Disagreement","Very Strong Disagreement","Slight Agreement","Very Strong Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Strong Agreement","Slight Disagreement","Strong Disagreement","Moderate Disagreement","Very Strong Agreement","Slight Agreement","Moderate Disagreement","Moderate Disagreement","Moderate Agreement",NA
"70508",135908,"uo3Fv6GkUirc",0,1,"magnitude","switch",1,69,1089.15999997407,287681,69,1,"blue","32","male","Instructions were clear.","I think I preferred blue.","It seemed like, on my first attempt with blue(?) each number color ran in consistent blocks ","I found purple more difficult (I think -- I'm actually having trouble remembering)",6,6,6,3,4,5,6,5,5,6,"Moderate Agreement","Moderate Agreement","Strong Disagreement","Neither Agreement nor Disagreement","Very Strong Disagreement","Slight Agreement","Very Strong Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Strong Agreement","Slight Disagreement","Strong Disagreement","Moderate Disagreement","Very Strong Agreement","Slight Agreement","Moderate Disagreement","Moderate Disagreement","Moderate Agreement",NA
"70509",135909,"uo3Fv6GkUirc",0,1,"parity","switch",4,69,1167.09000000264,289353,69,1,"blue","32","male","Instructions were clear.","I think I preferred blue.","It seemed like, on my first attempt with blue(?) each number color ran in consistent blocks ","I found purple more difficult (I think -- I'm actually having trouble remembering)",6,6,6,3,4,5,6,5,5,6,"Moderate Agreement","Moderate Agreement","Strong Disagreement","Neither Agreement nor Disagreement","Very Strong Disagreement","Slight Agreement","Very Strong Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Strong Agreement","Slight Disagreement","Strong Disagreement","Moderate Disagreement","Very Strong Agreement","Slight Agreement","Moderate Disagreement","Moderate Disagreement","Moderate Agreement",NA
"70510",135910,"uo3Fv6GkUirc",0,1,"parity","repeat",9,73,1179.60499995388,291037,73,1,"blue","32","male","Instructions were clear.","I think I preferred blue.","It seemed like, on my first attempt with blue(?) each number color ran in consistent blocks ","I found purple more difficult (I think -- I'm actually having trouble remembering)",6,6,6,3,4,5,6,5,5,6,"Moderate Agreement","Moderate Agreement","Strong Disagreement","Neither Agreement nor Disagreement","Very Strong Disagreement","Slight Agreement","Very Strong Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Strong Agreement","Slight Disagreement","Strong Disagreement","Moderate Disagreement","Very Strong Agreement","Slight Agreement","Moderate Disagreement","Moderate Disagreement","Moderate Agreement",NA
"70511",135911,"uo3Fv6GkUirc",0,1,"magnitude","switch",1,69,801.409999956377,292344,69,1,"blue","32","male","Instructions were clear.","I think I preferred blue.","It seemed like, on my first attempt with blue(?) each number color ran in consistent blocks ","I found purple more difficult (I think -- I'm actually having trouble remembering)",6,6,6,3,4,5,6,5,5,6,"Moderate Agreement","Moderate Agreement","Strong Disagreement","Neither Agreement nor Disagreement","Very Strong Disagreement","Slight Agreement","Very Strong Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Strong Agreement","Slight Disagreement","Strong Disagreement","Moderate Disagreement","Very Strong Agreement","Slight Agreement","Moderate Disagreement","Moderate Disagreement","Moderate Agreement",NA
"70512",135912,"uo3Fv6GkUirc",0,1,"parity","switch",6,69,1545.8599999547,294393,69,1,"blue","32","male","Instructions were clear.","I think I preferred blue.","It seemed like, on my first attempt with blue(?) each number color ran in consistent blocks ","I found purple more difficult (I think -- I'm actually having trouble remembering)",6,6,6,3,4,5,6,5,5,6,"Moderate Agreement","Moderate Agreement","Strong Disagreement","Neither Agreement nor Disagreement","Very Strong Disagreement","Slight Agreement","Very Strong Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Strong Agreement","Slight Disagreement","Strong Disagreement","Moderate Disagreement","Very Strong Agreement","Slight Agreement","Moderate Disagreement","Moderate Disagreement","Moderate Agreement",NA
"70513",135913,"uo3Fv6GkUirc",0,1,"magnitude","switch",1,69,865.295000025071,295763,69,1,"blue","32","male","Instructions were clear.","I think I preferred blue.","It seemed like, on my first attempt with blue(?) each number color ran in consistent blocks ","I found purple more difficult (I think -- I'm actually having trouble remembering)",6,6,6,3,4,5,6,5,5,6,"Moderate Agreement","Moderate Agreement","Strong Disagreement","Neither Agreement nor Disagreement","Very Strong Disagreement","Slight Agreement","Very Strong Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Strong Agreement","Slight Disagreement","Strong Disagreement","Moderate Disagreement","Very Strong Agreement","Slight Agreement","Moderate Disagreement","Moderate Disagreement","Moderate Agreement",NA
"70514",135914,"uo3Fv6GkUirc",0,1,"magnitude","repeat",1,69,606.139999988955,296873,69,1,"blue","32","male","Instructions were clear.","I think I preferred blue.","It seemed like, on my first attempt with blue(?) each number color ran in consistent blocks ","I found purple more difficult (I think -- I'm actually having trouble remembering)",6,6,6,3,4,5,6,5,5,6,"Moderate Agreement","Moderate Agreement","Strong Disagreement","Neither Agreement nor Disagreement","Very Strong Disagreement","Slight Agreement","Very Strong Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Strong Agreement","Slight Disagreement","Strong Disagreement","Moderate Disagreement","Very Strong Agreement","Slight Agreement","Moderate Disagreement","Moderate Disagreement","Moderate Agreement",NA
"70515",135915,"uo3Fv6GkUirc",0,1,"parity","switch",2,73,923.290000006091,298301,69,0,"blue","32","male","Instructions were clear.","I think I preferred blue.","It seemed like, on my first attempt with blue(?) each number color ran in consistent blocks ","I found purple more difficult (I think -- I'm actually having trouble remembering)",6,6,6,3,4,5,6,5,5,6,"Moderate Agreement","Moderate Agreement","Strong Disagreement","Neither Agreement nor Disagreement","Very Strong Disagreement","Slight Agreement","Very Strong Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Strong Agreement","Slight Disagreement","Strong Disagreement","Moderate Disagreement","Very Strong Agreement","Slight Agreement","Moderate Disagreement","Moderate Disagreement","Moderate Agreement",NA
"70516",135916,"uo3Fv6GkUirc",0,1,"magnitude","switch",8,73,1368.65000001853,300175,73,1,"blue","32","male","Instructions were clear.","I think I preferred blue.","It seemed like, on my first attempt with blue(?) each number color ran in consistent blocks ","I found purple more difficult (I think -- I'm actually having trouble remembering)",6,6,6,3,4,5,6,5,5,6,"Moderate Agreement","Moderate Agreement","Strong Disagreement","Neither Agreement nor Disagreement","Very Strong Disagreement","Slight Agreement","Very Strong Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Strong Agreement","Slight Disagreement","Strong Disagreement","Moderate Disagreement","Very Strong Agreement","Slight Agreement","Moderate Disagreement","Moderate Disagreement","Moderate Agreement",NA
"70517",135917,"uo3Fv6GkUirc",0,1,"magnitude","repeat",1,69,1370.58499996783,302046,69,1,"blue","32","male","Instructions were clear.","I think I preferred blue.","It seemed like, on my first attempt with blue(?) each number color ran in consistent blocks ","I found purple more difficult (I think -- I'm actually having trouble remembering)",6,6,6,3,4,5,6,5,5,6,"Moderate Agreement","Moderate Agreement","Strong Disagreement","Neither Agreement nor Disagreement","Very Strong Disagreement","Slight Agreement","Very Strong Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Strong Agreement","Slight Disagreement","Strong Disagreement","Moderate Disagreement","Very Strong Agreement","Slight Agreement","Moderate Disagreement","Moderate Disagreement","Moderate Agreement",NA
"70518",135918,"uo3Fv6GkUirc",0,1,"parity","switch",9,73,873.350000008941,303424,73,1,"blue","32","male","Instructions were clear.","I think I preferred blue.","It seemed like, on my first attempt with blue(?) each number color ran in consistent blocks ","I found purple more difficult (I think -- I'm actually having trouble remembering)",6,6,6,3,4,5,6,5,5,6,"Moderate Agreement","Moderate Agreement","Strong Disagreement","Neither Agreement nor Disagreement","Very Strong Disagreement","Slight Agreement","Very Strong Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Strong Agreement","Slight Disagreement","Strong Disagreement","Moderate Disagreement","Very Strong Agreement","Slight Agreement","Moderate Disagreement","Moderate Disagreement","Moderate Agreement",NA
"70519",135919,"uo3Fv6GkUirc",0,1,"magnitude","switch",9,73,913.529999961611,304841,73,1,"blue","32","male","Instructions were clear.","I think I preferred blue.","It seemed like, on my first attempt with blue(?) each number color ran in consistent blocks ","I found purple more difficult (I think -- I'm actually having trouble remembering)",6,6,6,3,4,5,6,5,5,6,"Moderate Agreement","Moderate Agreement","Strong Disagreement","Neither Agreement nor Disagreement","Very Strong Disagreement","Slight Agreement","Very Strong Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Strong Agreement","Slight Disagreement","Strong Disagreement","Moderate Disagreement","Very Strong Agreement","Slight Agreement","Moderate Disagreement","Moderate Disagreement","Moderate Agreement",NA
"70520",135920,"uo3Fv6GkUirc",0,1,"magnitude","repeat",3,69,949.43500001682,306292,69,1,"blue","32","male","Instructions were clear.","I think I preferred blue.","It seemed like, on my first attempt with blue(?) each number color ran in consistent blocks ","I found purple more difficult (I think -- I'm actually having trouble remembering)",6,6,6,3,4,5,6,5,5,6,"Moderate Agreement","Moderate Agreement","Strong Disagreement","Neither Agreement nor Disagreement","Very Strong Disagreement","Slight Agreement","Very Strong Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Strong Agreement","Slight Disagreement","Strong Disagreement","Moderate Disagreement","Very Strong Agreement","Slight Agreement","Moderate Disagreement","Moderate Disagreement","Moderate Agreement",NA
"70521",135921,"uo3Fv6GkUirc",0,1,"magnitude","repeat",8,73,903.615000017453,307697,73,1,"blue","32","male","Instructions were clear.","I think I preferred blue.","It seemed like, on my first attempt with blue(?) each number color ran in consistent blocks ","I found purple more difficult (I think -- I'm actually having trouble remembering)",6,6,6,3,4,5,6,5,5,6,"Moderate Agreement","Moderate Agreement","Strong Disagreement","Neither Agreement nor Disagreement","Very Strong Disagreement","Slight Agreement","Very Strong Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Strong Agreement","Slight Disagreement","Strong Disagreement","Moderate Disagreement","Very Strong Agreement","Slight Agreement","Moderate Disagreement","Moderate Disagreement","Moderate Agreement",NA
