"","X","id","condition","block","task","switch","probe","key_press","rt","time_elapsed","ans","acc","easy_colour","age","sex","comments","preference","notice","difficult","mental_purple","temporal_purple","effort_purple","performance_purple","frustration_purple","mental_blue","temporal_blue","effort_blue","performance_blue","frustration_blue","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","IP"
"36901",70201,"w7nbsSmj4dai",0,1,"parity",NA,4,73,686.615000013262,277767,69,0,"purple","41","male",NA,NA,NA,NA,9,8,9,8,6,9,9,9,9,9,"Very Strong Agreement","Very Strong Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Neither Agreement nor Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement",NA
"36902",70202,"w7nbsSmj4dai",0,1,"parity","repeat",9,73,3.87500005308539,278281,73,1,"purple","41","male",NA,NA,NA,NA,9,8,9,8,6,9,9,9,9,9,"Very Strong Agreement","Very Strong Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Neither Agreement nor Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement",NA
"36903",70203,"w7nbsSmj4dai",0,1,"parity","repeat",2,69,730.379999964498,279517,69,1,"purple","41","male",NA,NA,NA,NA,9,8,9,8,6,9,9,9,9,9,"Very Strong Agreement","Very Strong Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Neither Agreement nor Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement",NA
"36904",70204,"w7nbsSmj4dai",0,1,"parity","repeat",9,69,175.285000004806,280197,73,0,"purple","41","male",NA,NA,NA,NA,9,8,9,8,6,9,9,9,9,9,"Very Strong Agreement","Very Strong Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Neither Agreement nor Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement",NA
"36905",70205,"w7nbsSmj4dai",0,1,"parity","repeat",1,69,74.5749999769032,280777,73,0,"purple","41","male",NA,NA,NA,NA,9,8,9,8,6,9,9,9,9,9,"Very Strong Agreement","Very Strong Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Neither Agreement nor Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement",NA
"36906",70206,"w7nbsSmj4dai",0,1,"parity","repeat",8,73,13.2849999936298,281297,69,0,"purple","41","male",NA,NA,NA,NA,9,8,9,8,6,9,9,9,9,9,"Very Strong Agreement","Very Strong Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Neither Agreement nor Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement",NA
"36907",70207,"w7nbsSmj4dai",0,1,"parity","repeat",8,73,132.405000040308,281937,69,0,"purple","41","male",NA,NA,NA,NA,9,8,9,8,6,9,9,9,9,9,"Very Strong Agreement","Very Strong Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Neither Agreement nor Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement",NA
"36908",70208,"w7nbsSmj4dai",0,1,"parity","repeat",1,73,306.770000024699,282748,73,1,"purple","41","male",NA,NA,NA,NA,9,8,9,8,6,9,9,9,9,9,"Very Strong Agreement","Very Strong Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Neither Agreement nor Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement",NA
"36909",70209,"w7nbsSmj4dai",0,1,"parity","repeat",1,73,123.480000067502,283378,73,1,"purple","41","male",NA,NA,NA,NA,9,8,9,8,6,9,9,9,9,9,"Very Strong Agreement","Very Strong Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Neither Agreement nor Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement",NA
"36910",70210,"w7nbsSmj4dai",0,1,"parity","repeat",6,73,106.975000002421,283987,69,0,"purple","41","male",NA,NA,NA,NA,9,8,9,8,6,9,9,9,9,9,"Very Strong Agreement","Very Strong Agreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Neither Agreement nor Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Neither Agreement nor Disagreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement","Very Strong Agreement",NA
