"","X","id","condition","block","task","switch","probe","key_press","rt","time_elapsed","ans","acc","easy_colour","age","sex","comments","preference","notice","difficult","mental_purple","temporal_purple","effort_purple","performance_purple","frustration_purple","mental_blue","temporal_blue","effort_blue","performance_blue","frustration_blue","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","IP"
"123301",135601,"zykDmVNSt6as",0,1,"magnitude",NA,7,NA,NA,1376684,73,NA,"blue","35","male","yes.the instructions is cleared to me.","no","no","no",8,8,8,8,8,8,8,8,8,8,"Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement",NA
"123302",135602,"zykDmVNSt6as",0,1,"magnitude","repeat",2,69,1663.00000017509,1378881,69,1,"blue","35","male","yes.the instructions is cleared to me.","no","no","no",8,8,8,8,8,8,8,8,8,8,"Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement",NA
"123303",135603,"zykDmVNSt6as",0,1,"magnitude","repeat",1,69,2368.99999994785,1381752,69,1,"blue","35","male","yes.the instructions is cleared to me.","no","no","no",8,8,8,8,8,8,8,8,8,8,"Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement",NA
"123304",135604,"zykDmVNSt6as",0,1,"magnitude","repeat",1,69,1059.00000035763,1383314,69,1,"blue","35","male","yes.the instructions is cleared to me.","no","no","no",8,8,8,8,8,8,8,8,8,8,"Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement",NA
"123305",135605,"zykDmVNSt6as",0,1,"magnitude","repeat",2,69,1504.99999988824,1385322,69,1,"blue","35","male","yes.the instructions is cleared to me.","no","no","no",8,8,8,8,8,8,8,8,8,8,"Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement",NA
"123306",135606,"zykDmVNSt6as",0,1,"magnitude","repeat",2,69,935.999999754131,1386761,69,1,"blue","35","male","yes.the instructions is cleared to me.","no","no","no",8,8,8,8,8,8,8,8,8,8,"Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement",NA
"123307",135607,"zykDmVNSt6as",0,1,"magnitude","repeat",7,73,1209.0000002645,1388472,73,1,"blue","35","male","yes.the instructions is cleared to me.","no","no","no",8,8,8,8,8,8,8,8,8,8,"Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement",NA
"123308",135608,"zykDmVNSt6as",0,1,"magnitude","repeat",8,73,1338.99999968708,1390313,73,1,"blue","35","male","yes.the instructions is cleared to me.","no","no","no",8,8,8,8,8,8,8,8,8,8,"Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement",NA
"123309",135609,"zykDmVNSt6as",0,1,"magnitude","repeat",2,69,1228.00000011921,1392043,69,1,"blue","35","male","yes.the instructions is cleared to me.","no","no","no",8,8,8,8,8,8,8,8,8,8,"Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement",NA
"123310",135610,"zykDmVNSt6as",0,1,"magnitude","repeat",4,69,1049.00000011548,1393593,69,1,"blue","35","male","yes.the instructions is cleared to me.","no","no","no",8,8,8,8,8,8,8,8,8,8,"Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement","Moderate Agreement","Strong Agreement","Very Strong Agreement","Very Strong Agreement","Strong Agreement","Strong Agreement","Strong Agreement",NA
