"","id","age","gender","run","decisionnum","deckl","deckr","decision_type","deckchoice","deckrt","subtrial","task","probe","switchresp","switchrt","understood","mapping","preference","notice","difficulty","tlx_deck1","tlx_deck2","tlx_deck3","tlx_deck4","tlx_deck5","tlx_deck6","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","uncertainty1","uncertainty2","uncertainty3","uncertainty4","uncertainty5","uncertainty6","uncertainty7","uncertainty8","uncertainty9","uncertainty10","uncertainty11","uncertainty12","uncertainty13","uncertainty14","uncertainty15","uncertainty16","uncertainty17","uncertainty18","uncertainty19","uncertainty20","uncertainty21","uncertainty22","uncertainty23","uncertainty24","uncertainty25","uncertainty26","uncertainty27","time_elapsed","IP"
"81016","nlACPy3oZbSW","31","Male","learning",0,"deck1",NA,NA,NA,NA,1,"parity",2,73,1802.55500006024,"Yes, I think I was able to follow the rules until I started to lose focus.","Only two of them, moon and lightning bolt, because I got the impression they regularly had simpler series of numers/colors.","I looked for the easier ones, especially ones that presented the same color several times in a row.","Some decks were harder in the sense they switched colors more often or used the numbers easy to get wrong.","Circle and cross seemed to alternate colors more often, which made it more difficult for me.",6,8,5,0,1,6,3,3,1,2,0,3,1,2,1,3,4,0,2,3,3,1,2,3,3,1,0,2,1,1,2,3,1,3,2,0,1,1,0,2,1,0,1,0,3,2,2,2,0,1,1,612246,NA
"81017","nlACPy3oZbSW","31","Male","learning",0,"deck1",NA,NA,NA,NA,2,"parity",6,69,1706.57000003848,"Yes, I think I was able to follow the rules until I started to lose focus.","Only two of them, moon and lightning bolt, because I got the impression they regularly had simpler series of numers/colors.","I looked for the easier ones, especially ones that presented the same color several times in a row.","Some decks were harder in the sense they switched colors more often or used the numbers easy to get wrong.","Circle and cross seemed to alternate colors more often, which made it more difficult for me.",6,8,5,0,1,6,3,3,1,2,0,3,1,2,1,3,4,0,2,3,3,1,2,3,3,1,0,2,1,1,2,3,1,3,2,0,1,1,0,2,1,0,1,0,3,2,2,2,0,1,1,614455,NA
"81018","nlACPy3oZbSW","31","Male","learning",0,"deck1",NA,NA,NA,NA,3,"parity",2,69,642.549999989569,"Yes, I think I was able to follow the rules until I started to lose focus.","Only two of them, moon and lightning bolt, because I got the impression they regularly had simpler series of numers/colors.","I looked for the easier ones, especially ones that presented the same color several times in a row.","Some decks were harder in the sense they switched colors more often or used the numbers easy to get wrong.","Circle and cross seemed to alternate colors more often, which made it more difficult for me.",6,8,5,0,1,6,3,3,1,2,0,3,1,2,1,3,4,0,2,3,3,1,2,3,3,1,0,2,1,1,2,3,1,3,2,0,1,1,0,2,1,0,1,0,3,2,2,2,0,1,1,615599,NA
"81019","nlACPy3oZbSW","31","Male","learning",0,"deck1",NA,NA,NA,NA,4,"parity",3,73,1209.82500002719,"Yes, I think I was able to follow the rules until I started to lose focus.","Only two of them, moon and lightning bolt, because I got the impression they regularly had simpler series of numers/colors.","I looked for the easier ones, especially ones that presented the same color several times in a row.","Some decks were harder in the sense they switched colors more often or used the numbers easy to get wrong.","Circle and cross seemed to alternate colors more often, which made it more difficult for me.",6,8,5,0,1,6,3,3,1,2,0,3,1,2,1,3,4,0,2,3,3,1,2,3,3,1,0,2,1,1,2,3,1,3,2,0,1,1,0,2,1,0,1,0,3,2,2,2,0,1,1,617311,NA
"81020","nlACPy3oZbSW","31","Male","learning",0,"deck1",NA,NA,NA,NA,5,"parity",7,73,554.194999975152,"Yes, I think I was able to follow the rules until I started to lose focus.","Only two of them, moon and lightning bolt, because I got the impression they regularly had simpler series of numers/colors.","I looked for the easier ones, especially ones that presented the same color several times in a row.","Some decks were harder in the sense they switched colors more often or used the numbers easy to get wrong.","Circle and cross seemed to alternate colors more often, which made it more difficult for me.",6,8,5,0,1,6,3,3,1,2,0,3,1,2,1,3,4,0,2,3,3,1,2,3,3,1,0,2,1,1,2,3,1,3,2,0,1,1,0,2,1,0,1,0,3,2,2,2,0,1,1,618367,NA
"81021","nlACPy3oZbSW","31","Male","learning",0,"deck1",NA,NA,NA,NA,6,"parity",3,73,738.729999982752,"Yes, I think I was able to follow the rules until I started to lose focus.","Only two of them, moon and lightning bolt, because I got the impression they regularly had simpler series of numers/colors.","I looked for the easier ones, especially ones that presented the same color several times in a row.","Some decks were harder in the sense they switched colors more often or used the numbers easy to get wrong.","Circle and cross seemed to alternate colors more often, which made it more difficult for me.",6,8,5,0,1,6,3,3,1,2,0,3,1,2,1,3,4,0,2,3,3,1,2,3,3,1,0,2,1,1,2,3,1,3,2,0,1,1,0,2,1,0,1,0,3,2,2,2,0,1,1,619607,NA
"81022","nlACPy3oZbSW","31","Male","learning",0,"deck1",NA,NA,NA,NA,7,"parity",7,73,604.189999983646,"Yes, I think I was able to follow the rules until I started to lose focus.","Only two of them, moon and lightning bolt, because I got the impression they regularly had simpler series of numers/colors.","I looked for the easier ones, especially ones that presented the same color several times in a row.","Some decks were harder in the sense they switched colors more often or used the numbers easy to get wrong.","Circle and cross seemed to alternate colors more often, which made it more difficult for me.",6,8,5,0,1,6,3,3,1,2,0,3,1,2,1,3,4,0,2,3,3,1,2,3,3,1,0,2,1,1,2,3,1,3,2,0,1,1,0,2,1,0,1,0,3,2,2,2,0,1,1,620712,NA
"81023","nlACPy3oZbSW","31","Male","learning",0,"deck1",NA,NA,NA,NA,8,"parity",8,69,609.969999990426,"Yes, I think I was able to follow the rules until I started to lose focus.","Only two of them, moon and lightning bolt, because I got the impression they regularly had simpler series of numers/colors.","I looked for the easier ones, especially ones that presented the same color several times in a row.","Some decks were harder in the sense they switched colors more often or used the numbers easy to get wrong.","Circle and cross seemed to alternate colors more often, which made it more difficult for me.",6,8,5,0,1,6,3,3,1,2,0,3,1,2,1,3,4,0,2,3,3,1,2,3,3,1,0,2,1,1,2,3,1,3,2,0,1,1,0,2,1,0,1,0,3,2,2,2,0,1,1,621823,NA
"81024","nlACPy3oZbSW","31","Male","learning",0,"deck1",NA,NA,NA,NA,9,"parity",7,73,554.975000093691,"Yes, I think I was able to follow the rules until I started to lose focus.","Only two of them, moon and lightning bolt, because I got the impression they regularly had simpler series of numers/colors.","I looked for the easier ones, especially ones that presented the same color several times in a row.","Some decks were harder in the sense they switched colors more often or used the numbers easy to get wrong.","Circle and cross seemed to alternate colors more often, which made it more difficult for me.",6,8,5,0,1,6,3,3,1,2,0,3,1,2,1,3,4,0,2,3,3,1,2,3,3,1,0,2,1,1,2,3,1,3,2,0,1,1,0,2,1,0,1,0,3,2,2,2,0,1,1,622880,NA
"81025","nlACPy3oZbSW","31","Male","learning",0,"deck1",NA,NA,NA,NA,10,"magnitude",8,73,1162.83500008285,"Yes, I think I was able to follow the rules until I started to lose focus.","Only two of them, moon and lightning bolt, because I got the impression they regularly had simpler series of numers/colors.","I looked for the easier ones, especially ones that presented the same color several times in a row.","Some decks were harder in the sense they switched colors more often or used the numbers easy to get wrong.","Circle and cross seemed to alternate colors more often, which made it more difficult for me.",6,8,5,0,1,6,3,3,1,2,0,3,1,2,1,3,4,0,2,3,3,1,2,3,3,1,0,2,1,1,2,3,1,3,2,0,1,1,0,2,1,0,1,0,3,2,2,2,0,1,1,624544,NA
