"","id","age","gender","run","decisionnum","deckl","deckr","decision_type","deckchoice","deckrt","subtrial","task","probe","switchresp","switchrt","understood","mapping","preference","notice","difficulty","tlx_deck1","tlx_deck2","tlx_deck3","tlx_deck4","tlx_deck5","tlx_deck6","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","uncertainty1","uncertainty2","uncertainty3","uncertainty4","uncertainty5","uncertainty6","uncertainty7","uncertainty8","uncertainty9","uncertainty10","uncertainty11","uncertainty12","uncertainty13","uncertainty14","uncertainty15","uncertainty16","uncertainty17","uncertainty18","uncertainty19","uncertainty20","uncertainty21","uncertainty22","uncertainty23","uncertainty24","uncertainty25","uncertainty26","uncertainty27","time_elapsed","IP"
"64708","HwBdbzeONPsr","30","female","learning",0,"deck1",NA,NA,NA,NA,1,"parity",7,73,1168.55500000023,"Sort of, I just picked the decks I thought were easiest","I remembered which ones were easy and had the most repetition","I chose the ones that repeated the same key a lot, and didn't switch between orange and green a lot","I noticed that some were much easier than others","Yes some decks were very hard and switched back and forth between colors too much",4,9,9,2,2,3,1,0,2,3,1,0,4,4,4,2,3,2,1,2,0,4,3,0,1,1,2,3,2,3,3,4,2,4,3,0,1,2,3,1,2,3,3,1,4,2,2,1,2,4,3,317865,NA
"64709","HwBdbzeONPsr","30","female","learning",0,"deck1",NA,NA,NA,NA,2,"parity",6,69,1043.36999999941,"Sort of, I just picked the decks I thought were easiest","I remembered which ones were easy and had the most repetition","I chose the ones that repeated the same key a lot, and didn't switch between orange and green a lot","I noticed that some were much easier than others","Yes some decks were very hard and switched back and forth between colors too much",4,9,9,2,2,3,1,0,2,3,1,0,4,4,4,2,3,2,1,2,0,4,3,0,1,1,2,3,2,3,3,4,2,4,3,0,1,2,3,1,2,3,3,1,4,2,2,1,2,4,3,319410,NA
"64710","HwBdbzeONPsr","30","female","learning",0,"deck1",NA,NA,NA,NA,3,"parity",9,73,1042.1949999982,"Sort of, I just picked the decks I thought were easiest","I remembered which ones were easy and had the most repetition","I chose the ones that repeated the same key a lot, and didn't switch between orange and green a lot","I noticed that some were much easier than others","Yes some decks were very hard and switched back and forth between colors too much",4,9,9,2,2,3,1,0,2,3,1,0,4,4,4,2,3,2,1,2,0,4,3,0,1,1,2,3,2,3,3,4,2,4,3,0,1,2,3,1,2,3,3,1,4,2,2,1,2,4,3,320954,NA
"64711","HwBdbzeONPsr","30","female","learning",0,"deck1",NA,NA,NA,NA,4,"parity",7,73,937.154999999679,"Sort of, I just picked the decks I thought were easiest","I remembered which ones were easy and had the most repetition","I chose the ones that repeated the same key a lot, and didn't switch between orange and green a lot","I noticed that some were much easier than others","Yes some decks were very hard and switched back and forth between colors too much",4,9,9,2,2,3,1,0,2,3,1,0,4,4,4,2,3,2,1,2,0,4,3,0,1,1,2,3,2,3,3,4,2,4,3,0,1,2,3,1,2,3,3,1,4,2,2,1,2,4,3,322393,NA
"64712","HwBdbzeONPsr","30","female","learning",0,"deck1",NA,NA,NA,NA,5,"parity",2,69,858.055000000575,"Sort of, I just picked the decks I thought were easiest","I remembered which ones were easy and had the most repetition","I chose the ones that repeated the same key a lot, and didn't switch between orange and green a lot","I noticed that some were much easier than others","Yes some decks were very hard and switched back and forth between colors too much",4,9,9,2,2,3,1,0,2,3,1,0,4,4,4,2,3,2,1,2,0,4,3,0,1,1,2,3,2,3,3,4,2,4,3,0,1,2,3,1,2,3,3,1,4,2,2,1,2,4,3,323753,NA
"64713","HwBdbzeONPsr","30","female","learning",0,"deck1",NA,NA,NA,NA,6,"parity",3,73,851.540000003297,"Sort of, I just picked the decks I thought were easiest","I remembered which ones were easy and had the most repetition","I chose the ones that repeated the same key a lot, and didn't switch between orange and green a lot","I noticed that some were much easier than others","Yes some decks were very hard and switched back and forth between colors too much",4,9,9,2,2,3,1,0,2,3,1,0,4,4,4,2,3,2,1,2,0,4,3,0,1,1,2,3,2,3,3,4,2,4,3,0,1,2,3,1,2,3,3,1,4,2,2,1,2,4,3,325106,NA
"64714","HwBdbzeONPsr","30","female","learning",0,"deck1",NA,NA,NA,NA,7,"parity",4,69,1072.94000000186,"Sort of, I just picked the decks I thought were easiest","I remembered which ones were easy and had the most repetition","I chose the ones that repeated the same key a lot, and didn't switch between orange and green a lot","I noticed that some were much easier than others","Yes some decks were very hard and switched back and forth between colors too much",4,9,9,2,2,3,1,0,2,3,1,0,4,4,4,2,3,2,1,2,0,4,3,0,1,1,2,3,2,3,3,4,2,4,3,0,1,2,3,1,2,3,3,1,4,2,2,1,2,4,3,326681,NA
"64715","HwBdbzeONPsr","30","female","learning",0,"deck1",NA,NA,NA,NA,8,"parity",8,69,802.940000001458,"Sort of, I just picked the decks I thought were easiest","I remembered which ones were easy and had the most repetition","I chose the ones that repeated the same key a lot, and didn't switch between orange and green a lot","I noticed that some were much easier than others","Yes some decks were very hard and switched back and forth between colors too much",4,9,9,2,2,3,1,0,2,3,1,0,4,4,4,2,3,2,1,2,0,4,3,0,1,1,2,3,2,3,3,4,2,4,3,0,1,2,3,1,2,3,3,1,4,2,2,1,2,4,3,327985,NA
"64716","HwBdbzeONPsr","30","female","learning",0,"deck1",NA,NA,NA,NA,9,"parity",2,69,865.685000000696,"Sort of, I just picked the decks I thought were easiest","I remembered which ones were easy and had the most repetition","I chose the ones that repeated the same key a lot, and didn't switch between orange and green a lot","I noticed that some were much easier than others","Yes some decks were very hard and switched back and forth between colors too much",4,9,9,2,2,3,1,0,2,3,1,0,4,4,4,2,3,2,1,2,0,4,3,0,1,1,2,3,2,3,3,4,2,4,3,0,1,2,3,1,2,3,3,1,4,2,2,1,2,4,3,329353,NA
"64717","HwBdbzeONPsr","30","female","learning",0,"deck1",NA,NA,NA,NA,10,"parity",1,73,866.125000000466,"Sort of, I just picked the decks I thought were easiest","I remembered which ones were easy and had the most repetition","I chose the ones that repeated the same key a lot, and didn't switch between orange and green a lot","I noticed that some were much easier than others","Yes some decks were very hard and switched back and forth between colors too much",4,9,9,2,2,3,1,0,2,3,1,0,4,4,4,2,3,2,1,2,0,4,3,0,1,1,2,3,2,3,3,4,2,4,3,0,1,2,3,1,2,3,3,1,4,2,2,1,2,4,3,330721,NA
