"","id","age","gender","run","decisionnum","deckl","deckr","decision_type","deckchoice","deckrt","subtrial","task","probe","switchresp","switchrt","understood","mapping","preference","notice","difficulty","tlx_deck1","tlx_deck2","tlx_deck3","tlx_deck4","tlx_deck5","tlx_deck6","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","uncertainty1","uncertainty2","uncertainty3","uncertainty4","uncertainty5","uncertainty6","uncertainty7","uncertainty8","uncertainty9","uncertainty10","uncertainty11","uncertainty12","uncertainty13","uncertainty14","uncertainty15","uncertainty16","uncertainty17","uncertainty18","uncertainty19","uncertainty20","uncertainty21","uncertainty22","uncertainty23","uncertainty24","uncertainty25","uncertainty26","uncertainty27","time_elapsed"
"1","fFZxkvdKzoJI5Up",35,"male","learning",0,"deck1",NA,NA,NA,NA,1,"magnitude",9,NA,NA,"good","good","good","good","good",8,9,8,7,6,7,3,4,3,2,3,4,3,2,3,4,4,3,2,3,4,4,3,2,3,4,3,2,3,4,3,2,3,4,3,2,3,4,3,2,3,4,3,2,3,4,3,2,3,4,3,122475
"2","fFZxkvdKzoJI5Up",35,"male","learning",0,"deck1",NA,NA,NA,NA,2,"magnitude",6,69,1679.99999970198,"good","good","good","good","good",8,9,8,7,6,7,3,4,3,2,3,4,3,2,3,4,4,3,2,3,4,4,3,2,3,4,3,2,3,4,3,2,3,4,3,2,3,4,3,2,3,4,3,2,3,4,3,2,3,4,3,124667
"3","fFZxkvdKzoJI5Up",35,"male","learning",0,"deck1",NA,NA,NA,NA,3,"magnitude",9,73,52.9999998398125,"good","good","good","good","good",8,9,8,7,6,7,3,4,3,2,3,4,3,2,3,4,4,3,2,3,4,4,3,2,3,4,3,2,3,4,3,2,3,4,3,2,3,4,3,2,3,4,3,2,3,4,3,2,3,4,3,125307
"4","fFZxkvdKzoJI5Up",35,"male","learning",0,"deck1",NA,NA,NA,NA,4,"magnitude",4,69,73.9999995566905,"good","good","good","good","good",8,9,8,7,6,7,3,4,3,2,3,4,3,2,3,4,4,3,2,3,4,4,3,2,3,4,3,2,3,4,3,2,3,4,3,2,3,4,3,2,3,4,3,2,3,4,3,2,3,4,3,125898
"5","fFZxkvdKzoJI5Up",35,"male","learning",0,"deck1",NA,NA,NA,NA,5,"magnitude",3,73,47.0000002533197,"good","good","good","good","good",8,9,8,7,6,7,3,4,3,2,3,4,3,2,3,4,4,3,2,3,4,4,3,2,3,4,3,2,3,4,3,2,3,4,3,2,3,4,3,2,3,4,3,2,3,4,3,2,3,4,3,126447
"6","fFZxkvdKzoJI5Up",35,"male","learning",0,"deck1",NA,NA,NA,NA,6,"magnitude",2,69,81.0000002384186,"good","good","good","good","good",8,9,8,7,6,7,3,4,3,2,3,4,3,2,3,4,4,3,2,3,4,4,3,2,3,4,3,2,3,4,3,2,3,4,3,2,3,4,3,2,3,4,3,2,3,4,3,2,3,4,3,127047
"7","fFZxkvdKzoJI5Up",35,"male","learning",0,"deck1",NA,NA,NA,NA,7,"magnitude",1,69,158.999999985099,"good","good","good","good","good",8,9,8,7,6,7,3,4,3,2,3,4,3,2,3,4,4,3,2,3,4,4,3,2,3,4,3,2,3,4,3,2,3,4,3,2,3,4,3,2,3,4,3,2,3,4,3,2,3,4,3,127769
"8","fFZxkvdKzoJI5Up",35,"male","learning",0,"deck1",NA,NA,NA,NA,8,"magnitude",7,73,60.9999997541308,"good","good","good","good","good",8,9,8,7,6,7,3,4,3,2,3,4,3,2,3,4,4,3,2,3,4,4,3,2,3,4,3,2,3,4,3,2,3,4,3,2,3,4,3,2,3,4,3,2,3,4,3,2,3,4,3,128348
"9","fFZxkvdKzoJI5Up",35,"male","learning",0,"deck1",NA,NA,NA,NA,9,"magnitude",3,69,9.99999977648258,"good","good","good","good","good",8,9,8,7,6,7,3,4,3,2,3,4,3,2,3,4,4,3,2,3,4,4,3,2,3,4,3,2,3,4,3,2,3,4,3,2,3,4,3,2,3,4,3,2,3,4,3,2,3,4,3,128901
"10","fFZxkvdKzoJI5Up",35,"male","learning",0,"deck1",NA,NA,NA,NA,10,"magnitude",7,73,37.0000000111759,"good","good","good","good","good",8,9,8,7,6,7,3,4,3,2,3,4,3,2,3,4,4,3,2,3,4,4,3,2,3,4,3,2,3,4,3,2,3,4,3,2,3,4,3,2,3,4,3,2,3,4,3,2,3,4,3,129443
"11","fFZxkvdKzoJI5Up",35,"male","learning",0,"deck1",NA,NA,NA,NA,11,"magnitude",8,69,118.999999947846,"good","good","good","good","good",8,9,8,7,6,7,3,4,3,2,3,4,3,2,3,4,4,3,2,3,4,4,3,2,3,4,3,2,3,4,3,2,3,4,3,2,3,4,3,2,3,4,3,2,3,4,3,2,3,4,3,130104
"12","fFZxkvdKzoJI5Up",35,"male","learning",0,"deck1",NA,NA,NA,NA,12,"magnitude",1,69,23.0000000447035,"good","good","good","good","good",8,9,8,7,6,7,3,4,3,2,3,4,3,2,3,4,4,3,2,3,4,4,3,2,3,4,3,2,3,4,3,2,3,4,3,2,3,4,3,2,3,4,3,2,3,4,3,2,3,4,3,130635
"13","fFZxkvdKzoJI5Up",35,"male","learning",0,"deck1",NA,NA,NA,NA,13,"magnitude",8,69,16.9999999925494,"good","good","good","good","good",8,9,8,7,6,7,3,4,3,2,3,4,3,2,3,4,4,3,2,3,4,4,3,2,3,4,3,2,3,4,3,2,3,4,3,2,3,4,3,2,3,4,3,2,3,4,3,2,3,4,3,131152
"14","fFZxkvdKzoJI5Up",35,"male","learning",0,"deck1",NA,NA,NA,NA,14,"parity",6,69,77.0000000484288,"good","good","good","good","good",8,9,8,7,6,7,3,4,3,2,3,4,3,2,3,4,4,3,2,3,4,4,3,2,3,4,3,2,3,4,3,2,3,4,3,2,3,4,3,2,3,4,3,2,3,4,3,2,3,4,3,131744
"15","fFZxkvdKzoJI5Up",35,"male","learning",0,"deck1",NA,NA,NA,NA,15,"parity",8,73,52.000000141561,"good","good","good","good","good",8,9,8,7,6,7,3,4,3,2,3,4,3,2,3,4,4,3,2,3,4,4,3,2,3,4,3,2,3,4,3,2,3,4,3,2,3,4,3,2,3,4,3,2,3,4,3,2,3,4,3,132297
