"","id","age","gender","run","decisionnum","deckl","deckr","decision_type","deckchoice","deckrt","subtrial","task","probe","switchresp","switchrt","understood","mapping","preference","notice","difficulty","tlx_deck1","tlx_deck2","tlx_deck3","tlx_deck4","tlx_deck5","tlx_deck6","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","uncertainty1","uncertainty2","uncertainty3","uncertainty4","uncertainty5","uncertainty6","uncertainty7","uncertainty8","uncertainty9","uncertainty10","uncertainty11","uncertainty12","uncertainty13","uncertainty14","uncertainty15","uncertainty16","uncertainty17","uncertainty18","uncertainty19","uncertainty20","uncertainty21","uncertainty22","uncertainty23","uncertainty24","uncertainty25","uncertainty26","uncertainty27","time_elapsed"
"1","Ho1T79X68KkqBbQ",34,"male","learning",0,"deck1",NA,NA,NA,NA,1,"parity",4,NA,NA,"yes","yes","use my knowledge","yes","no",7,7,6,8,8,9,4,3,3,2,2,3,3,2,3,1,2,2,2,2,3,2,3,1,2,1,2,2,1,1,1,3,3,2,0,2,3,2,3,4,2,3,3,1,3,2,2,2,2,2,1,278599
"2","Ho1T79X68KkqBbQ",34,"male","learning",0,"deck1",NA,NA,NA,NA,2,"parity",9,73,1924.00000011548,"yes","yes","use my knowledge","yes","no",7,7,6,8,8,9,4,3,3,2,2,3,3,2,3,1,2,2,2,2,3,2,3,1,2,1,2,2,1,1,1,3,3,2,0,2,3,2,3,4,2,3,3,1,3,2,2,2,2,2,1,281037
"3","Ho1T79X68KkqBbQ",34,"male","learning",0,"deck1",NA,NA,NA,NA,3,"parity",9,73,684.000000357628,"yes","yes","use my knowledge","yes","no",7,7,6,8,8,9,4,3,3,2,2,3,3,2,3,1,2,2,2,2,3,2,3,1,2,1,2,2,1,1,1,3,3,2,0,2,3,2,3,4,2,3,3,1,3,2,2,2,2,2,1,282222
"4","Ho1T79X68KkqBbQ",34,"male","learning",0,"deck1",NA,NA,NA,NA,4,"magnitude",3,69,752.000000327826,"yes","yes","use my knowledge","yes","no",7,7,6,8,8,9,4,3,3,2,2,3,3,2,3,1,2,2,2,2,3,2,3,1,2,1,2,2,1,1,1,3,3,2,0,2,3,2,3,4,2,3,3,1,3,2,2,2,2,2,1,283501
"5","Ho1T79X68KkqBbQ",34,"male","learning",0,"deck1",NA,NA,NA,NA,5,"magnitude",4,69,694.00000013411,"yes","yes","use my knowledge","yes","no",7,7,6,8,8,9,4,3,3,2,2,3,3,2,3,1,2,2,2,2,3,2,3,1,2,1,2,2,1,1,1,3,3,2,0,2,3,2,3,4,2,3,3,1,3,2,2,2,2,2,1,284695
"6","Ho1T79X68KkqBbQ",34,"male","learning",0,"deck1",NA,NA,NA,NA,6,"magnitude",2,69,560.000000055879,"yes","yes","use my knowledge","yes","no",7,7,6,8,8,9,4,3,3,2,2,3,3,2,3,1,2,2,2,2,3,2,3,1,2,1,2,2,1,1,1,3,3,2,0,2,3,2,3,4,2,3,3,1,3,2,2,2,2,2,1,285758
"7","Ho1T79X68KkqBbQ",34,"male","learning",0,"deck1",NA,NA,NA,NA,7,"magnitude",1,69,817.999999970198,"yes","yes","use my knowledge","yes","no",7,7,6,8,8,9,4,3,3,2,2,3,3,2,3,1,2,2,2,2,3,2,3,1,2,1,2,2,1,1,1,3,3,2,0,2,3,2,3,4,2,3,3,1,3,2,2,2,2,2,1,287078
"8","Ho1T79X68KkqBbQ",34,"male","learning",0,"deck1",NA,NA,NA,NA,8,"magnitude",7,73,638.999999966472,"yes","yes","use my knowledge","yes","no",7,7,6,8,8,9,4,3,3,2,2,3,3,2,3,1,2,2,2,2,3,2,3,1,2,1,2,2,1,1,1,3,3,2,0,2,3,2,3,4,2,3,3,1,3,2,2,2,2,2,1,288218
"9","Ho1T79X68KkqBbQ",34,"male","learning",0,"deck1",NA,NA,NA,NA,9,"magnitude",3,73,615.999999921769,"yes","yes","use my knowledge","yes","no",7,7,6,8,8,9,4,3,3,2,2,3,3,2,3,1,2,2,2,2,3,2,3,1,2,1,2,2,1,1,1,3,3,2,0,2,3,2,3,4,2,3,3,1,3,2,2,2,2,2,1,289336
"10","Ho1T79X68KkqBbQ",34,"male","learning",0,"deck1",NA,NA,NA,NA,10,"magnitude",4,69,674.000000115484,"yes","yes","use my knowledge","yes","no",7,7,6,8,8,9,4,3,3,2,2,3,3,2,3,1,2,2,2,2,3,2,3,1,2,1,2,2,1,1,1,3,3,2,0,2,3,2,3,4,2,3,3,1,3,2,2,2,2,2,1,290519
"11","Ho1T79X68KkqBbQ",34,"male","learning",0,"deck1",NA,NA,NA,NA,11,"magnitude",8,73,688.000000081956,"yes","yes","use my knowledge","yes","no",7,7,6,8,8,9,4,3,3,2,2,3,3,2,3,1,2,2,2,2,3,2,3,1,2,1,2,2,1,1,1,3,3,2,0,2,3,2,3,4,2,3,3,1,3,2,2,2,2,2,1,291710
"12","Ho1T79X68KkqBbQ",34,"male","learning",0,"deck1",NA,NA,NA,NA,12,"magnitude",3,69,712.000000290573,"yes","yes","use my knowledge","yes","no",7,7,6,8,8,9,4,3,3,2,2,3,3,2,3,1,2,2,2,2,3,2,3,1,2,1,2,2,1,1,1,3,3,2,0,2,3,2,3,4,2,3,3,1,3,2,2,2,2,2,1,292924
