"","id","age","gender","run","decisionnum","deckl","deckr","decision_type","deckchoice","deckrt","subtrial","task","probe","switchresp","switchrt","understood","mapping","preference","notice","difficulty","tlx_deck1","tlx_deck2","tlx_deck3","tlx_deck4","tlx_deck5","tlx_deck6","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","uncertainty1","uncertainty2","uncertainty3","uncertainty4","uncertainty5","uncertainty6","uncertainty7","uncertainty8","uncertainty9","uncertainty10","uncertainty11","uncertainty12","uncertainty13","uncertainty14","uncertainty15","uncertainty16","uncertainty17","uncertainty18","uncertainty19","uncertainty20","uncertainty21","uncertainty22","uncertainty23","uncertainty24","uncertainty25","uncertainty26","uncertainty27","time_elapsed"
"1","iEVpd1UByDbAujq",1985,"male","learning",0,"deck1",NA,NA,NA,NA,1,"magnitude",9,73,2310.17000000429,"good","colour","good","nice","nice",3,3,3,7,6,6,3,2,4,3,3,3,4,3,4,4,3,3,4,3,3,4,3,3,2,3,3,3,3,3,4,3,4,3,3,4,3,4,3,4,3,3,3,4,3,3,4,4,3,3,3,227418
"2","iEVpd1UByDbAujq",1985,"male","learning",0,"deck1",NA,NA,NA,NA,2,"magnitude",2,69,1409.08000000491,"good","colour","good","nice","nice",3,3,3,7,6,6,3,2,4,3,3,3,4,3,4,4,3,3,4,3,3,4,3,3,2,3,3,3,3,3,4,3,4,3,3,4,3,4,3,4,3,3,3,4,3,3,4,4,3,3,3,229330
"3","iEVpd1UByDbAujq",1985,"male","learning",0,"deck1",NA,NA,NA,NA,3,"magnitude",8,69,778.86999999464,"good","colour","good","nice","nice",3,3,3,7,6,6,3,2,4,3,3,3,4,3,4,4,3,3,4,3,3,4,3,3,2,3,3,3,3,3,4,3,4,3,3,4,3,4,3,4,3,3,3,4,3,3,4,4,3,3,3,230611
"4","iEVpd1UByDbAujq",1985,"male","learning",0,"deck1",NA,NA,NA,NA,4,"magnitude",6,69,65.9000000014203,"good","colour","good","nice","nice",3,3,3,7,6,6,3,2,4,3,3,3,4,3,4,4,3,3,4,3,3,4,3,3,2,3,3,3,3,3,4,3,4,3,3,4,3,4,3,4,3,3,3,4,3,3,4,4,3,3,3,231179
"5","iEVpd1UByDbAujq",1985,"male","learning",0,"deck1",NA,NA,NA,NA,5,"parity",1,69,20.0600000025588,"good","colour","good","nice","nice",3,3,3,7,6,6,3,2,4,3,3,3,4,3,4,4,3,3,4,3,3,4,3,3,2,3,3,3,3,3,4,3,4,3,3,4,3,4,3,4,3,3,3,4,3,3,4,4,3,3,3,231700
"6","iEVpd1UByDbAujq",1985,"male","learning",0,"deck1",NA,NA,NA,NA,6,"parity",6,69,48.0749999987893,"good","colour","good","nice","nice",3,3,3,7,6,6,3,2,4,3,3,3,4,3,4,4,3,3,4,3,3,4,3,3,2,3,3,3,3,3,4,3,4,3,3,4,3,4,3,4,3,3,3,4,3,3,4,4,3,3,3,232250
"7","iEVpd1UByDbAujq",1985,"male","learning",0,"deck1",NA,NA,NA,NA,7,"parity",2,69,16.6800000006333,"good","colour","good","nice","nice",3,3,3,7,6,6,3,2,4,3,3,3,4,3,4,4,3,3,4,3,3,4,3,3,2,3,3,3,3,3,4,3,4,3,3,4,3,4,3,4,3,3,3,4,3,3,4,4,3,3,3,232770
"8","iEVpd1UByDbAujq",1985,"male","learning",0,"deck1",NA,NA,NA,NA,8,"parity",3,69,50.6150000001071,"good","colour","good","nice","nice",3,3,3,7,6,6,3,2,4,3,3,3,4,3,4,4,3,3,4,3,3,4,3,3,2,3,3,3,3,3,4,3,4,3,3,4,3,4,3,4,3,3,3,4,3,3,4,4,3,3,3,233323
"9","iEVpd1UByDbAujq",1985,"male","learning",0,"deck1",NA,NA,NA,NA,9,"parity",8,69,49.6399999974528,"good","colour","good","nice","nice",3,3,3,7,6,6,3,2,4,3,3,3,4,3,4,4,3,3,4,3,3,4,3,3,2,3,3,3,3,3,4,3,4,3,3,4,3,4,3,4,3,3,3,4,3,3,4,4,3,3,3,233874
"10","iEVpd1UByDbAujq",1985,"male","learning",0,"deck1",NA,NA,NA,NA,10,"parity",9,69,75.6649999966612,"good","colour","good","nice","nice",3,3,3,7,6,6,3,2,4,3,3,3,4,3,4,4,3,3,4,3,3,4,3,3,2,3,3,3,3,3,4,3,4,3,3,4,3,4,3,4,3,3,3,4,3,3,4,4,3,3,3,234452
