"","id","age","gender","run","decisionnum","deckl","deckr","decision_type","deckchoice","deckrt","subtrial","task","probe","switchresp","switchrt","understood","mapping","preference","notice","difficulty","tlx_deck1","tlx_deck2","tlx_deck3","tlx_deck4","tlx_deck5","tlx_deck6","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","uncertainty1","uncertainty2","uncertainty3","uncertainty4","uncertainty5","uncertainty6","uncertainty7","uncertainty8","uncertainty9","uncertainty10","uncertainty11","uncertainty12","uncertainty13","uncertainty14","uncertainty15","uncertainty16","uncertainty17","uncertainty18","uncertainty19","uncertainty20","uncertainty21","uncertainty22","uncertainty23","uncertainty24","uncertainty25","uncertainty26","uncertainty27","time_elapsed","IP"
"31201","piMNSefwxzUc","57","male","learning",0,"deck1",NA,NA,NA,NA,1,"parity",6,NA,NA,"Yes, I understand the study.","Yes, I can feel it.","I did not use any tricks to choose.","I cannot understand the difference.","No, all are somewhat easy.",6,5,7,4,2,5,3,2,3,3,3,3,2,3,3,3,2,3,1,3,3,3,2,3,3,2,3,2,3,2,2,1,3,3,3,1,3,3,2,3,3,1,3,3,2,2,3,3,1,3,3,345633,NA
"31202","piMNSefwxzUc","57","male","learning",0,"deck1",NA,NA,NA,NA,2,"parity",4,NA,NA,"Yes, I understand the study.","Yes, I can feel it.","I did not use any tricks to choose.","I cannot understand the difference.","No, all are somewhat easy.",6,5,7,4,2,5,3,2,3,3,3,3,2,3,3,3,2,3,1,3,3,3,2,3,3,2,3,2,3,2,2,1,3,3,3,1,3,3,2,3,3,1,3,3,2,2,3,3,1,3,3,348635,NA
"31203","piMNSefwxzUc","57","male","learning",0,"deck1",NA,NA,NA,NA,3,"parity",9,73,1497.99999999232,"Yes, I understand the study.","Yes, I can feel it.","I did not use any tricks to choose.","I cannot understand the difference.","No, all are somewhat easy.",6,5,7,4,2,5,3,2,3,3,3,3,2,3,3,3,2,3,1,3,3,3,2,3,3,2,3,2,3,2,2,1,3,3,3,1,3,3,2,3,3,1,3,3,2,2,3,3,1,3,3,350636,NA
"31204","piMNSefwxzUc","57","male","learning",0,"deck1",NA,NA,NA,NA,4,"parity",4,69,1391.00000000326,"Yes, I understand the study.","Yes, I can feel it.","I did not use any tricks to choose.","I cannot understand the difference.","No, all are somewhat easy.",6,5,7,4,2,5,3,2,3,3,3,3,2,3,3,3,2,3,1,3,3,3,2,3,3,2,3,2,3,2,2,1,3,3,3,1,3,3,2,3,3,1,3,3,2,2,3,3,1,3,3,352531,NA
"31205","piMNSefwxzUc","57","male","learning",0,"deck1",NA,NA,NA,NA,5,"parity",7,73,1219.99999998661,"Yes, I understand the study.","Yes, I can feel it.","I did not use any tricks to choose.","I cannot understand the difference.","No, all are somewhat easy.",6,5,7,4,2,5,3,2,3,3,3,3,2,3,3,3,2,3,1,3,3,3,2,3,3,2,3,2,3,2,2,1,3,3,3,1,3,3,2,3,3,1,3,3,2,2,3,3,1,3,3,354251,NA
"31206","piMNSefwxzUc","57","male","learning",0,"deck1",NA,NA,NA,NA,6,"magnitude",4,69,1426.99999999604,"Yes, I understand the study.","Yes, I can feel it.","I did not use any tricks to choose.","I cannot understand the difference.","No, all are somewhat easy.",6,5,7,4,2,5,3,2,3,3,3,3,2,3,3,3,2,3,1,3,3,3,2,3,3,2,3,2,3,2,2,1,3,3,3,1,3,3,2,3,3,1,3,3,2,2,3,3,1,3,3,356179,NA
"31207","piMNSefwxzUc","57","male","learning",0,"deck1",NA,NA,NA,NA,7,"magnitude",8,69,1567.00000001001,"Yes, I understand the study.","Yes, I can feel it.","I did not use any tricks to choose.","I cannot understand the difference.","No, all are somewhat easy.",6,5,7,4,2,5,3,2,3,3,3,3,2,3,3,3,2,3,1,3,3,3,2,3,3,2,3,2,3,2,2,1,3,3,3,1,3,3,2,3,3,1,3,3,2,2,3,3,1,3,3,358250,NA
"31208","piMNSefwxzUc","57","male","learning",0,"deck1",NA,NA,NA,NA,8,"magnitude",4,69,1135.9999999986,"Yes, I understand the study.","Yes, I can feel it.","I did not use any tricks to choose.","I cannot understand the difference.","No, all are somewhat easy.",6,5,7,4,2,5,3,2,3,3,3,3,2,3,3,3,2,3,1,3,3,3,2,3,3,2,3,2,3,2,2,1,3,3,3,1,3,3,2,3,3,1,3,3,2,2,3,3,1,3,3,359891,NA
"31209","piMNSefwxzUc","57","male","learning",0,"deck1",NA,NA,NA,NA,9,"magnitude",9,73,1519.00000000023,"Yes, I understand the study.","Yes, I can feel it.","I did not use any tricks to choose.","I cannot understand the difference.","No, all are somewhat easy.",6,5,7,4,2,5,3,2,3,3,3,3,2,3,3,3,2,3,1,3,3,3,2,3,3,2,3,2,3,2,2,1,3,3,3,1,3,3,2,3,3,1,3,3,2,2,3,3,1,3,3,361912,NA
"31210","piMNSefwxzUc","57","male","learning",0,"deck1",NA,NA,NA,NA,10,"magnitude",4,69,1377.99999999697,"Yes, I understand the study.","Yes, I can feel it.","I did not use any tricks to choose.","I cannot understand the difference.","No, all are somewhat easy.",6,5,7,4,2,5,3,2,3,3,3,3,2,3,3,3,2,3,1,3,3,3,2,3,3,2,3,2,3,2,2,1,3,3,3,1,3,3,2,3,3,1,3,3,2,2,3,3,1,3,3,363791,NA
