"","id","age","gender","run","decisionnum","deckl","deckr","decision_type","deckchoice","deckrt","subtrial","task","probe","switchresp","switchrt","understood","mapping","preference","notice","difficulty","tlx_deck1","tlx_deck2","tlx_deck3","tlx_deck4","tlx_deck5","tlx_deck6","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","uncertainty1","uncertainty2","uncertainty3","uncertainty4","uncertainty5","uncertainty6","uncertainty7","uncertainty8","uncertainty9","uncertainty10","uncertainty11","uncertainty12","uncertainty13","uncertainty14","uncertainty15","uncertainty16","uncertainty17","uncertainty18","uncertainty19","uncertainty20","uncertainty21","uncertainty22","uncertainty23","uncertainty24","uncertainty25","uncertainty26","uncertainty27","time_elapsed"
"1","qzZlVGwgpSMkrEy",35,"MALE","learning",0,"deck1",NA,NA,NA,NA,1,"parity",3,NA,NA,"GOOD","GOOD","GOOD","GOOD","GOOD",8,8,8,8,8,8,2,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,3,4,3,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,1320858
"2","qzZlVGwgpSMkrEy",35,"MALE","learning",0,"deck1",NA,NA,NA,NA,2,"parity",1,69,1115.56499998551,"GOOD","GOOD","GOOD","GOOD","GOOD",8,8,8,8,8,8,2,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,3,4,3,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,1322477
"3","qzZlVGwgpSMkrEy",35,"MALE","learning",0,"deck1",NA,NA,NA,NA,3,"parity",7,73,4.53000003471971,"GOOD","GOOD","GOOD","GOOD","GOOD",8,8,8,8,8,8,2,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,3,4,3,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,1322984
"4","qzZlVGwgpSMkrEy",35,"MALE","learning",0,"deck1",NA,NA,NA,NA,4,"magnitude",2,73,38.9600000344217,"GOOD","GOOD","GOOD","GOOD","GOOD",8,8,8,8,8,8,2,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,3,4,3,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,1323524
"5","qzZlVGwgpSMkrEy",35,"MALE","learning",0,"deck1",NA,NA,NA,NA,5,"magnitude",3,73,50.5050000501797,"GOOD","GOOD","GOOD","GOOD","GOOD",8,8,8,8,8,8,2,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,3,4,3,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,1324076
"6","qzZlVGwgpSMkrEy",35,"MALE","learning",0,"deck1",NA,NA,NA,NA,6,"magnitude",7,73,290.469999890774,"GOOD","GOOD","GOOD","GOOD","GOOD",8,8,8,8,8,8,2,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,3,4,3,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,1324870
"7","qzZlVGwgpSMkrEy",35,"MALE","learning",0,"deck1",NA,NA,NA,NA,7,"magnitude",8,73,50.4199999850243,"GOOD","GOOD","GOOD","GOOD","GOOD",8,8,8,8,8,8,2,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,3,4,3,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,1325423
"8","qzZlVGwgpSMkrEy",35,"MALE","learning",0,"deck1",NA,NA,NA,NA,8,"magnitude",1,69,400.175000075251,"GOOD","GOOD","GOOD","GOOD","GOOD",8,8,8,8,8,8,2,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,3,4,3,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,1326325
"9","qzZlVGwgpSMkrEy",35,"MALE","learning",0,"deck1",NA,NA,NA,NA,9,"magnitude",3,73,9.74500004667789,"GOOD","GOOD","GOOD","GOOD","GOOD",8,8,8,8,8,8,2,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,3,4,3,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,1326837
"10","qzZlVGwgpSMkrEy",35,"MALE","learning",0,"deck1",NA,NA,NA,NA,10,"magnitude",4,69,66.495000035502,"GOOD","GOOD","GOOD","GOOD","GOOD",8,8,8,8,8,8,2,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,3,4,3,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,1327406
